term,weight
abad,0.003
abjad,0.003
abrek,0.003
abu,0.007
ac,0.003
acak,0.01
acar,0.003
acara,0.003
aceh,0.007
activate,0.003
addie,0.003
adil,0.003
admin,0.01
adon,0.007
aduh,0.01
affairs,0.003
agama,0.01
ageng,0.007
agung,0.003
agustus,0.003
ah,0.021
ahmad,0.003
ahshsjsksksk,0.003
ajak,0.028
ajar,0.042
ajep,0.007
aju,0.003
akademik,0.01
akar,0.003
akehe,0.003
akh,0.003
akibat,0.003
akses,0.007
aktif,0.003
aktivasi,0.003
aktor,0.01
akulturasi,0.003
akun,0.021
akuntansi,0.003
akustikanne,0.003
al,0.007
ala,0.003
alami,0.007
alat,0.01
album,0.01
alexa,0.003
alfandy,0.003
alhamdulillah,0.003
alias,0.01
alih,0.007
alkomenu,0.003
almarhumah,0.01
almet,0.007
alodokter,0.003
along,0.003
alun,0.007
amazed,0.003
ambil,0.021
ambles,0.003
amburadul,0.003
amin,0.003
ampuh,0.003
ampun,0.003
an,0.021
anak,0.146
analis,0.003
aneh,0.003
anggap,0.003
anggar,0.003
anggota,0.003
angkat,0.003
angkatin,0.003
anime,0.007
anjimm,0.003
anjir,0.003
annur,0.003
anti,0.003
anut,0.003
any,0.007
anywhere,0.003
apalu,0.003
apd,0.01
apel,0.003
apik,0.007
aplikasi,0.01
apothe,0.003
apresiasi,0.003
april,0.007
ar,0.003
arah,0.007
ardi,0.003
area,0.007
argumen,0.003
arief,0.007
arif,0.003
arsitektur,0.007
artikel,0.01
artis,0.007
arung,0.003
asa,0.003
asam,0.01
asdos,0.01
asia,0.003
asik,0.007
asing,0.003
ask,0.003
asli,0.017
assalalmualaikum,0.003
assalamualaikum,0.003
asta,0.003
astaghfirullah,0.003
atlet,0.003
atm,0.003
atur,0.007
awan,0.003
awokwokwok,0.003
awokwokwokwok,0.01
awokwokwokwokwok,0.007
ayam,0.024
ayep,0.007
ayo,0.15
azhari,0.003
ba,0.003
babarsari,0.003
babi,0.003
baca,0.063
bacane,0.003
badan,0.014
badass,0.003
baekla,0.003
baga,0.003
bagus,0.028
bahagia,0.01
bahan,0.01
bahas,0.017
bahasa,0.024
bahu,0.003
bajing,0.003
baju,0.003
bakar,0.01
bakat,0.007
bal,0.007
balas,0.007
balkon,0.003
ban,0.007
bandnya,0.003
bandung,0.007
banget,0.003
bangga,0.014
bangjo,0.003
bangkrut,0.003
bangun,0.014
bank,0.007
banting,0.003
bantu,0.007
bapack,0.003
bappenas,0.003
baqarah,0.003
bar,0.01
barang,0.007
barat,0.003
basi,0.003
basing,0.003
bassnya,0.007
batal,0.146
batas,0.007
