term,weight
aang,0.002
abadi,0.005
abeez,0.002
absolutely,0.002
acak,0.002
according,0.002
acha,0.002
adaptasi,0.005
adat,0.005
adek,0.002
admin,0.002
adnan,0.002
aduh,0.014
affraid,0.002
afirmasi,0.002
agam,0.002
agama,0.002
ah,0.014
ahahhaha,0.002
aib,0.002
air,0.002
ajak,0.009
ajar,0.038
aji,0.002
akal,0.002
akhirat,0.002
akhire,0.002
aksel,0.005
akses,0.002
aktif,0.007
aktualisasi,0.002
akumah,0.002
akun,0.009
akurat,0.002
al,0.007
alaamiin,0.002
alam,0.009
alamat,0.002
alami,0.005
alangkah,0.002
alas,0.011
album,0.009
alhamdulillaah,0.002
alhamdulillah,0.025
alias,0.005
aliase,0.002
alih,0.002
alir,0.002
allx,0.002
almamater,0.002
alumni,0.007
alun,0.002
amal,0.005
aman,0.007
amarah,0.002
ambek,0.002
ambil,0.009
amin,0.025
amplas,0.002
ampuh,0.005
ampun,0.029
an,0.016
anak,0.122
aneh,0.014
anggap,0.014
anggota,0.005
angin,0.002
angka,0.005
ani,0.002
anime,0.002
anti,0.002
anu,0.005
anyone,0.005
aokiji,0.002
apane,0.002
apaqa,0.011
apd,0.005
api,0.002
apik,0.005
aplikasi,0.002
area,0.005
arek,0.005
arepe,0.002
ari,0.009
arlo,0.002
arogan,0.005
artikel,0.002
as,0.002
asa,0.002
aset,0.002
ashiap,0.002
asi,0.009
asik,0.009
asing,0.005
asipnya,0.002
ask,0.002
asn,0.002
asrama,0.002
astaga,0.009
astaghfirullah,0.016
astronot,0.002
asupan,0.002
asyik,0.005
ate,0.002
atene,0.002
authornya,0.002
avaku,0.002
avatar,0.002
awale,0.002
awan,0.002
awesome,0.009
awkdewe,0.002
awkmu,0.005
awuya,0.002
ayam,0.005
ayo,0.065
azel,0.002
babay,0.002
babysitter,0.002
baca,0.043
backyard,0.002
badan,0.002
bagikan,0.014
bagus,0.034
bahagia,0.029
bahan,0.002
bahas,0.009
bahasa,0.011
bahaya,0.002
bahu,0.002
baju,0.009
bakar,0.005
bakat,0.002
bakso,0.002
bakti,0.002
bal,0.002
balas,0.009
balut,0.002
bamer,0.002
ban,0.002
bana,0.002
bandara,0.002
banding,0.005
bangga,0.002
bangkai,0.005
bangku,0.002
bangun,0.007
bantu,0.007
baputnya,0.002
barak,0.002
barat,0.002
bareng,0.014
basa,0.002
basah,0.002
bashingse,0.002
basro,0.002
batal,0.063
batas,0.007
batuk,0.005
bawa,0.007
bawain,0.002
bawang,0.002
bayang,0.005
bayangkan,0.002
bayar,0.009
bayi,0.011
bbnya,0.002
bbq,0.002
bcl,0.005
beban,0.002
bebas,0.005
bebebku,0.002
becak,0.005
beda,0.029
bedo,0.002
begituh,0.002
beijing,0.002
beku,0.002
bel,0.005
bela,0.002
belaga,0.002
belah,0.002
beldin,0.002
beli,0.007
beliau,0.014
bella,0.002
benam,0.002
benci,0.002
bendino,0.002
benteng,0.002
berani,0.009
berhubungan,0.002
berita,0.005
berkat,0.002
berontak,0.002
bersih,0.002
bersihin,0.002
berteman,0.005
berterimakasih,0.002
besi,0.002
besok,0.005
betapa,0.007
betrand,0.002
bett,0.002
biarkan,0.007
biasae,0.002
biasane,0.005
bicara,0.018
bidan,0.002
bidang,0.002
bikin,0.002
bikini,0.002
bil,0.002
bilang,0.074
bimbel,0.018
bimbelku,0.005
binatang,0.002
bingung,0.011
bintang,0.002
bio,0.002
bis,0.002
bisik,0.002
biyen,0.007
bla,0.005
blakang,0.002
blakrakan,0.002
blokir,0.002
blues,0.002
bocor,0.002
bodoh,0.011
bodyshamming,0.002
bohong,0.002
bohongin,0.002
bojo,0.002
bojoku,0.005
bojonya,0.002
bola,0.002
bom,0.002
bonceng,0.002
bondan,0.002
boneka,0.007
boomingnya,0.002
boros,0.005
bosan,0.005
botol,0.002
boys,0.002
bpjs,0.002
bra,0.002
brengsek,0.002
bri,0.002
broadcastan,0.002
broadcaster,0.002
brtmbhnya,0.002
bubbly,0.002
bubuk,0.002
budak,0.002
budal,0.002
budaya,0.007
buka,0.014
bukti,0.002
buku,0.011
bulu,0.002
bumi,0.009
bunga,0.007
bungkus,0.002
bunuh,0.002
bunyi,0.005
buru,0.002
buruk,0.007
buset,0.002
busui,0.002
buta,0.005
butuh,0.018
ca,0.005
cakap,0.002
calzone,0.002
camping,0.002
campur,0.002
canda,0.002
candid,0.005
candu,0.002
canggih,0.002
canggung,0.002
cangkir,0.005
cantik,0.016
caretakernya,0.002
cari,0.014
carly,0.002
catat,0.002
cc,0.002
celana,0.002
cemburu,0.002
cemil,0.02
cemplung,0.002
cepat,0.016
cerdas,0.002
ceremet,0.002
cerita,0.043
cermat,0.005
cermin,0.002
cetek,0.002
cha,0.002
challenging,0.002
channelnya,0.002
chattingan,0.002
chinese,0.007
ciie,0.002
cina,0.002
cincin,0.002
cinta,0.054
ciritini,0.002
ckckck,0.002
cked,0.002
cleansernya,0.002
coba,0.045
cocok,0.007
coffeshop,0.002
colek,0.002
colong,0.002
compete,0.002
consultant,0.002
contek,0.002
contoh,0.002
coolin,0.002
corina,0.002
corona,0.018
countries,0.002
crashing,0.002
crispy,0.002
crx,0.002
cs,0.002
cuat,0.002
curhat,0.002
curhatku,0.002
cuss,0.002
cuti,0.002
dadak,0.002
dadang,0.002
dadi,0.005
daerah,0.002
daftar,0.002
dajjal,0.005
damai,0.002
daniel,0.005
dapur,0.002
dar,0.005
darurat,0.002
dasar,0.023
data,0.002
daun,0.002
days,0.007
dbawa,0.005
dbls,0.002
dbolehin,0.002
debat,0.002
definitely,0.002
deh,0.059
delicately,0.002
demokrat,0.002
dengar,0.02
dengernya,0.002
depane,0.002
desa,0.009
desember,0.002
deskripsi,0.002
deso,0.002
detail,0.002
deteksi,0.005
detik,0.002
devisa,0.002
dewasa,0.016
dewe,0.005
dewi,0.002
dfoto,0.002
dftr,0.002
dgerakin,0.002
dhewe,0.002
diam,0.009
diaminin,0.002
diarahin,0.002
dibandingin,0.002
dibukaki,0.002
dibully,0.002
dibyo,0.002
dicariin,0.002
diceritain,0.002
dichat,0.002
dicie,0.002
dicky,0.002
did,0.005
didaftarin,0.002
didik,0.005
didn,0.007
diece,0.002
dienda,0.002
diffuser,0.002
difollow,0.002
dihabisin,0.002
dihehein,0.002
diih,0.002
diikhlasne,0.002
diinget,0.005
dikabarin,0.002
dikafanin,0.002
diketawain,0.002
dikiro,0.005
dikit,0.002
dikomen,0.002
dikongkon,0.002
dilema,0.007
diluar,0.002
dimaafkan,0.002
dimana,0.009
dimanaa,0.002
dimandiin,0.002
dimarahi,0.005
dimasakin,0.005
dimensi,0.002
ding,0.002
diomongno,0.002
dipromosiin,0.002
