term,weight
aaurz,0.004
aay,0.004
abadi,0.004
abar,0.008
ac,0.017
addon,0.008
admin,0.03
aduh,0.013
ady,0.008
aep,0.004
ah,0.004
airgcedrvo,0.004
ais,0.004
ajak,0.004
ajar,0.017
aju,0.004
ajur,0.008
akhire,0.004
akhlak,0.004
akses,0.004
aktif,0.004
akun,0.008
alam,0.004
alami,0.004
alhamdulillah,0.059
alias,0.004
alih,0.004
alt,0.004
alumni,0.004
amajing,0.004
aman,0.008
amd,0.004
amfibi,0.004
amin,0.021
ampun,0.004
an,0.004
anak,0.008
ancam,0.004
ancene,0.008
android,0.008
ang,0.004
angkat,0.004
anti,0.004
anyar,0.004
apgoym,0.004
api,0.098
apik,0.008
aplikasi,0.013
april,0.008
apu,0.004
aqua,0.004
arah,0.004
areke,0.004
aroma,0.004
asik,0.004
asimetris,0.004
asisten,0.004
asli,0.004
atcj,0.004
atm,0.004
atur,0.004
ayo,0.021
bablas,0.004
baca,0.004
back,0.004
bagus,0.025
bahagia,0.004
bahasa,0.004
bajing,0.004
bakul,0.004
balen,0.004
banci,0.021
bandara,0.004
bandel,0.004
bangkit,0.008
bangun,0.004
bank,0.004
banking,0.004
bantu,0.051
barat,0.004
batal,0.051
batas,0.004
baterai,0.004
batrenya,0.004
bau,0.004
bawa,0.004
bayar,0.021
bb,0.013
beban,0.004
bebas,0.004
beberapakali,0.004
bebi,0.004
beda,0.008
bedo,0.004
bekne,0.004
beli,0.008
beliau,0.004
belok,0.004
benda,0.004
bendel,0.004
bendosari,0.004
bengkel,0.004
benteng,0.004
ber,0.004
beranda,0.004
berbi,0.004
bersih,0.008
besok,0.004
beterai,0.004
bianglala,0.004
biaya,0.004
bijak,0.004
bip,0.004
bipang,0.004
bis,0.004
biyen,0.004
blaen,0.004
blimbing,0.004
blog,0.004
blok,0.004
bloodbook,0.004
bni,0.008
bntan,0.004
boros,0.004
bos,0.008
bosan,0.004
broadband,0.004
bros,0.008
bts,0.013
buah,0.008
budal,0.008
buhmucp,0.004
buka,0.025
bulu,0.004
bumn,0.008
bunder,0.004
bunga,0.004
busuk,0.004
butik,0.004
butuh,0.008
bxn,0.004
bzz,0.004
cadang,0.004
cahaya,0.017
cak,0.034
candid,0.004
cangkul,0.004
carane,0.004
cc,0.127
cejuj,0.004
cekno,0.013
celana,0.004
cemil,0.013
cengkareng,0.004
cepat,0.008
cerah,0.004
cerita,0.008
cewek,0.008
ciamik,0.004
cina,0.004
cinta,0.004
ckd,0.004
clb,0.004
cnl,0.004
coba,0.008
cocok,0.025
colot,0.008
corone,0.004
costumercare,0.004
cowok,0.624
cqbacr,0.004
crojnz,0.004
cung,0.004
cuti,0.004
czqxuw,0.004
dadi,0.017
dafkghj,0.004
daftar,0.017
daging,0.004
dagy,0.004
dal,0.004
damai,0.008
dampak,0.004
daop,0.008
darah,0.008
daun,0.004
dc,0.004
debat,0.004
deknen,0.004
demo,0.008
deru,0.004
desa,0.004
detak,0.004
dewe,0.013
dfe,0.004
dfhcvabom,0.004
dfin,0.004
dhoho,0.004
diajari,0.004
diam,0.004
diesel,0.008
dihaa,0.004
dika,0.004
dikiro,0.004
dikit,0.004
dinakam,0.004
dingin,0.004
dino,0.004
dipo,0.025
diqbbnqut,0.004
disik,0.004
diwoco,0.004
diwyfdwknf,0.004
dlzqwrlyw,0.004
doho,0.03
dol,0.004
dolane,0.004
dompet,0.004
donlod,0.004
doq,0.004
dosa,0.004
dual,0.004
duka,0.004
dunia,0.004
dur,0.004
durung,0.013
