term,weight
aampun,0.009
abai,0.037
abu,0.009
acak,0.028
acapkali,0.009
aci,0.009
admin,0.019
adon,0.009
ah,0.028
ahli,0.009
ajak,0.019
akhlak,0.009
akselerasi,0.009
aktif,0.019
akun,0.009
alamat,0.009
alarm,0.009
alas,0.009
alergi,0.019
alhamdulillah,0.037
alias,0.009
alpuket,0.009
ambil,0.028
ambyar,0.028
amigos,0.009
amin,0.037
ampun,0.028
an,0.028
anak,0.009
aneh,0.028
anggap,0.037
angin,0.019
angkat,0.028
antah,0.019
apadaya,0.009
april,0.009
aquaman,0.009
arsip,0.009
arsitek,0.009
asah,0.009
asam,0.019
asik,0.009
asin,0.009
asing,0.037
aspek,0.009
asta,0.009
astrajingga,0.009
asumsi,0.009
atulah,0.009
autoblock,0.009
avatar,0.009
awet,0.009
awkwkwk,0.009
ayam,0.009
ayo,0.028
ayun,0.009
baca,0.204
badan,0.009
bagus,0.046
bahan,0.019
baju,0.046
bal,0.009
balas,0.009
banda,0.009
bandel,0.019
banding,0.019
bandung,0.037
bangan,0.009
bangku,0.009
bangsuy,0.019
bangun,0.046
bantu,0.019
barang,0.028
barat,0.009
bareng,0.009
baso,0.009
batal,0.157
batas,0.019
bau,0.009
bawa,0.019
bawang,0.009
bayang,0.019
bec,0.009
beda,0.083
bederang,0.009
bekas,0.019
belah,0.009
belaka,0.009
belanja,0.009
beli,0.083
belitong,0.009
benam,0.009
benarkan,0.009
bencana,0.009
benci,0.009
bengep,0.009
beranda,0.009
berani,0.009
beras,0.009
berekspektasi,0.009
berisik,0.009
berkat,0.009
berpikir,0.009
besok,0.037
biarkan,0.009
bias,0.009
biaya,0.009
bijaksana,0.019
bilang,0.037
binatu,0.009
bingung,0.046
bintang,0.009
bioskop,0.009
biru,0.009
bismillah,0.019
bisul,0.009
bla,0.046
blackpink,0.009
blok,0.019
blong,0.009
bo,0.009
bodoh,0.056
bohong,0.019
bolen,0.009
bonceng,0.009
booming,0.009
boros,0.009
bos,0.009
bosan,0.083
bqyik,0.009
brengsek,0.019
buah,0.009
bubar,0.028
budak,0.009
buka,0.037
buku,0.065
buluk,0.009
buncis,0.009
bunga,0.009
buruh,0.009
buruk,0.028
buta,0.009
butuh,0.019
cabai,0.009
cabang,0.009
cad,0.009
cahaya,0.009
cair,0.009
camat,0.009
candid,0.009
canggih,0.009
cangkir,0.009
cantik,0.009
cari,0.028
casingnya,0.009
celengan,0.009
cemil,0.074
cenat,0.009
cengirannya,0.009
centang,0.009
cenut,0.009
cepat,0.009
cerewet,0.009
cerita,0.056
cfd,0.009
chanyeol,0.009
chatnya,0.009
checkoutnya,0.009
cheese,0.009
chronicles,0.009
cibarusah,0.009
cikarang,0.028
cinta,0.009
cipa,0.009
cipta,0.009
citra,0.009
ck,0.009
coba,0.028
cocok,0.009
coklat,0.009
coldplay,0.009
cooper,0.009
cubernya,0.009
cuci,0.009
curi,0.019
curiga,0.009
cuti,0.009
cwenya,0.009
daging,0.009
dago,0.009
dandan,0.009
dar,0.019
dasar,0.028
daster,0.009
daya,0.019
dayung,0.009
debat,0.009
debu,0.009
deh,0.111
dehidrasi,0.009
delete,0.009
dendam,0.009
dengar,0.019
dengernya,0.009
dermaga,0.009
dewasa,0.009
diam,0.019
diapakan,0.009
dicariin,0.009
dicobain,0.009
dicurhatin,0.009
digimana,0.009
diikhlasin,0.009
dikasihin,0.009
dikerjain,0.009
dilakuin,0.009
dilema,0.019
dimasuki,0.009
