term,weight
aas,0.002
abai,0.005
abstrak,0.002
ac,0.002
acara,0.005
adil,0.002
admin,0.012
aduh,0.015
adven,0.002
afi,0.005
agama,0.002
agik,0.005
agus,0.007
agustus,0.002
ah,0.015
aik,0.002
ailee,0.002
ajak,0.01
ajar,0.025
aju,0.002
akal,0.002
akhlak,0.002
akrab,0.002
aksi,0.002
alam,0.002
alarm,0.01
alas,0.002
aliran,0.002
alkohol,0.002
aman,0.002
amasaa,0.002
ambik,0.002
ambil,0.002
amerika,0.002
amin,0.017
ampao,0.002
amplaz,0.002
ampuh,0.002
ampun,0.002
anak,0.057
anarkis,0.002
andai,0.002
aneh,0.017
anggota,0.012
angkut,0.002
anti,0.005
antikpop,0.002
aok,0.027
apabanget,0.002
aquu,0.002
ara,0.005
area,0.002
aries,0.002
artis,0.01
asa,0.002
asih,0.002
asik,0.002
asiq,0.002
asli,0.002
asrama,0.007
astaga,0.005
astagadragon,0.002
asty,0.002
asyik,0.002
atjlp,0.002
auditorium,0.002
awet,0.002
awok,0.002
ayah,0.002
ayam,0.002
ayo,0.02
babo,0.002
babysitter,0.002
baca,0.022
badai,0.002
badan,0.002
badmood,0.005
baet,0.007
bagikan,0.005
bagus,0.017
bah,0.002
bahan,0.002
bahasa,0.015
baheula,0.002
bajak,0.002
baju,0.007
bakar,0.005
bakat,0.002
bakpia,0.002
bakso,0.002
bala,0.005
balas,0.017
bana,0.002
banci,0.002
banding,0.002
banget,0.002
bangga,0.002
bangkai,0.005
bangun,0.05
banjir,0.01
bank,0.005
bantal,0.002
banting,0.002
bantu,0.005
banyakk,0.002
bapake,0.005
barabe,0.002
barang,0.002
bareng,0.002
basah,0.005
batal,0.06
batin,0.01
batu,0.002
bawa,0.03
bayi,0.002
bb,0.007
bbm,0.002
bebas,0.002
becinta,0.007
beda,0.002
beduka,0.002
begadang,0.002
begosip,0.007
behel,0.002
bekanta,0.002
bel,0.002
belaga,0.002
belah,0.002
belajara,0.002
beli,0.022
benci,0.002
benda,0.002
benderang,0.002
bentar,0.005
bentuk,0.002
beranta,0.002
berat,0.002
berdo,0.002
berisik,0.005
beritahukan,0.002
berpikir,0.002
bersih,0.002
bertanggungjawab,0.002
berteman,0.002
bertumpuk,0.005
besok,0.055
beudss,0.002
beuh,0.002
bh,0.01
bias,0.012
bibi,0.002
bibit,0.002
bicara,0.01
bigbang,0.005
bilang,0.01
binasa,0.002
bincang,0.002
bingo,0.002
bingung,0.005
bintang,0.005
biologi,0.01
biru,0.007
bise,0.002
bita,0.01
bj,0.002
bjirr,0.002
bkso,0.002
bnar,0.002
boba,0.002
bodoh,0.015
bodok,0.007
boga,0.005
bohong,0.012
boros,0.002
bosan,0.002
boys,0.005
brownies,0.005
browser,0.012
buah,0.002
buang,0.007
bubur,0.002
buka,0.01
bukit,0.002
buku,0.002
bulat,0.002
bumbu,0.002
bumi,0.002
bunda,0.002
bunuh,0.002
buru,0.002
buruk,0.01
butuh,0.007
byh,0.002
caa,0.002
cahaya,0.002
cambek,0.002
campur,0.002
candid,0.002
candu,0.005
cantek,0.005
cantik,0.022
cari,0.02
carmuk,0.002
cassiopeia,0.002
catat,0.002
cemil,0.015
cepat,0.017
ceplos,0.002
cerah,0.007
cerbung,0.002
ceribel,0.002
cerita,0.012
cetak,0.002
cewek,0.002
chinese,0.002
chingu,0.005
christmas,0.012
cicak,0.01
cie,0.015
cih,0.002
ciie,0.002
cinderella,0.002
cinta,0.017
cita,0.01
cium,0.005
ck,0.015
ckckck,0.002
cn,0.002
coba,0.015
coblos,0.002
coklat,0.002
comes,0.002
coro,0.002
cowok,0.01
cpk,0.002
cuci,0.002
cupcake,0.002
curhat,0.002
cuti,0.002
dadak,0.01
daebak,0.002
daftar,0.002
dah,0.005
damai,0.002
dancing,0.002
daritadi,0.002
dasar,0.002
daur,0.002
daya,0.005
daylight,0.002
days,0.002
debut,0.002
deh,0.037
dehem,0.002
deliv,0.002
demigod,0.002
dengar,0.015
derita,0.002
desa,0.002
desember,0.005
detik,0.002
dewi,0.005
dhea,0.01
diam,0.007
dibully,0.007
diet,0.005
dih,0.005
dijauhin,0.002
dik,0.012
dikit,0.002
dil,0.002
dilema,0.027
dilla,0.007
dimanfaatin,0.002
dingin,0.002
dirik,0.005
diseriusin,0.002
ditawwrin,0.002
ditelponin,0.002
ditulisin,0.002
dki,0.005
dmane,0.002
dmne,0.002
doa,0.005
donghae,0.02
dp,0.002
drama,0.01
drmh,0.002
drt,0.002
ds,0.002
dsklah,0.002
duga,0.002
dukun,0.002
duluan,0.002
dunia,0.007
duuh,0.002
efek,0.002
egois,0.005
eh,0.025
ehe,0.002
ekonomi,0.01
ekstrem,0.002
elah,0.002
emas,0.002
emejing,0.002
emgrt,0.002
emosi,0.002
engsub,0.002
entikong,0.002
enyah,0.002
episode,0.007
er,0.002
es,0.007
esok,0.005
ethnic,0.002
euuhh,0.002
evcx,0.002
excelent,0.002
exo,0.002
facebook,0.005
fanatik,0.005
fandom,0.002
fani,0.002
fanytastic,0.002
fatal,0.002
favorit,0.007
favourite,0.005
fei,0.002
festival,0.002
film,0.01
firrt,0.002
fisika,0.007
flasdisk,0.002
fllbck,0.002
flower,0.002
follbek,0.002
folled,0.002
followback,0.015
font,0.002
formal,0.002
foto,0.027
