term,weight
abad,0.003
abadi,0.006
abdul,0.003
abjad,0.003
abzhaikqsahwghwvahaolzhsuiwhshsjsjsjqgjsnwaklajsilan,0.003
acak,0.006
acara,0.003
acim,0.006
acimnya,0.003
adaptasi,0.006
adegan,0.003
adek,0.003
adil,0.006
admin,0.006
administrasi,0.003
aduh,0.009
aduk,0.003
advokasi,0.003
agam,0.003
agama,0.006
agem,0.003
agen,0.003
agnes,0.003
agung,0.003
ah,0.016
ahu,0.006
aiaiai,0.003
aih,0.003
air,0.006
ajaib,0.003
ajak,0.006
ajar,0.031
akademik,0.003
akal,0.016
akibat,0.006
akrab,0.003
akses,0.003
aktif,0.006
akun,0.016
akuntabel,0.003
akurat,0.003
ala,0.003
alam,0.016
alarm,0.003
alas,0.009
albiner,0.003
alhamdulillah,0.006
alhasil,0.003
alias,0.016
allen,0.003
alpukat,0.006
aman,0.022
amazed,0.003
ambang,0.003
ambil,0.028
amin,0.009
ampuh,0.003
ampun,0.013
an,0.019
anak,0.05
analis,0.003
ancor,0.003
ancot,0.006
andai,0.003
andaliman,0.003
andra,0.003
android,0.003
aneh,0.009
angga,0.006
anggap,0.003
anggun,0.003
angin,0.013
angkasa,0.003
angkat,0.006
angkutan,0.003
anja,0.006
anjur,0.003
annya,0.003
anti,0.003
anticlimax,0.003
antong,0.003
anugerah,0.003
anya,0.006
anymore,0.003
apalaya,0.003
api,0.003
apik,0.006
aplikasi,0.006
arah,0.019
arca,0.003
archimedes,0.003
area,0.016
ari,0.006
arif,0.006
aroma,0.003
arthamevia,0.003
arung,0.003
asa,0.006
asam,0.006
asdfk,0.003
aset,0.003
ashraf,0.003
asik,0.003
asin,0.003
asing,0.003
ask,0.003
asli,0.022
aspal,0.003
assisi,0.003
asta,0.003
astaga,0.006
astagahh,0.003
astajimm,0.003
astuti,0.003
asyik,0.006
ateku,0.006
atur,0.016
atus,0.003
atut,0.006
audy,0.003
aup,0.003
aut,0.003
autoklik,0.003
awan,0.003
awas,0.006
ayah,0.025
ayam,0.013
ayo,0.034
azeeli,0.003
babang,0.003
baca,0.156
backsound,0.006
badan,0.019
bagikan,0.009
bagus,0.016
bah,0.003
bahagia,0.009
bahagiain,0.003
bahan,0.003
bahas,0.022
bahasa,0.013
bahen,0.003
bahenonhu,0.003
bajak,0.003
bajing,0.003
bakar,0.006
