term,weight
aafihi,0.002
aamiinn,0.004
abadi,0.004
abah,0.004
abbas,0.002
abu,0.006
acara,0.008
acha,0.002
aci,0.004
acu,0.002
acuh,0.002
adab,0.008
adaptasi,0.004
adeknya,0.002
adikmaba,0.002
adila,0.008
admin,0.026
aduh,0.004
advo,0.002
adzab,0.004
afdal,0.002
agam,0.002
agama,0.002
agenda,0.004
agung,0.004
ah,0.012
ai,0.002
ais,0.002
aisy,0.002
ajaib,0.002
ajak,0.006
ajar,0.044
ajib,0.004
akademik,0.004
akbil,0.002
akhirat,0.002
akmm,0.002
aktif,0.002
aktivitas,0.002
akun,0.004
al,0.004
ala,0.004
alam,0.014
alami,0.002
alas,0.006
alaykum,0.002
alaykumussalam,0.002
alaynya,0.002
aldebaran,0.002
alhamdulillah,0.022
alias,0.002
allah,0.002
allahu,0.002
allahumaghfirlahu,0.002
almarhumah,0.002
alpida,0.002
alur,0.004
alus,0.002
amal,0.002
aman,0.002
amanh,0.002
ambil,0.022
ambuh,0.008
ambul,0.004
ambulans,0.002
amin,0.016
ammar,0.002
amnesia,0.002
an,0.018
anak,0.044
ancang,0.002
andal,0.002
andin,0.002
aneh,0.006
anggap,0.002
angin,0.008
angkasa,0.002
angkat,0.01
angker,0.002
anhu,0.002
antem,0.002
anti,0.002
antisipasi,0.002
anut,0.002
apik,0.002
aplikasi,0.008
apresiasi,0.006
april,0.002
aqdatam,0.002
aqua,0.002
arah,0.018
arisan,0.002
artikel,0.004
aruf,0.004
as,0.004
asa,0.002
ashar,0.002
ashiyap,0.002
asiaap,0.002
asik,0.01
aslab,0.002
asli,0.008
assalamu,0.002
astaghfirullah,0.002
astro,0.004
astronomi,0.002
astronot,0.002
astronotnya,0.002
asupan,0.002
asuransi,0.002
asyiq,0.002
asyique,0.002
atur,0.008
atus,0.002
awak,0.004
awam,0.002
awan,0.002
awesome,0.002
awudz,0.004
ay,0.004
ayam,0.002
ayey,0.002
ayo,0.08
ayun,0.002
ayy,0.002
azka,0.002
bab,0.002
babang,0.004
baca,0.056
badan,0.012
bagikan,0.004
bagus,0.014
bahagia,0.006
bahagya,0.002
bahan,0.004
bahas,0.012
bahasa,0.008
baju,0.008
bakar,0.002
bakiak,0.002
bakti,0.004
balada,0.002
balas,0.006
bandara,0.002
bandel,0.002
banding,0.004
bangga,0.004
bangkit,0.014
bangku,0.002
bangun,0.01
banjir,0.002
bantu,0.01
banyaqq,0.002
baok,0.002
baqarah,0.002
bar,0.004
barakallah,0.01
bareng,0.014
barunyaa,0.002
basmalah,0.002
basmallah,0.002
batal,0.004
batas,0.006
batik,0.002
batil,0.002
batin,0.002
batu,0.006
bau,0.008
bawa,0.052
bawaanya,0.002
bayang,0.012
bayangkan,0.002
bayu,0.006
beban,0.002
bebas,0.006
beda,0.01
bedah,0.002
begimana,0.002
begituu,0.002
behind,0.002
bekal,0.002
bekas,0.01
beks,0.002
bela,0.004
belaga,0.002
belah,0.008
belajar,0.002
belek,0.002
beli,0.014
beliau,0.012
bem,0.002
bemf,0.002
benci,0.002
bendera,0.004
bendumqoe,0.002
bendumqu,0.002
beng,0.004
bengek,0.002
bengkak,0.002
bentar,0.002
bentuk,0.012
berani,0.008
berat,0.008
berdeda,0.002
berhenti,0.002
berkah,0.006
berpikir,0.002
berumahtangga,0.002
bes,0.004
besan,0.002
besok,0.036
betah,0.002
betapa,0.004
betina,0.002
beuh,0.002
bhahahaha,0.002
biaya,0.002
bibit,0.004
bicara,0.022
bigsize,0.002
bijak,0.004
biji,0.002
bikini,0.002
bilang,0.042
bim,0.008
bingung,0.012
bintang,0.002
biologi,0.004
birokrat,0.008
biru,0.002
bismillah,0.006
bitboxnya,0.002
bkngue,0.002
bla,0.006
blog,0.006
blokir,0.004
bob,0.002
bobrok,0.002
bodoh,0.01
bolak,0.002
bolos,0.002
bom,0.026
bongkar,0.002
book,0.002
bor,0.002
bos,0.002
bosan,0.002
boteknya,0.002
botol,0.002
buah,0.012
buang,0.008
bubil,0.004
bubuhan,0.002
budak,0.002
buk,0.002
buka,0.028
buket,0.002
bukit,0.002
buktikan,0.002
buku,0.012
bulat,0.002
bullying,0.002
bumi,0.014
bunda,0.004
bungkuk,0.002
bunuh,0.004
buram,0.002
buremin,0.002
buru,0.002
buruk,0.006
buset,0.002
butuh,0.016
butul,0.002
butull,0.002
buyar,0.002
cacat,0.002
cagur,0.006
cahaya,0.006
cair,0.002
cakung,0.004
calon,0.008
camat,0.002
camer,0.004
canda,0.006
candid,0.002
candu,0.004
cangkir,0.002
cantik,0.01
capres,0.002
capslock,0.004
cari,0.016
cas,0.002
cassini,0.002
catetan,0.004
cecep,0.01
cekung,0.002
celaka,0.004
celana,0.004
cemil,0.03
ceo,0.002
ceonya,0.002
cepat,0.016
cerdas,0.002
cerita,0.016
ceritanyagakkenal,0.002
cermin,0.002
cetus,0.002
channelnya,0.002
chaosnya,0.002
chargeran,0.002
chatroom,0.002
ciamik,0.002
cibitung,0.002
cie,0.006
cikarang,0.004
cikgu,0.006
cil,0.004
cimit,0.002
cimitku,0.002
cindai,0.002
cinta,0.004
ciprat,0.002
cipta,0.002
