term,weight
aa,0.008
aah,0.008
aak,0.004
aasted,0.002
abah,0.002
abcdefgh,0.002
abot,0.002
abstrak,0.002
abu,0.002
acara,0.002
acg,0.002
acranya,0.004
acu,0.006
adil,0.002
admin,0.004
aduh,0.042
aduhed,0.002
aeh,0.006
afrian,0.002
agung,0.009
agustus,0.004
ah,0.044
ahahahahhaha,0.002
ahli,0.002
ai,0.006
aibon,0.004
aice,0.004
aihaih,0.002
ain,0.002
air,0.002
ajak,0.004
ajar,0.019
ajip,0.002
ajuk,0.002
akad,0.004
akal,0.002
akhirat,0.004
akhlak,0.002
akhrnya,0.002
akhuh,0.002
aki,0.011
akrab,0.002
aktif,0.002
akua,0.002
akumah,0.004
akumau,0.002
akuntansi,0.002
alam,0.004
alasan,0.002
alesannya,0.002
alexa,0.002
alfamar,0.002
alhamdulillah,0.004
alhmdulillah,0.002
ali,0.004
allahuakbar,0.011
almamater,0.002
alsannya,0.002
ambay,0.002
ambayan,0.002
ambeuceuhay,0.002
ambil,0.002
ambruk,0.002
ameng,0.002
amin,0.002
amis,0.002
ampuh,0.002
ampun,0.009
an,0.021
anak,0.023
anarki,0.002
andai,0.002
android,0.002
aneh,0.017
angan,0.002
anggap,0.002
angger,0.002
anggur,0.002
angin,0.013
angka,0.004
angkle,0.002
angkotna,0.002
angkotnya,0.002
angkutan,0.002
anhar,0.002
anjang,0.004
anjing,0.002
anjoy,0.002
antem,0.002
antep,0.002
antisosial,0.002
antre,0.002
anu,0.004
anyar,0.002
anyone,0.002
ao,0.002
apakabar,0.002
apatuhapa,0.002
apdet,0.006
apekteh,0.002
apel,0.002
aplikasi,0.002
aprian,0.002
aprika,0.002
aqan,0.002
aqvtn,0.002
ar,0.002
arah,0.006
arateul,0.002
ari,0.004
ariel,0.002
aronawar,0.002
artis,0.002
asbes,0.002
asik,0.002
asin,0.002
asking,0.002
asks,0.004
asli,0.013
asrul,0.002
assume,0.002
astagfirulloh,0.004
asus,0.002
aswa,0.002
aswan,0.004
asyik,0.006
atashin,0.002
ateuh,0.004
athlah,0.002
atuda,0.004
atuhlah,0.008
atuhlahtuhlahpeulis,0.002
atulah,0.004
atur,0.002
atuuh,0.002
avenged,0.002
awas,0.004
awkaowkaowkaowkoakwka,0.002
axmk,0.002
ayah,0.006
ayam,0.004
ayce,0.002
aydi,0.004
ayo,0.036
azeli,0.002
azelinyah,0.002
ba,0.002
bab,0.004
babawa,0.004
baca,0.028
back,0.002
badan,0.006
bagindas,0.002
bagus,0.015
bah,0.009
bahagia,0.002
bahahahaed,0.002
bahahahaha,0.002
bahan,0.002
bahasa,0.002
bahaya,0.006
bahu,0.002
bain,0.002
bajing,0.002
baju,0.006
bakar,0.009
baki,0.002
bakti,0.002
bakul,0.002
balancing,0.002
balas,0.004
balesinnyaa,0.002
balesnya,0.002
banci,0.002
bandar,0.002
bandung,0.008
bangsa,0.002
bangsit,0.004
bangun,0.019
banjir,0.002
banting,0.002
bantu,0.011
banung,0.002
banya,0.006
baperan,0.002
bar,0.002
barang,0.008
bari,0.004
baris,0.002
bas,0.008
basah,0.002
basalamah,0.002
baso,0.008
bassistnya,0.002
bassnya,0.002
bata,0.002
batagor,0.004
batal,0.046
batam,0.002
batas,0.008
batu,0.002
batuk,0.006
batur,0.002
bau,0.008
bawa,0.025
bawain,0.002
bayang,0.004
bayar,0.006
bayarin,0.002
baygon,0.004
bayi,0.004
bayu,0.002
bb,0.002
bbm,0.002
bda,0.002
bebas,0.008
bebedilan,0.002
becandaan,0.002
becandain,0.002
beda,0.008
bedara,0.004
beeh,0.002
begimana,0.004
bejaken,0.002
bejakeun,0.004
bek,0.004
bekantan,0.002
bekas,0.006
bela,0.002
belaga,0.019
belah,0.004
belai,0.002
belajar,0.004
belaka,0.002
belas,0.002
beli,0.021
benci,0.013
bengek,0.002
bengkak,0.002
bensen,0.002
bensin,0.002
bensu,0.002
bentar,0.002
bentol,0.002
benul,0.002
bep,0.002
bera,0.008
berak,0.002
beranda,0.002
berani,0.002
beranta,0.002
berasa,0.006
berat,0.008
berhasil,0.002
berhenti,0.006
berita,0.002
berjamjam,0.002
berkah,0.002
berondong,0.002
berpaedah,0.002
bersihin,0.002
bersykur,0.002
bertemu,0.002
berung,0.008
besi,0.002
besok,0.017
beta,0.002
betah,0.002
betapa,0.006
beubeureumna,0.002
beuh,0.006
beuhahaha,0.002
beungeut,0.002
beurat,0.002
beurit,0.002
beuteung,0.004
beuuh,0.002
bgy,0.002
biarkan,0.002
biarpun,0.002
biasana,0.002
biaya,0.004
bibir,0.008
bihcm,0.002
bikang,0.004
bikin,0.002
bikoz,0.002
bilam,0.009
bilang,0.017
bina,0.002
binatang,0.002
bingar,0.002
bingung,0.011
bintang,0.004
bioskop,0.002
bip,0.002
biru,0.004
bis,0.009
bjc,0.002
blablableh,0.002
blagu,0.002
blek,0.002
bntuin,0.002
bnuh,0.006
bo,0.002
bobln,0.002
bobok,0.002
bocor,0.002
bodoh,0.008
bodong,0.004
bohak,0.002
bokeh,0.002
bola,0.004
bolehin,0.002
bolenang,0.004
bolos,0.006
bom,0.002
bonceng,0.002
boneka,0.002
boros,0.002
bos,0.006
bosan,0.004
both,0.004
botol,0.002
boyong,0.002
bpjs,0.002
brahaan,0.002
breathe,0.002
breng,0.002
brgaya,0.002
brharap,0.002
brjamjam,0.002
brlbhan,0.002
brlipat,0.002
brojol,0.002
brojolnya,0.002
brsrah,0.002
brtele,0.002
brx,0.002
buah,0.002
buang,0.002
bubunuhan,0.002
budak,0.002
budug,0.002
buibu,0.002
bujuk,0.002
bujur,0.002
buka,0.013
bukom,0.002
buktiny,0.002
buku,0.008
bukuna,0.002
bulat,0.004
buligir,0.002
bulu,0.002
buluk,0.002
bumbu,0.002
bunga,0.002
bungkus,0.002
buram,0.002
burangrang,0.002
bureuteu,0.002
buricak,0.002
burinong,0.002
buruk,0.004
burung,0.002
buta,0.004
butchy,0.002
butuh,0.006
butut,0.002
bwain,0.002
bwov,0.002
bx,0.002
byarin,0.002
ca,0.004
cacat,0.002
cadang,0.002
cadar,0.002
cai,0.002
cair,0.004
cakcak,0.004
called,0.002
calon,0.002
cameuh,0.004
canda,0.006
cangkeng,0.002
cangkir,0.002
capue,0.002
cari,0.019
carikan,0.002
carkol,0.002
cau,0.002
cbrarti,0.004
cdo,0.004
cebgl,0.002
cebgm,0.002
cekek,0.002
cekibray,0.004
cekout,0.002
celaka,0.002
celana,0.002
celi,0.002
cemil,0.019
cendol,0.002
cengeng,0.002
cepat,0.008
cepatan,0.002
cepi,0.032
cerai,0.002
ceramah,0.002
cerelac,0.002
cerita,0.002
ceuyah,0.002
cevi,0.004
chi,0.002
chintah,0.002
cho,0.002
cholil,0.002
chuang,0.002
ci,0.002
cicak,0.002
cie,0.002
cih,0.004
cihampelas,0.002
cikajang,0.002
cikopi,0.004
cinta,0.011
cip,0.002
cipanas,0.002
ciput,0.002
cirebon,0.002
cit,0.002
cium,0.002
ciyeh,0.002
ciyus,0.006
clangap,0.002
coba,0.011
cocok,0.002
cocol,0.002
coklat,0.004
com,0.425
contoh,0.004
copot,0.002
corneringan,0.002
cosrx,0.002
crany,0.002
cranya,0.002
critanya,0.002
cuci,0.004
cucu,0.004
culucu,0.002
culun,0.002
curhat,0.006
curhatan,0.002
curiga,0.009
cuti,0.004
cuyunk,0.002
cwqd,0.002
cx,0.006
cxaik,0.002
czoal,0.002
daang,0.002
dadak,0.006
dadjy,0.002
daging,0.004
dago,0.004
dah,0.002
dahakna,0.002
dahar,0.004
damai,0.002
damar,0.002
damri,0.002
dana,0.004
darah,0.004
darimana,0.006
dasar,0.008
datar,0.002
dating,0.004
daun,0.009
dayak,0.002
dbakar,0.002
dbayarin,0.002
ddr,0.03
dedenya,0.002
dedeuh,0.002
deep,0.008
deh,0.025
delet,0.002
demo,0.006
dengar,0.019
dengernya,0.002
denkow,0.002
dens,0.004
depresi,0.008
dept,0.002
derau,0.002
deret,0.002
desah,0.002
desember,0.002
desperet,0.002
detik,0.006
detox,0.002
deudeuh,0.002
deui,0.004
deuih,0.004
dewa,0.002
dewasa,0.002
dewi,0.002
dextro,0.002
deyli,0.002
dfkran,0.002
dgant,0.002
diagram,0.002
diah,0.002
diam,0.002
diambuan,0.002
diapakan,0.002
diasongkeun,0.002
dibenerin,0.002
dicaprio,0.002
dicariin,0.002
diceklis,0.002
didunya,0.002
dih,0.004
dihin,0.002
dijaitin,0.002
dikabulinnya,0.002
dikawinin,0.002
dikeleketek,0.002
dikeluarin,0.002
dikit,0.004
dikngen,0.002
dikoneng,0.002
dil,0.019
dila,0.006
dilakuin,0.004
dilandongan,0.002
dilema,0.009
diluar,0.004
dilukisin,0.002
dimana,0.004
dimanamana,0.002
dimasna,0.004
dimasuki,0.002
dina,0.002
dinding,0.002
dingin,0.004
diomongin,0.004
dipakai,0.002
dipaksakeun,0.002
dipasrahin,0.002
diperhatiin,0.002
dipikirkan,0.004
dipisahin,0.002
direksonaan,0.002
disamperin,0.002
disitu,0.002
diskon,0.002
ditandain,0.002
ditanyain,0.002
ditatto,0.002
ditiisin,0.002
diusahain,0.002
divergen,0.002
diyah,0.002
diyem,0.002
dj,0.002
djadiin,0.002
djq,0.002
dkata,0.002
dkrudung,0.002
dlk,0.002
dmanakah,0.002
dmatiin,0.002
doa,0.006
dobel,0.002
dokdok,0.002
dom,0.002
dompet,0.006
dongkrak,0.004
doni,0.002
doo,0.002
dosa,0.008
dosen,0.002
dpegang,0.002
dpikir,0.002
dpipisin,0.002
dpr,0.013
dpunyaa,0.002
drama,0.004
drbh,0.002
dri,0.002
drive,0.002
drumah,0.002
dryer,0.002
dsalahin,0.002
dsangka,0.002
dsela,0.002
dsuruh,0.002
duakeces,0.002
dual,0.002
dufan,0.002
dulux,0.002
duna,0.002
duneu,0.002
dunia,0.008
dunyah,0.002
durhaqa,0.002
durian,0.002
dut,0.004
dwjeg,0.002
dx,0.002
dxy,0.002
ebat,0.002
ee,0.009
eek,0.002
efek,0.008
eg,0.002
eh,0.019
ehem,0.006
ejek,0.002
ekeu,0.002
ekonom,0.002
ekonomi,0.002
eksploitasi,0.002
ekstensifikasi,0.002
elapin,0.002
elem,0.006
elep,0.002
elha,0.002
eling,0.008
eloh,0.002
email,0.002
emangna,0.002
emansipasi,0.002
emas,0.004
ember,0.006
emejing,0.002
emih,0.002
emis,0.002
emo,0.002
empc,0.002
en,0.002
enaken,0.002
enakeun,0.004
enanya,0.002
endog,0.002
enelan,0.004
engah,0.002
engkol,0.002
envirovolution,0.004
enyoy,0.002
eo,0.002
epa,0.002
episode,0.002
epsilon,0.002
er,0.002
era,0.002
erk,0.004
erotis,0.002
es,0.002
esa,0.002
esia,0.002
eskrim,0.002
etamah,0.002
etilenadiamina,0.002
eto,0.002
eu,0.002
euceuy,0.002
euh,0.002
euhh,0.002
euy,0.002
evie,0.002
exnm,0.002
facebook,0.011
faedah,0.002
fahri,0.002
fakultas,0.002
fan,0.004
fast,0.002
fdeic,0.002
fdp,0.002
fehdh,0.002
fes,0.002
fhcx,0.002
fights,0.002
film,0.009
firly,0.002
fisik,0.002
fisika,0.008
fisikaed,0.004
fisip,0.002
fitri,0.004
fitriana,0.008
fjb,0.002
fkrin,0.002
fktv,0.002
floor,0.002
flowers,0.008
flp,0.002
flu,0.004
fmf,0.002
fmipa,0.002
fmp,0.002
fo,0.002
fokus,0.008
follow,0.002
foto,0.008
fps,0.002
frcl,0.002
fska,0.002
fsnm,0.002
ftony,0.002
fu,0.004
fukuzushi,0.002
fusiong,0.002
fuwari,0.004
fvhlv,0.002
fz,0.002
gabanget,0.002
gabisanya,0.002
gadis,0.011
gaenak,0.006
gagal,0.002
gagalau,0.002
gagaro,0.002
gairah,0.002
gajah,0.002
gajelaas,0.002
gaji,0.002
gajih,0.006
galao,0.002
galav,0.002
galo,0.004
galon,0.006
gambar,0.002
gamis,0.004
gamo,0.002
gandeng,0.002
ganeng,0.002
ganti,0.015
gantung,0.002
gara,0.019
garing,0.013
garis,0.002
garuk,0.002
gatal,0.002
gave,0.002
gaya,0.002
gaza,0.002
gbf,0.002
gbvee,0.002
ge,0.006
gedebage,0.002
gedung,0.002
gek,0.002
gelandang,0.004
gelisah,0.002
gelora,0.002
gelut,0.006
gemas,0.002
gemerlap,0.004
genggam,0.002
geningan,0.002
gera,0.006
gerak,0.002
gerhana,0.002
gerine,0.002
geser,0.002
getek,0.004
geter,0.002
geulis,0.002
geus,0.002
gh,0.002
gigi,0.006
gigit,0.008
gigituan,0.002
gih,0.011
gila,0.03
ginih,0.006
gjtx,0.002
global,0.004
gndut,0.002
goes,0.002
goeti,0.002
gog,0.004
gojek,0.002
gol,0.002
goler,0.002
gonta,0.002
googlinglah,0.002
goong,0.002
goreng,0.009
gosah,0.009
gosip,0.002
gosok,0.002
goyah,0.002
goyang,0.002
gpx,0.002
gratis,0.002
grg,0.002
griya,0.002
grna,0.002
grup,0.004
gtm,0.002
gucci,0.002
gudang,0.002
guerengan,0.002
gug,0.002
gugel,0.002
gugup,0.002
gugur,0.006
gular,0.002
gulung,0.004
gumuc,0.002
gunting,0.002
guru,0.004
guruminda,0.002
gusti,0.017
guweh,0.004
gz,0.002
haa,0.002
habis,0.013
had,0.004
hadid,0.002
hadir,0.002
haduh,0.019
haduuhh,0.002
haeu,0.002
hafal,0.006
hahaa,0.004
hahahahahaha,0.002
hahahahahahaha,0.002
hahahahahha,0.002
hahahahahhahaha,0.002
hahahahhaa,0.002
hahahahhahaha,0.002
hahahahhahahaha,0.002
hahahatuhlah,0.002
hahahhaa,0.002
haid,0.002
haji,0.002
halal,0.002
halilintar,0.002
halus,0.002
hamba,0.002
hamil,0.013
hamvhura,0.002
hancur,0.009
hangus,0.002
hanipah,0.002
hantu,0.006
hanyut,0.004
hapus,0.004
haram,0.002
harap,0.008
harapan,0.002
hardest,0.002
harga,0.009
harie,0.002
haseum,0.002
hasil,0.002
hates,0.002
hati,0.028
hatter,0.002
hauahauahuahauahauahua,0.002
hauahauahuahauahu,0.002
hauahauhauahauhauahau,0.002
hauahauhauhauahu,0.002
hayam,0.002
hayang,0.002
haz,0.004
headset,0.004
heaven,0.002
hee,0.004
hejo,0.002
hektar,0.002
helaw,0.008
helmholtz,0.002
hemat,0.002
hemm,0.002
hengbodi,0.002
hensem,0.002
henti,0.006
hepen,0.002
hepening,0.002
hepitos,0.002
hepy,0.002
heroin,0.002
heueuh,0.002
heuh,0.002
heuleuh,0.002
hgaog,0.002
hha,0.038
hhahaha,0.013
hhahahaha,0.004
hhe,0.013
hho,0.002
hibur,0.002
hida,0.021
hidaa,0.002
hidayah,0.004
hideung,0.006
hidih,0.002
hidung,0.006
hidup,0.023
hih,0.002
hihihida,0.002
hijau,0.002
hijrah,0.002
hik,0.002
hilang,0.015
hingar,0.002
hinyay,0.002
hitam,0.006
hitung,0.004
hjnmx,0.002
hn,0.002
hntu,0.002
hoeeh,0.002
holic,0.006
homescreen,0.002
homoseksual,0.002
hooh,0.002
hormat,0.002
horor,0.002
hotel,0.002
hours,0.006
hoyong,0.002
hq,0.002
hqq,0.002
hrarayang,0.002
hrd,0.002
http,0.431
hua,0.002
huaah,0.002
huaha,0.002
huahaha,0.013
huahahaha,0.004
huahahahaha,0.004
huahahahahahahahaha,0.004
huahauhauahauhauhauahauhau,0.002
hubung,0.004
hubunganna,0.004
huee,0.002
huek,0.004
huhauahuahauahauahauhauahau,0.002
hujan,0.004
hujat,0.002
huks,0.004
huo,0.006
huoh,0.006
huruf,0.002
hus,0.002
husnudzon,0.004
hutan,0.002
iah,0.002
iang,0.002
ib,0.004
iblis,0.004
id,0.002
ide,0.002
idih,0.006
idiot,0.002
ih,0.053
ihwdl,0.002
ii,0.002
ikat,0.004
ikhlas,0.006
ikhtiar,0.004
iklan,0.006
iklanya,0.002
ilang,0.006
iman,0.009
imitasi,0.004
imran,0.002
inci,0.002
indallahi,0.002
indeed,0.002
indit,0.002
indone,0.002
indonesia,0.008
induk,0.004
industri,0.002
ingeris,0.002
ingkar,0.002
ingus,0.002
inisial,0.002
iniyah,0.002
instrumentation,0.002
insyaallah,0.002
insyaalloh,0.002
integral,0.006
introvert,0.002
io,0.002
ioo,0.002
ip,0.013
iq,0.002
iqg,0.002
iqro,0.002
isam,0.002
isi,0.017
islami,0.002
istigfar,0.004
istighfar,0.004
istikamah,0.002
istirahat,0.002
istri,0.002
itb,0.011
ite,0.002
itg,0.002
itumah,0.004
iupsa,0.002
iv,0.002
ivcl,0.002
iwa,0.004
ixgvu,0.002
ixnzb,0.002
iya,0.252
izin,0.002
izoej,0.002
jaad,0.002
jaat,0.002
jadiny,0.002
jaga,0.006
jahat,0.002
jahh,0.002
jail,0.002
jajan,0.002
jajarkeun,0.002
jalan,0.015
jalur,0.004
jaman,0.006
jamedud,0.002
jamin,0.002
jamur,0.002
janda,0.006
janganla,0.002
jangjang,0.002
jangkung,0.002
janji,0.004
jarak,0.004
jari,0.006
jarkom,0.008
jatuh,0.008
jawap,0.002
jede,0.004
jeebotz,0.002
jejedudan,0.004
jejepangan,0.002
jejeritan,0.002
jelek,0.006
jelema,0.002
jeli,0.002
jemput,0.002
jengkol,0.013
jengkoleun,0.002
jerat,0.002
jeruk,0.002
jet,0.002
jeung,0.002
jfzvz,0.002
jiga,0.002
jiganasuki,0.002
jigong,0.002
jilat,0.002
jilbab,0.002
jinjing,0.002
jlak,0.004
jnsna,0.002
jodo,0.002
jodoh,0.009
john,0.002
joj,0.002
joko,0.002
jokowi,0.002
jomleo,0.002
joox,0.002
jsb,0.004
jual,0.009
judul,0.006
jugemu,0.004
juliet,0.006
jumat,0.002
jumpa,0.002
jungkir,0.002
juni,0.002
junjunganque,0.002
jurig,0.002
jurnal,0.002
jus,0.002
kababayan,0.004
kabar,0.006
kabayang,0.002
kabesekan,0.002
kabulin,0.002
kabut,0.006
kacang,0.002
kacau,0.002
kacida,0.002
kadang,0.006
kade,0.004
kado,0.002
kaen,0.004
kaf,0.002
kai,0.002
kain,0.002
kake,0.002
kakek,0.002
kaki,0.013
kalah,0.019
kalapa,0.002
kalean,0.002
kalem,0.002
kaletak,0.002
kalih,0.002
kalimat,0.008
kalkulus,0.025
kaluar,0.002
kamalinaan,0.002
kamar,0.002
kambing,0.002
kamera,0.002
kamus,0.002
kanan,0.004
kandung,0.004
kantong,0.004
kantor,0.004
kanu,0.002
kanyahoan,0.002
kap,0.002
kaputan,0.002
karakter,0.004
karang,0.002
karbol,0.004
karbon,0.002
kari,0.002
karton,0.002
karyawan,0.002
kasar,0.002
kaselek,0.006
kasianed,0.002
kasih,0.028
kaso,0.008
kasur,0.002
kategori,0.002
katel,0.002
katoke,0.002
katuncar,0.002
kawalat,0.002
kawin,0.006
kbagean,0.008
kbnyakan,0.002
kebabayang,0.002
kebuli,0.002
kebun,0.004
kebut,0.002
kecewa,0.002
kedamayan,0.002
keduluan,0.002
kejut,0.015
kekoet,0.002
kelas,0.004
kelek,0.002
keluarga,0.002
keluh,0.004
kemana,0.004
kemarin,0.015
kemas,0.002
kembang,0.004
kembek,0.002
kempes,0.002
kempis,0.002
ken,0.013
kenal,0.009
kenang,0.002
kenawhy,0.002
kencring,0.002
kendang,0.002
kendi,0.006
keniqmatan,0.002
kentut,0.004
kepala,0.008
kepcer,0.002
keranjang,0.002
keras,0.002
keren,0.004
keri,0.002
kering,0.004
kerongkongan,0.002
kertas,0.002
kerudung,0.004
kesal,0.002
kesana,0.002
kesang,0.002
