term,weight
aaja,0.003
acak,0.003
acara,0.003
acl,0.003
actingnya,0.003
adan,0.003
adegan,0.003
adiktif,0.003
adil,0.017
adis,0.003
adk,0.003
admin,0.048
adminnya,0.003
aduh,0.02
aduk,0.02
affairs,0.003
ag,0.003
agama,0.01
ageng,0.003
agensi,0.003
agung,0.003
ah,0.01
ahmad,0.007
ahmed,0.003
ahsan,0.003
ahy,0.003
ain,0.003
airnav,0.003
ais,0.003
ajaib,0.007
ajar,0.031
akademi,0.003
akademika,0.003
akang,0.003
akibat,0.007
akkeu,0.003
akl,0.014
aklnya,0.003
aksara,0.003
akses,0.003
aksi,0.01
aksk,0.02
akting,0.007
aktor,0.003
aktvnya,0.003
akun,0.017
akuntansi,0.003
al,0.01
alam,0.01
alami,0.007
alas,0.003
album,0.007
alfamidi,0.003
alhamdulillah,0.024
alias,0.003
alice,0.003
alih,0.007
alisson,0.01
alit,0.003
alk,0.007
alur,0.003
amal,0.003
aman,0.027
ambil,0.017
amerika,0.003
ampo,0.003
ampuh,0.003
ampun,0.01
amsongg,0.003
an,0.017
anak,0.041
analisis,0.003
ancam,0.003
aneh,0.007
angelino,0.003
anggap,0.003
anggota,0.003
anime,0.014
anjir,0.007
announced,0.003
anoboy,0.003
ansary,0.003
antm,0.003
antuk,0.003
antusias,0.003
anu,0.003
anya,0.003
anyer,0.003
aparat,0.003
api,0.007
aplikasi,0.003
apparent,0.003
apriyani,0.003
ar,0.007
arah,0.003
area,0.007
argumen,0.003
ari,0.003
ariel,0.007
artikel,0.003
artis,0.007
aru,0.003
asa,0.003
ashar,0.003
ashiap,0.003
asik,0.01
asli,0.038
astaghfirullah,0.003
asumsi,0.007
atta,0.003
atur,0.003
audit,0.003
aurel,0.003
aurora,0.003
australia,0.003
awale,0.003
awaynya,0.003
awet,0.003
ayah,0.003
ayam,0.014
ayo,0.075
bab,0.01
baca,0.038
badan,0.003
bagikan,0.003
bagus,0.061
bahagia,0.007
bahan,0.003
bahas,0.014
bahasa,0.007
bahaya,0.003
bailly,0.003
bajing,0.017
baju,0.003
bakul,0.003
bal,0.003
balas,0.014
ban,0.003
bandara,0.007
bandung,0.003
bang,0.003
banget,0.003
bangetdah,0.003
bangka,0.003
bangku,0.003
bangun,0.027
banjir,0.003
bank,0.003
bans,0.003
bantu,0.034
bantuij,0.003
banya,0.003
bapas,0.003
bar,0.003
barang,0.003
barangkali,0.007
barca,0.003
barngkali,0.003
batal,0.048
batang,0.003
batu,0.007
batubara,0.003
bau,0.007
bawa,0.003
bayang,0.003
bayar,0.014
bayu,0.003
bb,0.01
bbc,0.003
beal,0.003
beda,0.041
belaga,0.007
belah,0.003
belanja,0.003
beli,0.031
beliau,0.007
belu,0.003
bendera,0.003
benfica,0.003
bentar,0.003
bentuk,0.003
beras,0.01
berasa,0.003
berat,0.007
bercengkrama,0.003
berdzikir,0.003
berekspektasi,0.007
berger,0.003
berhenti,0.017
berita,0.027
berlaw,0.003
bernies,0.003
bersih,0.007
bertumpuk,0.007
besok,0.02
betdah,0.003
betulkak,0.003
biarkan,0.003
biasane,0.003
biawak,0.003
biaya,0.003
bicara,0.014
biden,0.003
bijak,0.003
biji,0.003
bilang,0.007
bills,0.003
bimbing,0.003
bincang,0.003
bingung,0.017
bins,0.003
bintang,0.003
bints,0.003
bir,0.01
bismillah,0.007
bla,0.01
blackpink,0.007
blockbuster,0.003
blocking,0.003
blok,0.014
bodoh,0.014
bola,0.003
bolak,0.003
bolehboleh,0.003
bom,0.003
bon,0.003
bongkar,0.003
bookletnya,0.003
bookmark,0.003
borderland,0.003
bos,0.014
bosan,0.014
bowlnya,0.003
boyband,0.003
boys,0.007
bpom,0.003
bradley,0.003
brady,0.007
breaking,0.007
brebes,0.007
bris,0.003
brooklyn,0.003
brothers,0.003
bruno,0.003
brutu,0.003
bryant,0.003
buah,0.017
bubur,0.014
buccaners,0.007
bucs,0.003
budak,0.007
budaya,0.007
budnus,0.024
buka,0.003
bukalapak,0.014
bukit,0.003
bukti,0.003
buku,0.007
bulat,0.003
bule,0.003
bulutangkis,0.003
bunda,0.01
bungkam,0.003
burnley,0.007
buruk,0.007
busa,0.003
butuh,0.007
cadangin,0.003
cahaya,0.01
called,0.003
calon,0.007
canang,0.003
canda,0.007
candid,0.007
canggung,0.003
cangkir,0.003
cantik,0.01
carey,0.003
cari,0.01
casenya,0.003
catat,0.003
catur,0.003
cavani,0.003
cavs,0.003
cedera,0.007
ceker,0.003
cekung,0.003
cemil,0.027
cerah,0.003
cerita,0.055
ceritany,0.003
cewenya,0.003
champions,0.003
chan,0.003
chandra,0.003
chhichhore,0.003
chiefs,0.003
chinese,0.003
choi,0.003
cincin,0.007
cinecrib,0.007
cinematic,0.003
cinta,0.027
cita,0.007
citra,0.003
ciumbrella,0.003
coba,0.044
cocok,0.003
coelho,0.003
cok,0.003
colok,0.003
colonialism,0.003
com,0.003
congratulations,0.003
contest,0.003
contoh,0.007
cordal,0.003
corona,0.017
countries,0.003
credits,0.003
csat,0.003
cuk,0.003
curi,0.003
curiga,0.003
cuti,0.007
cuy,0.01
daendels,0.003
daerah,0.007
daftar,0.017
dagang,0.01
dahi,0.003
dalmi,0.003
damai,0.007
dame,0.007
dampak,0.003
dana,0.007
dapetnya,0.003
daritadi,0.01
dasar,0.003
dating,0.003
days,0.01
dcl,0.003
dea,0.003
deep,0.003
defens,0.003
defensenya,0.003
defesnse,0.003
definisi,0.003
deh,0.031
deleted,0.003
dendam,0.003
deng,0.007
denga,0.003
dengar,0.014
denny,0.003
derita,0.003
desa,0.007
deserves,0.003
detail,0.003
devicenya,0.003
dewa,0.003
dewasa,0.003
dewe,0.007
diajari,0.007
diam,0.003
diangkutin,0.003
diarahin,0.003
dibecandain,0.003
dibeliin,0.003
dibutuhin,0.003
dicatat,0.003
diceramahin,0.003
didengarkan,0.003
dijadikan,0.003
dikabarin,0.003
dikendalika,0.003
dikit,0.003
dilakuin,0.003
dimention,0.003
dinamika,0.003
dinas,0.003
dipakai,0.003
dipersiapin,0.003
diprivate,0.003
diread,0.003
direkomenda,0.003
direview,0.003
disave,0.003
discussing,0.003
diskon,0.003
diskusi,0.003
dispill,0.003
dispoilerin,0.003
distrik,0.007
ditungguin,0.003
djponline,0.003
dke,0.003
dki,0.003
doa,0.003
dokter,0.003
dokumen,0.007
dominasi,0.003
dompet,0.003
donald,0.003
donasi,0.003
dosa,0.003
dosbing,0.003
dosen,0.044
dospem,0.003
dpr,0.003
draf,0.003
drama,0.027
dress,0.003
dude,0.007
duduk,0.014
duga,0.003
duhur,0.003
duka,0.014
dukung,0.003
duni,0.003
dunia,0.017
durant,0.003
durasi,0.003
during,0.003
dwp,0.003
earwig,0.003
econom,0.003
edhy,0.003
edisi,0.007
efek,0.003
ego,0.003
eh,0.048
ehkok,0.003
ehtapi,0.003
ejek,0.003
eko,0.003
ekonomi,0.007
ekspektasi,0.003
eksploitasi,0.003
ekstensi,0.003
elah,0.003
em,0.003
embun,0.01
emma,0.003
emosional,0.003
emot,0.003
empati,0.007
enam,0.003
england,0.014
epi,0.003
episode,0.024
esmosi,0.003
estetik,0.003
etika,0.007
ett,0.017
euy,0.02
events,0.003
every,0.014
explainednya,0.003
fa,0.014
faa,0.003
faces,0.007
factors,0.003
fails,0.003
fakboi,0.003
far,0.003
fase,0.003
favorit,0.01
feb,0.003
february,0.003
felicia,0.003
film,0.072
fir,0.003
fisik,0.003
fm,0.003
fokus,0.01
foo,0.007
forwardan,0.003
foto,0.01
fpl,0.003
frame,0.003
fultz,0.003
fungsi,0.003
gabis,0.003
gacor,0.01
gadai,0.01
gadget,0.003
gadis,0.003
gagal,0.003
gaji,0.014
galeri,0.003
gambar,0.007
ganda,0.003
ganggu,0.003
ganti,0.017
gantung,0.003
gara,0.003
garing,0.007
garis,0.007
gasemua,0.003
gasin,0.003
gawang,0.007
gaya,0.007
gea,0.007
gelar,0.003
gembira,0.01
genap,0.007
generasi,0.003
geng,0.003
gentle,0.003
gera,0.003
gerak,0.007
geser,0.003
ghibli,0.003
ghosting,0.007
gila,0.044
giveaway,0.003
gizi,0.003
global,0.003
glodok,0.003
gmaps,0.003
