term,weight
abad,0.009
abadi,0.005
abri,0.005
abstrak,0.009
ac,0.005
acara,0.009
aceh,0.005
acis,0.005
adam,0.005
adams,0.005
adeknya,0.005
admin,0.019
ads,0.005
aduh,0.005
aduk,0.009
agama,0.005
agen,0.009
agronomi,0.005
agung,0.009
agustus,0.005
ah,0.024
ahlan,0.005
ahok,0.009
ai,0.005
air,0.014
airfryer,0.005
ajaib,0.005
ajak,0.019
ajar,0.009
aji,0.005
ajo,0.005
aju,0.005
akal,0.005
akamsi,0.005
akh,0.005
akhirat,0.005
akibat,0.005
aksen,0.005
akses,0.005
aktifitasku,0.005
aktipitas,0.005
aktuil,0.005
akumah,0.005
akun,0.019
ala,0.009
alam,0.009
alami,0.005
alang,0.009
alas,0.005
alat,0.014
albarn,0.005
album,0.009
alergi,0.005
alerta,0.009
alfaruq,0.005
alfatihah,0.005
alhamdu,0.005
ali,0.005
aliennya,0.005
alih,0.014
alir,0.005
allahuma,0.005
almarhum,0.005
alternatif,0.005
alus,0.019
aman,0.019
amandel,0.005
ambang,0.005
ambil,0.009
ambon,0.005
ambulans,0.005
amburadul,0.005
amerika,0.005
amigos,0.005
amin,0.014
aminkeun,0.005
ampun,0.009
an,0.033
anak,0.09
anaxetan,0.005
ancol,0.009
andal,0.005
anderteker,0.005
aneh,0.005
ang,0.005
angga,0.009
angger,0.005
anggur,0.009
angin,0.009
angkasa,0.005
angkat,0.024
ani,0.009
anjeng,0.005
anjim,0.005
anjing,0.005
anjinks,0.005
anonim,0.005
antapani,0.005
antik,0.005
antre,0.005
anu,0.005
anwar,0.005
anyar,0.009
apakabar,0.005
apani,0.005
apart,0.005
apel,0.005
api,0.005
apik,0.005
aplikasi,0.009
apollo,0.005
appreciate,0.005
appstore,0.005
arab,0.005
arah,0.014
arap,0.005
ardhito,0.005
ardita,0.005
ardito,0.005
area,0.005
ariel,0.005
aries,0.009
arif,0.005
arifin,0.005
arisan,0.005
armada,0.005
arsip,0.005
artikel,0.005
artis,0.005
artjog,0.005
artotel,0.005
artsy,0.005
artwork,0.005
asam,0.009
aselik,0.005
aset,0.009
asing,0.009
asks,0.005
asli,0.009
asri,0.005
asteukud,0.009
aston,0.005
astronot,0.005
atawa,0.005
atur,0.009
audio,0.009
aug,0.005
auroras,0.005
australia,0.005
avenged,0.005
awalud,0.005
ay,0.019
ayah,0.014
ayam,0.019
ayem,0.005
ayo,0.062
ayrton,0.005
ba,0.005
bab,0.005
babatok,0.005
babaturan,0.005
babi,0.009
baca,0.014
badan,0.005
bagoos,0.005
bagus,0.033
bahagia,0.005
bahan,0.019
bahas,0.009
bahasa,0.005
bahaya,0.014
baheula,0.005
baiq,0.005
bajing,0.019
bakar,0.005
bakat,0.005
bakmi,0.014
bakso,0.005
bakwan,0.005
bal,0.009
balad,0.005
balas,0.005
balikin,0.005
bambang,0.005
bandar,0.005
bandara,0.005
bandel,0.005
banding,0.009
bandoeng,0.005
bandung,0.028
bangga,0.005
bangkit,0.005
bangsa,0.009
bangun,0.014
bangunin,0.005
banjar,0.009
banjir,0.014
bannernya,0.005
bantal,0.005
banten,0.005
banting,0.005
bantu,0.009
bantul,0.005
bara,0.005
barangkali,0.005
barasuara,0.009
baratdaya,0.005
bareng,0.014
barter,0.005
basi,0.005
basic,0.009
baskara,0.005
baso,0.005
batal,0.478
batas,0.014
batu,0.005
bau,0.005
bawa,0.033
bawang,0.005
bayang,0.005
bayar,0.043
bch,0.005
bdsm,0.005
bebas,0.005
bebenyit,0.005
becandain,0.005
becus,0.005
beda,0.005
begonoan,0.005
begr,0.005
beja,0.005
bekas,0.005
bekraf,0.005
bela,0.005
belah,0.005
belang,0.009
belantara,0.005
belenggu,0.005
belfort,0.005
beli,0.052
belimbing,0.005
belok,0.014
benam,0.005
benarkan,0.005
benci,0.005
bengkok,0.005
bensin,0.005
benta,0.005
bentar,0.005
ber,0.005
berak,0.005
beranda,0.014
berani,0.009
beranta,0.005
berat,0.005
berbuka,0.005
berekspektasi,0.005
berfikirnya,0.005
berflower,0.005
berhala,0.009
berhenti,0.005
berisik,0.005
berita,0.019
berkat,0.005
bersih,0.005
bersyurkurlah,0.005
besi,0.005
besok,0.014
bestiality,0.005
betis,0.005
beungeut,0.005
bhaqwk,0.005
bhinneka,0.005
biadab,0.005
bibir,0.005
bicara,0.024
bidang,0.005
biji,0.019
bil,0.005
bilang,0.005
binasih,0.005
bingung,0.009
bint,0.005
bir,0.019
biru,0.009
bis,0.009
bisikin,0.005
bising,0.005
bismillah,0.005
bismillahirrahmanirrahim,0.005
bisnis,0.009
blackout,0.005
blek,0.005
blekmetal,0.014
blenjani,0.005
bnn,0.005
bobby,0.005
bobotoh,0.005
boca,0.005
bodoh,0.019
bogor,0.005
bokef,0.005
bola,0.005
bolak,0.005
bolela,0.005
bolos,0.005
bom,0.028
bombers,0.005
boo,0.005
borong,0.005
bos,0.009
bosan,0.009
botol,0.005
bram,0.005
brand,0.005
brandalisme,0.005
brandals,0.005
brando,0.005
breaking,0.005
brengsek,0.005
brompton,0.005
bruce,0.005
btm,0.005
buah,0.043
buahlul,0.005
buang,0.014
buangkhek,0.005
bubur,0.019
budaya,0.005
budgetnya,0.005
bujang,0.005
buka,0.033
bukti,0.009
buku,0.014
bumbu,0.005
bunda,0.009
bundir,0.005
bungkus,0.005
buntet,0.005
bunuh,0.005
bupon,0.005
burjo,0.005
buru,0.033
buruk,0.014
burung,0.005
buta,0.009
butu,0.005
butuh,0.014
buuk,0.005
bwang,0.005
bwehehe,0.005
bwoljugs,0.005
bypass,0.005
cabai,0.009
cabang,0.005
cahaya,0.014
calon,0.005
camera,0.005
cancels,0.005
canda,0.009
candra,0.005
cangkemmu,0.005
cantik,0.005
capai,0.005
cari,0.014
cat,0.005
caus,0.005
cc,0.005
cebok,0.005
cekelane,0.005
celaka,0.028
celana,0.005
cemil,0.066
cendol,0.005
cepat,0.005
cerah,0.005
cerbon,0.005
cerdas,0.005
cerita,0.028
ceritain,0.005
cersapen,0.005
ceta,0.005
cetak,0.005
chaidir,0.005
chan,0.005
chelsea,0.005
chelsy,0.005
chen,0.009
chika,0.005
chinook,0.005
chist,0.066
christian,0.005
cicil,0.005
cilik,0.005
cina,0.005
cing,0.005
cinta,0.043
cipali,0.014
cipta,0.014
ciputat,0.005
cirambay,0.009
cirambayku,0.005
circa,0.005
cirebon,0.038
cium,0.009
ciumbuleuit,0.009
ciwalk,0.005
ciwi,0.019
clear,0.005
clubhouse,0.005
coba,0.047
coenrad,0.005
cok,0.005
collects,0.005
colmek,0.005
comes,0.009
communica,0.005
conto,0.005
contoh,0.005
corona,0.033
coronavirus,0.005
cosas,0.005
couples,0.005
cowok,0.005
crut,0.019
crutski,0.005
crypto,0.005
cukur,0.009
cuma,0.019
cupang,0.005
cupuin,0.005
cura,0.005
dadas,0.005
daerah,0.005
daftar,0.009
dagang,0.014
dahlan,0.009
damai,0.005
daman,0.005
dampak,0.005
dangdut,0.005
danke,0.005
dansa,0.009
dapur,0.009
dapure,0.005
darah,0.005
darat,0.009
daria,0.005
darusman,0.005
dasar,0.014
data,0.009
daun,0.005
david,0.005
dawet,0.005
days,0.005
deactive,0.005
deathrockstar,0.005
debat,0.005
debut,0.005
deh,0.009
dek,0.005
dekade,0.005
demo,0.009
demokratisasi,0.005
demonstran,0.005
dendam,0.009
dengar,0.014
dentum,0.005
depok,0.005
derajat,0.005
deret,0.005
dermayu,0.005
deru,0.005
desah,0.009
desain,0.019
desember,0.005
detected,0.005
detik,0.005
deus,0.005
dharma,0.005
dhito,0.005
diam,0.014
diamanken,0.005
dicabutin,0.005
dicatet,0.005
dicelupin,0.005
did,0.005
didik,0.005
didn,0.005
diecut,0.005
dieue,0.005
dievakusi,0.005
difuh,0.005
dih,0.005
dihalalin,0.005
diharamin,0.005
diijabah,0.005
dijadikan,0.005
dil,0.005
diluar,0.005
dimaapin,0.005
dimana,0.009
dimonokromin,0.005
dimsum,0.005
dinas,0.005
dingin,0.014
dion,0.005
dipatiukur,0.005
diponegoro,0.005
diquotes,0.005
direktur,0.005
diriqu,0.005
disave,0.005
disebutin,0.005
disembunyiin,0.005
distorsi,0.005
disturbing,0.005
disuka,0.005
ditaliin,0.005
ditelfon,0.005
ditemuin,0.005
ditilep,0.005
divisi,0.009
dmasiv,0.005
dnscloak,0.005
doa,0.028
dokumenter,0.005
dolo,0.005
domestik,0.019
dongkrak,0.005
donna,0.005
dosa,0.005
doyan,0.005
drama,0.005
drummer,0.005
dubai,0.005
dudu,0.005
dukung,0.009
dunia,0.057
dunya,0.005
dur,0.005
durasi,0.005
durian,0.005
during,0.005
duta,0.005
earpiece,0.005
ecer,0.005
eceu,0.024
edar,0.005
eden,0.005
edgy,0.009
edisi,0.014
eh,0.005
ehehe,0.005
eheuy,0.005
eka,0.005
ekonomi,0.009
eksekutif,0.005
ekshibis,0.005
eksib,0.005
ekspatriatqu,0.005
eksperimental,0.005
eksposur,0.005
elektro,0.005
elka,0.005
elvi,0.005
eman,0.005
emas,0.009
emis,0.005
emosi,0.005
emot,0.005
empriss,0.005
empuk,0.005
emyu,0.009
en,0.005
enam,0.005
enaq,0.005
energi,0.005
engg,0.005
engkus,0.005
enny,0.005
episode,0.014
eric,0.005
es,0.019
etapi,0.005
euy,0.028
ewi,0.005
exhibitionist,0.005
eyesun,0.005
facebook,0.009
faces,0.005
