term,weight
aadc,0.003
aakak,0.003
aau,0.003
aborsi,0.003
abortus,0.003
abt,0.006
abu,0.003
abuba,0.003
abur,0.006
abusive,0.003
acan,0.003
accompagne,0.003
adam,0.003
adek,0.006
adhelisa,0.003
adhi,0.003
adil,0.009
adjustable,0.003
admin,0.012
admiring,0.003
aduh,0.017
aduk,0.003
afterwork,0.003
agama,0.026
agen,0.003
agksjdyemdllsbahakrjshsjhah,0.003
agustinus,0.003
ah,0.012
ai,0.006
aimes,0.003
ain,0.003
air,0.003
ajaib,0.003
ajak,0.012
ajar,0.02
akademis,0.003
akak,0.006
akal,0.009
akibat,0.003
akses,0.026
akun,0.006
akut,0.003
al,0.003
ala,0.009
alam,0.006
alami,0.003
alas,0.012
alat,0.009
algamax,0.003
alganax,0.003
alias,0.003
alir,0.003
alis,0.003
alkohol,0.003
along,0.006
alors,0.006
alprazolam,0.003
alr,0.003
altar,0.003
aman,0.006
amarah,0.003
amatsik,0.003
ambekin,0.003
ambil,0.046
ambrol,0.003
american,0.003
amin,0.026
amit,0.012
amoureux,0.003
ampun,0.038
an,0.02
anak,0.07
analisis,0.003
anarkis,0.003
ancol,0.003
ancyur,0.003
andai,0.003
andal,0.003
andil,0.003
aneh,0.006
anggap,0.014
anggota,0.006
anggur,0.014
angin,0.003
angka,0.003
angkat,0.009
angkut,0.003
anjing,0.003
anne,0.003
anniversary,0.003
antebellum,0.003
antem,0.006
anti,0.006
any,0.009
anymore,0.003
anytime,0.003
anywhere,0.003
apaansi,0.006
apaansih,0.003
apart,0.003
apelo,0.003
api,0.009
aplikasi,0.006
april,0.003
aprs,0.006
arah,0.009
ardhya,0.003
aren,0.003
arktik,0.003
arogan,0.003
arrire,0.003
arthur,0.003
arus,0.003
asa,0.023
asam,0.003
asap,0.009
ashr,0.012
asi,0.003
asip,0.003
ask,0.009
asked,0.003
asking,0.006
asli,0.02
assh,0.003
astrella,0.017
asumsi,0.003
ate,0.003
atm,0.003
atribut,0.003
atur,0.012
auk,0.003
aula,0.003
authentique,0.003
automne,0.003
autre,0.003
avicii,0.003
avv,0.003
aware,0.009
awareness,0.003
ayah,0.038
ayam,0.012
ayo,0.032
ba,0.006
baba,0.026
babe,0.012
babes,0.003
babi,0.006
babies,0.006
bablas,0.003
babyboy,0.003
baca,0.151
backsound,0.003
backyard,0.003
badai,0.012
badan,0.029
bagikan,0.003
bagorsi,0.003
bagpack,0.003
bagus,0.055
bahagia,0.014
bahaha,0.003
bahan,0.006
bahas,0.003
bahasa,0.023
bajigur,0.003
bajing,0.023
baju,0.012
bak,0.003
bakar,0.02
bal,0.026
balap,0.003
balas,0.023
balasan,0.003
bandara,0.006
bandel,0.003
banding,0.003
bangga,0.003
bangkrut,0.003
bangku,0.003
bangsa,0.003
bangun,0.026
banjar,0.009
banlieu,0.003
bantu,0.017
baperan,0.003
bar,0.003
barbie,0.006
barcelona,0.003
bareng,0.014
baris,0.009
basang,0.003
bastille,0.003
batal,0.02
batas,0.012
batin,0.006
batita,0.003
batu,0.003
batuk,0.003
bau,0.012
bawa,0.029
bawain,0.003
bawang,0.023
bawel,0.003
bayang,0.009
bayangkan,0.003
bayar,0.029
bayi,0.049
bb,0.012
bcs,0.006
bears,0.003
beban,0.003
bebas,0.009
bebe,0.014
bebi,0.012
becoming,0.003
beda,0.032
begadang,0.003
bekas,0.006
beku,0.012
belaga,0.014
belah,0.009
belanja,0.003
belas,0.006
beli,0.009
beliau,0.012
belikan,0.003
belle,0.003
belok,0.006
ben,0.003
benang,0.003
bencana,0.003
benci,0.012
benda,0.003
bengkak,0.003
benjamin,0.003
bentuk,0.009
bep,0.009
beraktifitas,0.003
berani,0.009
beranta,0.003
berantas,0.003
berat,0.014
berbehel,0.003
berhenti,0.006
berisik,0.006
berita,0.017
berkat,0.014
bersih,0.009
bersin,0.003
beruang,0.006
besame,0.003
besi,0.006
besok,0.02
betah,0.006
between,0.003
beyonc,0.003
beyond,0.003
bhayangkara,0.003
biadab,0.012
biarpun,0.003
biaya,0.003
bibbidi,0.003
bibir,0.003
bible,0.006
bibskuy,0.014
bibsky,0.006
bicara,0.035
bieber,0.003
bigger,0.006
bijaksana,0.003
bikin,0.026
bilang,0.127
bimbing,0.009
bimo,0.003
binatang,0.006
bingung,0.014
bintang,0.014
bionik,0.003
biru,0.009
bis,0.006
bise,0.003
bising,0.003
bisnis,0.003
bitchas,0.003
bitchy,0.003
blablabla,0.003
blah,0.009
blaming,0.003
blanc,0.003
bleed,0.003
blige,0.003
blocked,0.006
blok,0.006
blow,0.009
blues,0.003
bob,0.003
bobbidi,0.003
bodoh,0.026
bogor,0.009
bohong,0.009
bolak,0.003
bolong,0.003
bom,0.012
bon,0.003
bonceng,0.003
boneka,0.003
bonheur,0.006
bonsoir,0.003
boo,0.003
book,0.006
bor,0.006
bosan,0.017
bossqu,0.003
bought,0.003
bow,0.003
bpjs,0.003
bra,0.003
brand,0.003
brata,0.003
bravely,0.003
brengsek,0.006
brewok,0.003
briefing,0.003
brimob,0.003
bringing,0.003
brok,0.003
brought,0.003
brownies,0.003
brunch,0.009
brunchy,0.003
bsame,0.006
buah,0.014
buang,0.006
bubar,0.003
bubuk,0.003
bucharest,0.003
budak,0.003
budaya,0.003
buibu,0.003
buka,0.032
buket,0.003
bukti,0.009
buku,0.006
bulat,0.003
bule,0.003
bulu,0.003
buluk,0.003
bumbu,0.003
bumi,0.02
bundo,0.003
bunga,0.006
bungkus,0.003
bunsky,0.003
bunuh,0.003
buram,0.003
burger,0.003
burst,0.003
buruk,0.02
burung,0.003
busuk,0.009
butik,0.003
butuh,0.078
buzug,0.003
ca,0.003
cahaya,0.023
cakap,0.003
cakebh,0.003
cal,0.003
calgary,0.003
called,0.006
calming,0.003
campur,0.003
canda,0.006
candid,0.009
canel,0.003
canggih,0.003
cangkang,0.003
cangkir,0.009
cantik,0.02
capai,0.003
cappuccino,0.003
capricorn,0.003
cari,0.046
carik,0.012
catat,0.006
catokan,0.003
catur,0.003
cause,0.014
cc,0.003
cela,0.003
celaka,0.003
celana,0.003
celestine,0.003
cema,0.003
cemil,0.107
cemplung,0.003
cenderung,0.003
cengeng,0.003
cepat,0.032
cepatan,0.003
ceplas,0.003
ceplos,0.003
cerah,0.006
cerewet,0.023
cerita,0.046
ceritain,0.003
cermin,0.006
cerna,0.006
ceroboh,0.006
cetak,0.003
cewek,0.003
champ,0.006
chan,0.003
chasing,0.003
chatarina,0.006
checking,0.003
cheerleader,0.003
cher,0.003
chinese,0.003
chip,0.003
chips,0.003
cho,0.003
choco,0.006
chose,0.003
choupinette,0.006
christmas,0.026
christo,0.003
christopher,0.061
chub,0.003
chubby,0.006
ci,0.02
cibs,0.003
cici,0.003
cid,0.003
ciduk,0.003
cigs,0.003
cih,0.006
cinta,0.127
cipta,0.009
ciripa,0.003
cisapride,0.003
cita,0.003
citilink,0.006
citra,0.003
cium,0.014
ciut,0.006
ciwi,0.009
ciyucun,0.003
clestine,0.003
clingy,0.006
closer,0.003
coba,0.046
coco,0.012
coffea,0.003
coffebeerian,0.003
cokelat,0.006
coldplay,0.017
commitment,0.003
comprendre,0.003
conan,0.003
conrad,0.003
contest,0.003
contoh,0.003
corona,0.003
couldn,0.006
cowok,0.046
cozmo,0.006
crawling,0.003
creatures,0.003
cried,0.003
crois,0.003
cuaca,0.006
cuap,0.006
cubit,0.003
cuddles,0.003
cukur,0.003
curang,0.003
cure,0.003
cured,0.003
curhat,0.006
curi,0.003
cuteness,0.003
cuti,0.009
cutie,0.009
cuy,0.003
dadah,0.006
dadak,0.003
dadang,0.003
daerah,0.009
daftar,0.006
dagang,0.003
daku,0.003
dalemnye,0.003
dalih,0.003
damai,0.009
damba,0.003
damez,0.003
dampak,0.003
dancing,0.003
dandan,0.003
danse,0.003
dapur,0.009
dar,0.003
darah,0.006
darimana,0.003
darkest,0.003
darlie,0.003
dasar,0.017
days,0.003
dcrire,0.003
deadline,0.006
debat,0.006
debu,0.003
december,0.003
decide,0.003
decided,0.009
dedekchan,0.003
deep,0.003
definisi,0.003
deh,0.067
del,0.006
delete,0.003
deliv,0.003
demam,0.014
demo,0.003
dempul,0.003
denda,0.003
dendam,0.003
dengar,0.041
depok,0.003
derajat,0.003
derita,0.009
dermaga,0.003
des,0.003
desa,0.003
dese,0.003
desember,0.003
deserves,0.003
deseu,0.003
despus,0.003
detik,0.003
deux,0.003
deuxime,0.003
dewa,0.003
dewasa,0.012
diajakin,0.003
diam,0.032
dibaikkin,0.003
dibegoin,0.003
dibesarin,0.003
dibukain,0.003
dicancel,0.003
dicatok,0.003
dicuekkin,0.003
did,0.017
didik,0.012
didn,0.006
dieu,0.003
digodain,0.003
diinget,0.003
dijadikan,0.003
dijelasin,0.006
dijodohin,0.003
dikangenin,0.003
dikasihanin,0.003
dikeluarin,0.003
dikerjain,0.003
dikirain,0.003
dikit,0.038
dikomentarin,0.003
dil,0.003
dilema,0.012
dimainin,0.006
dimana,0.029
dimanjain,0.006
dingin,0.014
dinosaurus,0.006
diomongin,0.009
dion,0.003
dipelajarin,0.003
dipikirkan,0.003
diputerin,0.003
diread,0.006
disa,0.012
disalahin,0.003
disebarluaskan,0.003
disiplin,0.009
diskon,0.003
disturbs,0.003
dit,0.003
ditangisin,0.003
ditelfon,0.003
ditemenin,0.003
diterusin,0.003
ditunjukkin,0.003
diupdate,0.003
divideoin,0.003
diviralkan,0.003
divo,0.003
dj,0.003
dki,0.006
doa,0.02
doc,0.003
does,0.003
doesn,0.012
doing,0.006
dokar,0.003
dokter,0.006
dokumen,0.003
dokumentasi,0.003
domba,0.003
domestik,0.003
domperidone,0.003
donat,0.006
donne,0.003
doopsy,0.003
doors,0.003
dosa,0.014
dosen,0.003
dospem,0.003
douglas,0.003
doyan,0.003
doyle,0.003
drama,0.009
dramas,0.003
dress,0.003
driving,0.003
drugz,0.003
du,0.006
dude,0.003
duduk,0.02
dufan,0.003
duga,0.003
duka,0.003
dukung,0.003
duluan,0.009
dunia,0.058
duty,0.003
dylan,0.003
each,0.006
ears,0.003
earthquakes,0.003
efek,0.017
eh,0.032
either,0.003
eksekutif,0.014
ekspos,0.003
ekstasi,0.003
elah,0.006
elok,0.003
else,0.003
email,0.003
emas,0.003
embel,0.003
ember,0.009
emis,0.006
emma,0.003
emosi,0.003
en,0.012
encek,0.003
encer,0.003
energi,0.003
enfer,0.003
enggan,0.003
engkau,0.003
enough,0.012
eo,0.009
epik,0.003
erik,0.003
erika,0.003
ernest,0.003
erti,0.003
es,0.012
esp,0.003
est,0.012
et,0.009
eufrasia,0.009
europe,0.003
eventually,0.003
every,0.017
everywhere,0.003
example,0.003
excuses,0.003
expo,0.003
eyebrow,0.003
ezel,0.003
fa,0.003
facebook,0.006
fail,0.003
fajar,0.003
fakta,0.006
fakultas,0.003
fanatik,0.003
fani,0.003
fantasi,0.003
fantasiin,0.003
far,0.006
fase,0.003
fast,0.006
favorit,0.017
fck,0.003
feeding,0.003
feelings,0.006
festi,0.006
feuilles,0.003
fgba,0.003
fille,0.006
filled,0.003
film,0.012
filsafat,0.003
finalement,0.003
fine,0.009
firasat,0.003
fired,0.003
firestone,0.003
firman,0.003
fisik,0.009
fitri,0.003
fitur,0.003
five,0.003
fj,0.003
flexed,0.003
flightless,0.003
flowers,0.003
flows,0.003
flu,0.003
fokus,0.012
foto,0.023
franaises,0.003
france,0.006
francis,0.006
freezer,0.003
french,0.012
friday,0.006
friends,0.006
frustrasi,0.003
further,0.003
fussing,0.003
gadget,0.006
gading,0.003
gadis,0.014
gado,0.006
gaenak,0.003
gagak,0.003
gagal,0.009
gairah,0.003
gais,0.006
gaiz,0.003
gaji,0.009
galak,0.003
galeri,0.003
galuh,0.078
gambar,0.006
gampar,0.003
gang,0.003
gangerti,0.006
ganggu,0.003
ganjil,0.003
ganti,0.012
gantung,0.006
gara,0.012
garini,0.003
garis,0.003
garpu,0.003
garuk,0.006
gaul,0.006
gave,0.003
gaya,0.003
gaye,0.003
gb,0.003
gebu,0.006
gede,0.006
gedung,0.023
geez,0.003
gejala,0.006
gelambir,0.006
gelandang,0.003
gelap,0.009
gelar,0.006
geletak,0.003
geli,0.003
gelisah,0.009
gelogor,0.003
gemas,0.012
gembira,0.017
gemerlap,0.003
gemesh,0.006
gemetar,0.006
gemetch,0.003
gemeter,0.003
gemeteran,0.003
gempa,0.014
gempal,0.003
genap,0.003
gendut,0.017
gengs,0.003
gengsi,0.003
genit,0.003
genting,0.003
georges,0.003
gera,0.003
gerak,0.003
geram,0.003
gerbang,0.003
gercep,0.009
gerd,0.026
gereja,0.02
gertak,0.003
geser,0.009
getting,0.003
gh,0.003
gianyar,0.003
giat,0.003
gibah,0.003
gigi,0.003
gih,0.009
gila,0.043
ginayu,0.003
girlfriend,0.003
glogor,0.009
godain,0.003
goes,0.003
gofar,0.014
gogirl,0.003
gojek,0.006
gol,0.003
gone,0.003
goodluck,0.003
goodnight,0.003
googling,0.006
gopay,0.006
goreng,0.026
gores,0.009
gosah,0.003
gosip,0.006
gosong,0.003
goyang,0.006
graha,0.003
grandma,0.003
gubuk,0.006
guesthouse,0.003
gugup,0.003
gula,0.003
guling,0.006
guncang,0.003
guru,0.003
gustav,0.003
gym,0.012
gz,0.003
habis,0.046
had,0.014
hadir,0.014
hahahahahaha,0.009
hahahahahahanangisyuk,0.003
haid,0.02
hak,0.02
hakim,0.009
halaman,0.003
halang,0.003
halim,0.009
hallelujah,0.003
halte,0.003
halusinasi,0.003
hamba,0.003
hamil,0.003
hancur,0.006
handphone,0.003
haneke,0.003
hangat,0.006
hantu,0.003
happened,0.003
happens,0.009
harafiah,0.006
harap,0.052
hardest,0.003
harfiah,0.006
harga,0.02
haruki,0.003
has,0.009
hasil,0.009
hati,0.113
haus,0.003
heard,0.003
heartbreak,0.003
heartist,0.003
heaven,0.003
hebat,0.009
heck,0.006
hehehehe,0.003
hela,0.003
held,0.003
helps,0.003
hembus,0.003
henti,0.023
heran,0.014
hewan,0.006
hias,0.003
hibur,0.006
hidup,0.075
hijau,0.003
hilang,0.023
hina,0.012
hindar,0.009
hirup,0.003
his,0.023
hitam,0.012
hitting,0.003
hitung,0.006
hlp,0.003
hobbs,0.003
hormat,0.006
hormon,0.006
horsi,0.003
horsiw,0.003
hostess,0.003
hotel,0.038
hotelier,0.012
hours,0.006
http,0.046
hua,0.003
hubung,0.029
hugged,0.003
hugs,0.003
hujam,0.003
hujan,0.026
hujat,0.012
hukum,0.009
humain,0.003
humming,0.003
huruf,0.003
husband,0.006
huwa,0.003
hwee,0.003
hype,0.003
ib,0.012
ibadah,0.003
ibib,0.012
iblis,0.003
ibrani,0.003
icha,0.003
ichi,0.003
id,0.003
idam,0.006
ide,0.006
ideal,0.006
identik,0.003
identitas,0.006
idrh,0.003
idul,0.003
ifyhqqvyf,0.003
ih,0.006
ijazah,0.003
ikhlas,0.003
ikkudo,0.003
ikuti,0.003
il,0.006
ilang,0.003
ilham,0.072
ilmu,0.009
imajinasi,0.003
imperial,0.003
impulsive,0.003
inci,0.003
indah,0.017
indak,0.003
indonesia,0.017
infected,0.003
infinie,0.003
informasi,0.012
inggris,0.003
inisiasi,0.003
inner,0.003
inpepsa,0.003
instagram,0.026
intelek,0.006
intellectuelle,0.003
intern,0.003
internasional,0.003
internet,0.003
internis,0.009
interstellar,0.003
inti,0.009
invited,0.003
ipad,0.003
iqbaal,0.003
iri,0.012
isi,0.032
ismail,0.003
isn,0.003
iso,0.003
istana,0.003
istilah,0.009
istimewa,0.006
istirahat,0.02
istri,0.006
isu,0.012
italiana,0.003
iver,0.003
ivy,0.003
ix,0.006
iya,0.391
izin,0.006
jabat,0.003
jadwal,0.006
jaga,0.006
jagung,0.003
jahahaha,0.003
jaja,0.003
jajan,0.006
jakarta,0.017
jalan,0.078
jalur,0.009
jam,0.009
jamah,0.003
jaman,0.006
jamblang,0.003
jamin,0.006
jamu,0.003
janji,0.017
japanese,0.003
jarang,0.003
jargon,0.006
jari,0.012
jasa,0.003
jatuh,0.038
je,0.014
jebak,0.003
jelasin,0.003
jelek,0.006
jelma,0.003
jemput,0.006
jenis,0.017
jenius,0.003
jerapah,0.003
jesus,0.003
jiwa,0.003
jobfair,0.003
jobless,0.003
jodoh,0.014
joget,0.003
jogging,0.006
john,0.006
johnson,0.003
jok,0.006
jokes,0.003
jompo,0.003
jonggol,0.003
jongkok,0.003
jorokkin,0.003
jour,0.006
jual,0.038
juan,0.009
juang,0.02
judgement,0.003
judgy,0.003
judy,0.003
jujur,0.006
juli,0.003
julid,0.006
junkie,0.009
jurnal,0.003
juste,0.003
justin,0.003
juta,0.006
kabar,0.009
kabin,0.006
kadang,0.026
kah,0.003
kai,0.014
kaia,0.003
kaikai,0.003
kaji,0.003
kaki,0.012
kaku,0.009
kalah,0.032
kalem,0.003
kaleng,0.009
kamar,0.026
kambuh,0.009
kampanye,0.003
kampus,0.009
kamus,0.003
kanan,0.006
kandas,0.003
kansas,0.006
kantin,0.012
kantong,0.003
kantor,0.029
kantuk,0.012
kapir,0.003
karina,0.003
karoluss,0.003
kartu,0.009
karuan,0.003
karya,0.003
kas,0.009
kasar,0.006
kasih,0.058
kasihan,0.006
kastil,0.003
kasur,0.009
katain,0.003
katakata,0.003
katedral,0.006
katering,0.003
katholik,0.006
kati,0.003
katolik,0.006
katsu,0.003
kaus,0.003
kawin,0.003
kaya,0.003
kayaknya,0.003
kbp,0.003
kebas,0.003
kecap,0.003
kece,0.006
kecewa,0.014
kecuali,0.006
kedai,0.003
kejar,0.006
keji,0.003
kejut,0.026
keket,0.009
kelakar,0.003
kelamin,0.003
kelapa,0.003
kelaperan,0.003
kelas,0.009
keliar,0.003
kelinci,0.003
kelompok,0.006
keluarga,0.032
keluarv,0.003
keluh,0.003
kelulus,0.003
keluyur,0.003
kemana,0.003
kemarin,0.026
kemaruk,0.003
ken,0.049
kenal,0.014
kenapaci,0.003
kenapasih,0.003
kenapatuh,0.003
kenapesi,0.006
kencang,0.003
kendara,0.006
kengken,0.003
kentang,0.014
kenyal,0.003
kenyang,0.006
keos,0.003
kepala,0.023
kepik,0.003
kepleset,0.003
kerang,0.006
keras,0.014
keren,0.006
kering,0.012
keringat,0.003
keriting,0.003
kertas,0.003
kerx,0.003
kesal,0.014
kesi,0.006
kesini,0.003
ket,0.006
ketawa,0.026
ketek,0.003
ketemu,0.014
keto,0.003
ketoprak,0.003
ketrampilan,0.003
ketua,0.003
khas,0.003
khusyuk,0.006
kicil,0.003
kierkegaard,0.003
kilas,0.003
kilo,0.006
kilogram,0.006
kinclong,0.003
kinda,0.003
kindly,0.006
kipem,0.009
kiri,0.012
kirim,0.014
kismin,0.003
kissed,0.006
kit,0.006
klasik,0.003
klimaks,0.003
klub,0.032
knew,0.006
knji,0.003
knows,0.009
kokpit,0.003
kolam,0.009
kolesterol,0.003
kolup,0.003
komandan,0.003
komennya,0.006
komentar,0.009
kompeten,0.003
kompetisi,0.003
komplek,0.003
komplen,0.003
kompor,0.003
komuknye,0.003
komunikasi,0.009
kondisi,0.017
konfigurasi,0.003
konsekuensi,0.006
konsep,0.003
konser,0.003
konservatif,0.003
konservatisme,0.003
konsumen,0.003
konsumsi,0.003
kontak,0.006
konteks,0.003
kontra,0.003
kontrak,0.003
koper,0.006
kopi,0.038
kora,0.006
koran,0.003
korban,0.009
koreksi,0.003
koridor,0.003
korporat,0.003
kos,0.014
kosong,0.017
kota,0.003
kotak,0.003
kotor,0.003
kotoran,0.006
kram,0.003
krama,0.003
krim,0.006
kristen,0.003
kritik,0.012
kriuk,0.006
kualitas,0.006
kuasa,0.006
kuat,0.038
kuatir,0.006
kubang,0.003
kucing,0.006
kue,0.014
kuis,0.009
kuliah,0.02
kulit,0.02
kultwitmu,0.003
kumis,0.003
kumpul,0.012
kunci,0.006
kuning,0.009
kunjung,0.006
kuping,0.006
kuproy,0.003
kurleb,0.003
kursi,0.006
kurus,0.012
kusuma,0.003
kut,0.003
kutip,0.003
kutuk,0.012
kwitansi,0.003
kygo,0.009
label,0.003
labeling,0.003
labil,0.003
laboratorium,0.006
lacur,0.003
lagu,0.049
lahir,0.02
lain,0.006
laki,0.136
laksana,0.009
lala,0.003
lalalala,0.003
lamar,0.012
lambat,0.009
lambe,0.003
lamian,0.003
lampir,0.003
lana,0.006
lancar,0.003
lang,0.003
langgan,0.006
langit,0.003
langkah,0.012
lanjutkan,0.003
lantah,0.003
lantai,0.006
lapak,0.003
lapar,0.017
lapor,0.006
larang,0.012
lari,0.012
larry,0.003
larut,0.003
lasagna,0.003
lasts,0.003
latar,0.003
lately,0.003
later,0.003
laut,0.009
lawak,0.003
lawless,0.003
layak,0.009
layan,0.009
laying,0.003
lazer,0.006
lc,0.003
least,0.003
leaves,0.003
leaving,0.003
lebar,0.009
lebihin,0.003
ledak,0.006
leher,0.006
lekas,0.003
lelah,0.026
lele,0.006
lelucon,0.003
lemah,0.012
lemak,0.006
lemas,0.009
lembar,0.003
lembut,0.003
lempar,0.006
lepas,0.009
lepek,0.003
les,0.009
letting,0.006
levine,0.003
lgbt,0.006
lho,0.012
liberalisme,0.003
libur,0.009
lidah,0.003
lilin,0.003
lilit,0.003
lindes,0.003
lingkar,0.029
lintah,0.003
lipat,0.003
lirik,0.003
listening,0.003
listrik,0.003
liturgi,0.003
livin,0.003
ll,0.038
lobi,0.014
loca,0.003
locked,0.003
logam,0.003
logis,0.003
loh,0.014
lokasi,0.009
lolipop,0.003
lombok,0.003
lompat,0.003
loncat,0.003
longchamp,0.003
longer,0.006
lonte,0.006
look,0.006
lotre,0.003
lounge,0.003
loved,0.006
luas,0.003
lucas,0.003
lucu,0.009
lucy,0.003
ludah,0.003
luk,0.003
lukis,0.003
luluh,0.003
lulus,0.012
lumayan,0.009
luncur,0.006
lupa,0.029
lurus,0.006
ly,0.009
maaf,0.049
maag,0.006
mabuk,0.006
macan,0.003
macciw,0.003
macet,0.003
madame,0.003
made,0.009
mading,0.003
maestro,0.003
mahal,0.009
mahir,0.006
mahkluk,0.003
maigret,0.003
main,0.003
mainin,0.003
mais,0.003
maju,0.006
makaci,0.012
makan,0.026
makas,0.006
makes,0.009
maki,0.006
making,0.003
makna,0.003
makudnyah,0.003
malabar,0.003
malaikat,0.003
malam,0.084
malas,0.017
maleman,0.009
mall,0.003
malu,0.026
maluin,0.003
mamam,0.003
manasin,0.003
mandi,0.009
mandir,0.003
mandiri,0.003
manggilnya,0.003
manis,0.009
mantan,0.012
mantap,0.003
mantra,0.003
manusia,0.038
manusiawi,0.003
marah,0.012
mardy,0.003
mari,0.009
maria,0.003
maribaya,0.003
marital,0.003
martabak,0.003
martin,0.003
marvin,0.003
mary,0.003
masak,0.006
maskapai,0.02
massa,0.003
masup,0.006
masyarakat,0.003
matahari,0.012
matang,0.003
mates,0.003
mati,0.064
matiin,0.003
maty,0.003
maya,0.003
mayer,0.003
mazzy,0.003
mbok,0.003
mcd,0.006
med,0.014
media,0.02
medias,0.003
meds,0.003
meg,0.006
megap,0.006
melamar,0.003
melankolis,0.003
melar,0.003
melarang,0.006
melarat,0.003
melawak,0.003
melbourne,0.003
melek,0.003
melihati,0.003
melipir,0.003
mellow,0.003
melted,0.003
mem,0.003
memaafi,0.003
memakai,0.032
membership,0.003
memmy,0.003
memori,0.003
menang,0.058
menawari,0.003
mencatok,0.003
mencoblos,0.003
mencolong,0.003
mendem,0.003
mendengarkan,0.003
mendung,0.003
menempel,0.009
menengok,0.003
menerima,0.009
mengaku,0.003
mengalir,0.006
mengambil,0.003
mengantri,0.026
mengatai,0.003
mengatasnamakan,0.003
mengatur,0.003
mengetik,0.006
mengganggu,0.003
menghujat,0.006
mengidam,0.003
mengomongnya,0.009
menikah,0.023
menit,0.009
menjalani,0.003
menjiplak,0.003
mental,0.006
menteri,0.012
mentok,0.003
menuduh,0.003
menyadari,0.003
menyimak,0.003
merah,0.006
merde,0.003
meriang,0.006
merinding,0.014
mering,0.003
mertua,0.003
mes,0.003
mesan,0.006
mesen,0.009
meses,0.006
mesin,0.006
messages,0.003
meurent,0.003
mewah,0.003
miaou,0.003
michael,0.003
micin,0.006
midi,0.006
mie,0.014
miedo,0.003
might,0.032
mikirnya,0.003
milik,0.136
millennial,0.003
mimpi,0.023
minat,0.003
mindset,0.003
minggu,0.035
mini,0.006
minke,0.006
minum,0.02
mio,0.003
misi,0.009
misteri,0.003
misuh,0.035
mobil,0.009
model,0.003
moi,0.006
moins,0.003
mojok,0.003
molotov,0.003
momen,0.003
mon,0.017
mondar,0.003
monday,0.009
monde,0.006
monica,0.003
monkeys,0.003
monsieur,0.003
monsters,0.003
months,0.003
monyet,0.003
moral,0.006
motivasi,0.006
motong,0.003
motor,0.017
mots,0.003
muak,0.006
mual,0.009
muara,0.003
muat,0.003
muchas,0.003
mucho,0.006
muda,0.006
mudah,0.046
muhammad,0.009
