term,weight
abai,0.003
abaju,0.003
abb,0.006
abbas,0.003
abegeh,0.003
absolutely,0.003
ac,0.009
acara,0.009
adab,0.003
adam,0.003
addict,0.006
adding,0.003
adek,0.022
admin,0.003
adon,0.003
aduh,0.025
aduk,0.006
adz,0.019
aeerr,0.003
afa,0.003
aforanggie,0.003
agrpuig,0.003
agus,0.003
agustus,0.003
ah,0.028
ahli,0.003
ahok,0.013
ahx,0.003
ahy,0.003
ain,0.003
aiqiu,0.003
air,0.003
ajak,0.009
ajar,0.009
ajeng,0.003
ajjah,0.003
akffaeyv,0.003
akhirnyah,0.003
aktip,0.003
akun,0.006
akuuh,0.003
al,0.003
alah,0.006
alas,0.016
alfamidi,0.003
alhamdulillah,0.038
alhasil,0.003
ali,0.003
allahumma,0.003
alokasi,0.003
alpfm,0.003
alquran,0.006
amalini,0.003
aman,0.003
amar,0.003
ambil,0.003
amien,0.003
amiit,0.006
amin,0.05
ammpuun,0.003
ampuh,0.003
ampun,0.022
an,0.066
anak,0.173
anaknya,0.003
anarkis,0.003
ancol,0.003
andai,0.003
andriy,0.003
aneh,0.006
anehh,0.003
anggap,0.003
anggar,0.003
anggara,0.003
anggota,0.006
anggun,0.003
anggur,0.009
angin,0.003
anies,0.025
anjing,0.006
ankny,0.003
anniversary,0.003
antam,0.003
antee,0.003
antem,0.003
anteng,0.013
anther,0.003
anti,0.003
anting,0.003
any,0.003
aokaoakoak,0.003
aokaokaokaok,0.003
apaann,0.003
aparat,0.006
apeelo,0.006
aph,0.003
api,0.003
aplikasi,0.009
april,0.003
arsion,0.003
artha,0.003
artikel,0.006
artis,0.006
arya,0.003
aseem,0.003
aselii,0.003
asiikk,0.003
asikknya,0.003
astaga,0.003
astaganaga,0.003
astagfirullah,0.013
atm,0.003
atmojo,0.003
atrium,0.003
atur,0.003
audrey,0.003
aunty,0.006
auss,0.003
awan,0.003
awas,0.003
awesome,0.003
ayaah,0.003
ayah,0.003
ayo,0.016
ayokk,0.003
baasir,0.003
babaju,0.003
bablas,0.006
babuu,0.003
babyboy,0.003
babymom,0.003
babynya,0.003
baca,0.054
badan,0.003
badut,0.003
bagus,0.047
bahagia,0.003
bahan,0.006
bahas,0.006
bahasa,0.003
bahela,0.003
bajo,0.003
bajrangi,0.003
baju,0.022
bakar,0.003
bakung,0.003
bal,0.016
balas,0.003
balil,0.003
balu,0.003
bambu,0.009
banci,0.003
bandara,0.013
banding,0.003
banget,0.035
bangga,0.006
bangun,0.035
bangunin,0.006
banjir,0.003
bank,0.006
bantal,0.013
bantaran,0.003
banten,0.003
bantu,0.006
banyakk,0.003
banyol,0.003
