term,weight
abadi,0.003
abai,0.012
abdul,0.003
abu,0.027
abur,0.003
ac,0.003
acara,0.015
acau,0.003
accuse,0.006
activist,0.003
actors,0.003
acuh,0.006
adalag,0.003
adha,0.003
adi,0.006
adil,0.074
admin,0.047
administrasi,0.006
adminnya,0.003
adopsi,0.006
aduh,0.033
afiliasi,0.003
afwan,0.003
agam,0.012
agama,0.053
agenda,0.003
agung,0.003
agustus,0.003
ah,0.036
ahad,0.003
ahay,0.003
aher,0.009
ahli,0.009
ahmad,0.015
ahok,0.033
ahoker,0.006
ahokers,0.003
ahy,0.024
aids,0.006
air,0.006
ajak,0.006
ajar,0.03
aji,0.003
aju,0.012
akademik,0.003
akademisi,0.003
akal,0.033
akar,0.003
akbar,0.003
akh,0.003
akhirat,0.03
akhlak,0.006
akhlaqnya,0.003
akibat,0.003
aksi,0.015
aktif,0.009
aktivis,0.012
aktivitas,0.009
aktor,0.003
akun,0.045
akur,0.006
akurat,0.003
akuray,0.003
akut,0.003
al,0.006
ala,0.003
alaikum,0.003
alam,0.024
alami,0.003
alangkah,0.003
alas,0.024
alat,0.006
aleg,0.006
alergi,0.003
alhamdulillah,0.036
alhasil,0.006
alias,0.003
alih,0.003
alir,0.006
alis,0.003
allahuakbar,0.003
almarhumah,0.003
alquran,0.006
alumni,0.006
amal,0.003
amaliyah,0.003
aman,0.042
amatir,0.003
ambil,0.021
amdk,0.003
amin,0.024
ampas,0.003
amplop,0.003
ampuh,0.003
ampun,0.015
an,0.021
anak,0.092
analogi,0.006
anas,0.003
ancam,0.009
andai,0.006
andal,0.003
andalas,0.006
andil,0.003
aneh,0.012
anggap,0.018
anggar,0.012
anggota,0.018
anggur,0.003
angka,0.015
angkara,0.003
angkat,0.003
ani,0.006
anies,0.006
anjlok,0.003
antarmasyarakat,0.003
antero,0.003
anti,0.027
antibiotik,0.003
antiseptik,0.003
antitesis,0.003
antre,0.003
anugerah,0.003
anwar,0.003
aparat,0.024
aparatur,0.003
api,0.003
aplikasi,0.009
apotek,0.012
apoteker,0.006
apresiasi,0.012
april,0.018
arab,0.003
arah,0.009
area,0.015
arif,0.003
arogan,0.012
asasi,0.003
aset,0.003
asing,0.006
asli,0.009
asn,0.009
aspirasi,0.006
assalamu,0.003
asuransi,0.006
asyik,0.012
atm,0.009
atur,0.027
audio,0.003
audit,0.009
auditing,0.003
auditor,0.006
aura,0.003
