term,weight
abai,0.003
abisin,0.003
aborsi,0.003
acak,0.006
acara,0.003
acne,0.006
acuh,0.003
adeknya,0.003
aduh,0.012
afternya,0.006
agens,0.009
agnezmo,0.003
ah,0.009
ahjussi,0.003
ahli,0.003
aisnya,0.003
ajak,0.031
ajar,0.022
aji,0.006
akademi,0.003
akal,0.003
akrobat,0.003
aksen,0.006
akses,0.003
aktif,0.003
aktor,0.003
al,0.006
alam,0.012
alami,0.003
alamin,0.003
alasan,0.009
album,0.003
alesannya,0.003
alhamdulillah,0.022
ali,0.006
alias,0.009
alice,0.003
alih,0.003
alir,0.003
aliran,0.003
alkohol,0.003
almarhum,0.003
alternatif,0.003
alus,0.003
aman,0.009
ambil,0.009
amin,0.022
amit,0.003
ampoon,0.006
ampuh,0.003
ampun,0.006
an,0.049
anak,0.031
andal,0.006
aneh,0.019
anggota,0.009
angkutan,0.003
anglenya,0.003
anime,0.003
anker,0.009
anniv,0.003
annya,0.003
answers,0.003
antem,0.006
anti,0.003
antisipasi,0.003
ao,0.003
apaansi,0.003
apalin,0.006
apart,0.009
apas,0.003
apel,0.003
apps,0.003
apresiasi,0.003
aqua,0.006
arab,0.003
area,0.012
arsip,0.003
asa,0.012
asdffhjjfkfkfiekwksdjdiskxnxhdjs,0.003
ashar,0.003
asin,0.006
asing,0.012
askaskus,0.003
asli,0.028
asliiy,0.006
assalamualaikum,0.006
astagfirullah,0.006
asupan,0.006
atm,0.006
aufa,0.009
aurel,0.003
autism,0.003
avoskin,0.003
awas,0.006
awat,0.003
awkokwokwowk,0.003
awkokwokwowkwok,0.003
awkokwowkowkok,0.003
awkowkokwowkwok,0.003
awkowkwowk,0.003
awkowkwowkowk,0.003
awkowkwowkwkkwokwk,0.003
awkowkwowkwok,0.003
awkowkwowkwowk,0.003
awkwkwkwkwkwkwk,0.003
awowkwowkwowk,0.006
ayah,0.006
ayam,0.009
ayo,0.074
ayum,0.003
aziim,0.003
bab,0.009
baca,0.074
backpack,0.003
backsound,0.003
badai,0.003
badan,0.012
bagikan,0.003
bagus,0.074
baguus,0.003
bahagia,0.003
bahan,0.003
bahas,0.009
bahasa,0.003
bahaya,0.003
baheula,0.003
baiqlah,0.003
bajaj,0.003
baju,0.009
bakso,0.003
balas,0.046
balasan,0.003
balesnya,0.003
bamboo,0.003
bandot,0.003
bandung,0.009
bangga,0.012
bangun,0.012
bangunin,0.003
bantah,0.003
banting,0.003
bantu,0.009
barang,0.015
bare,0.003
barefaced,0.003
bareng,0.025
basa,0.003
basah,0.003
based,0.003
basi,0.003
batal,0.114
batik,0.003
bawa,0.022
bawang,0.006
bayang,0.012
bayangkan,0.003
bayar,0.015
bayik,0.003
bayu,0.003
beban,0.003
beda,0.019
bekal,0.003
bekas,0.006
bela,0.003
belah,0.009
belanja,0.009
beli,0.059
belikan,0.003
beloom,0.003
beluum,0.003
ben,0.003
benci,0.009
bendahara,0.003
benernya,0.003
bengkel,0.003
bengong,0.003
bening,0.003
bentar,0.015
benul,0.003
benuul,0.003
beqlah,0.003
ber,0.012
beranda,0.009
berani,0.006
beranta,0.003
berat,0.003
berhenti,0.003
berita,0.003
berkas,0.006
berkumpul,0.003
berlian,0.006
bersin,0.006
besok,0.043
betah,0.006
betak,0.003
betawi,0.003
beterai,0.003
betis,0.003
bfut,0.003
bgtbgtbgtbgtbgtbgt,0.003
bha,0.003
biadab,0.006
bias,0.009
bicara,0.015
bil,0.003
bilang,0.04
bimbing,0.006
bingung,0.056
binti,0.003
bio,0.006
biru,0.006
bisikin,0.003
bismillah,0.003
bittersweet,0.003
blablabla,0.003
blinders,0.003
bo,0.003
bocor,0.003
bodoh,0.009
bogor,0.003
bogumnya,0.003
bojong,0.019
bokek,0.003
bolak,0.003
bolong,0.003
bombay,0.003
bondol,0.003
bonus,0.003
bora,0.009
borderland,0.003
boro,0.003
bos,0.003
bosan,0.019
botas,0.003
both,0.003
bozong,0.003
bpjsnya,0.003
bridgerton,0.003
british,0.003
brothers,0.003
buah,0.009
buang,0.003
bubblenya,0.003
bubur,0.003
bucinin,0.003
budak,0.009
buibu,0.006
bujang,0.003
buka,0.056
bukber,0.009
