term,weight
abai,0.004
absolutely,0.004
abt,0.004
abur,0.004
acak,0.004
acar,0.004
accepting,0.004
according,0.004
acne,0.008
adaptasi,0.004
adegan,0.004
adekku,0.004
adhiimi,0.004
adil,0.012
admin,0.004
adopter,0.004
aduh,0.028
afirmasi,0.004
agama,0.004
aguilera,0.004
agus,0.004
ah,0.024
ahahahasu,0.004
ahelah,0.004
ahsan,0.028
ai,0.004
ain,0.004
ajak,0.004
ajar,0.044
ajesi,0.004
akademik,0.004
akal,0.004
akh,0.004
akhlak,0.004
akibat,0.008
akses,0.004
aksi,0.004
aktivis,0.004
akuin,0.004
akumah,0.004
akun,0.008
akurat,0.004
ala,0.008
alam,0.012
alami,0.004
alas,0.008
alasan,0.008
alat,0.008
albino,0.004
album,0.02
albums,0.004
alesannya,0.004
alex,0.004
alfian,0.004
alhamdulillah,0.016
alias,0.02
alir,0.02
alphamidiy,0.004
alpukat,0.004
alzana,0.004
aman,0.016
ambil,0.028
americans,0.008
amin,0.016
ampuh,0.004
ampun,0.008
an,0.052
anabulnya,0.004
anak,0.153
anatomi,0.004
andai,0.008
andal,0.004
anders,0.008
aneh,0.044
anggota,0.008
angin,0.016
angkut,0.008
angy,0.004
anime,0.004
anjak,0.004
anjeng,0.024
anjenk,0.004
anjim,0.008
anjing,0.032
anju,0.004
anteng,0.004
antm,0.004
antonsen,0.008
anu,0.012
any,0.008
anyone,0.004
apaansi,0.004
apaka,0.004
apani,0.008
aparat,0.004
apartemen,0.004
apas,0.004
apaya,0.004
aplikasi,0.012
apocalypse,0.004
apps,0.004
april,0.004
arah,0.008
arang,0.008
area,0.012
aria,0.004
ariana,0.004
arsitektur,0.004
artikel,0.004
artis,0.008
ashar,0.004
ashton,0.008
asi,0.004
asik,0.004
asil,0.004
asked,0.008
asks,0.004
asli,0.04
asosiasi,0.004
assi,0.004
astaga,0.004
atlet,0.008
atletis,0.004
atoga,0.004
attend,0.004
atur,0.004
auditor,0.004
australian,0.004
avatar,0.004
