term,weight
abdul,0.013
aceh,0.013
adi,0.013
admin,0.025
adon,0.038
aduh,0.025
adventures,0.013
afasy,0.013
against,0.013
agenda,0.013
agitasi,0.013
agustus,0.038
ah,0.013
ahli,0.025
ajar,0.051
akibat,0.013
akun,0.013
al,0.038
alaihi,0.013
alam,0.013
alas,0.013
alhamdulillah,0.038
alih,0.013
almarhum,0.013
alright,0.013
alur,0.013
alyeesa,0.013
ambil,0.051
ambon,0.013
amin,0.051
an,0.025
anak,0.089
andy,0.013
aneh,0.038
anggur,0.013
angkat,0.013
angkin,0.013
angkut,0.013
anne,0.013
antre,0.025
aoyama,0.013
api,0.013
aplikasi,0.025
arah,0.025
area,0.025
aren,0.013
ariana,0.013
arthur,0.013
arung,0.013
asa,0.013
ashar,0.013
asing,0.013
asked,0.076
asli,0.025
asri,0.038
astaugfirullah,0.013
avatar,0.013
ayah,0.164
ayak,0.013
ayo,0.101
ayuu,0.013
baca,0.051
bagikan,0.025
bagus,0.126
bahagia,0.038
bahas,0.013
bahasa,0.025
bahu,0.025
bakar,0.013
balas,0.013
balesan,0.013
banget,0.013
bangun,0.038
bantat,0.013
bantu,0.038
bapake,0.013
barakallah,0.013
basalamah,0.013
batal,0.228
batang,0.013
bau,0.013
bawa,0.025
bayi,0.025
bebas,0.013
beda,0.063
belaga,0.025
belbst,0.013
beli,0.013
benaar,0.013
benak,0.013
benam,0.013
beranda,0.013
berani,0.025
berat,0.025
bercengkrama,0.013
bergegeas,0.013
berkas,0.025
bersih,0.013
besok,0.025
bholam,0.013
bi,0.013
bia,0.013
bijaksana,0.025
biji,0.013
bilang,0.025
bimsillah,0.013
bina,0.025
binging,0.013
bingung,0.025
bintang,0.025
biru,0.013
bismillah,0.051
biso,0.013
blijf,0.013
boarding,0.013
bolong,0.013
bolu,0.013
bombardir,0.013
boneka,0.013
bontot,0.013
boro,0.013
bosan,0.013
both,0.013
botol,0.013
bpjs,0.013
brian,0.013
brownies,0.025
buah,0.013
bubuk,0.025
bukti,0.038
buku,0.013
bumi,0.013
buru,0.051
burung,0.025
butir,0.013
butuh,0.038
cabang,0.013
cahaya,0.013
cakap,0.013
called,0.013
calon,0.013
calum,0.013
camer,0.013
campur,0.013
cari,0.025
cemara,0.025
cemil,0.013
cepat,0.025
cerita,0.038
cermat,0.013
cermin,0.013
cetak,0.013
cgk,0.013
cgv,0.013
chattime,0.013
chikiball,0.013
children,0.013
chindy,0.051
cina,0.013
cinta,0.063
cipta,0.013
cirebon,0.025
coba,0.101
cocok,0.013
cokelat,0.038
coklat,0.013
complaining,0.013
condong,0.013
created,0.013
cried,0.013
ctm,0.013
cuci,0.013
curhat,0.013
dadak,0.013
daftar,0.152
damai,0.013
dampak,0.038
dangers,0.013
darker,0.013
daya,0.013
debitur,0.013
deep,0.013
defisit,0.013
deh,0.051
dengar,0.025
depok,0.038
depresi,0.013
desa,0.013
dewasa,0.013
dftr,0.013
dhocolate,0.013
dicatat,0.013
did,0.013
dimana,0.013
dipikirkan,0.013
direspon,0.013
doa,0.025
domestik,0.013
dongeng,0.025
dosa,0.013
du,0.013
dusta,0.013
dzikir,0.013
dzuhur,0.025
each,0.013
eb,0.013
edisi,0.025
eh,0.038
emas,0.013
emosi,0.013
engkau,0.013
enumerator,0.013
estimated,0.013
every,0.051
example,0.013
fast,0.013
favorit,0.013
favors,0.013
fii,0.013
film,0.038
foto,0.025
fresh,0.025
friends,0.013
gadis,0.038
galus,0.013
gambir,0.013
ganti,0.076
garam,0.013
gave,0.089
gaya,0.013
gede,0.063
gelap,0.013
gelisah,0.013
generasi,0.013
gerak,0.013
gereja,0.025
gerimis,0.013
getting,0.013
gigih,0.013
gives,0.013
gocar,0.025
gojek,0.013
gondangdia,0.013
goreng,0.013
gosho,0.013
goyang,0.013
grammer,0.013
grande,0.013
gula,0.025
guling,0.013
gumam,0.013
gusti,0.013
habis,0.038
hack,0.013
hadiah,0.013
hakim,0.013
halal,0.013
halang,0.013
