term,weight
aaron,0.003
abai,0.007
abel,0.003
abu,0.003
acak,0.024
acara,0.01
ackerman,0.024
actors,0.003
acts,0.003
adab,0.003
adam,0.003
adegan,0.007
adeknya,0.003
admin,0.021
administrasi,0.003
aduh,0.017
aellv,0.003
ah,0.007
aheng,0.007
ahli,0.003
ajaib,0.007
ajak,0.01
ajar,0.035
ajsjsjjs,0.003
akaashi,0.003
akademik,0.01
akal,0.003
akhirat,0.007
akibat,0.003
akrab,0.01
aksen,0.007
akun,0.01
akusih,0.003
alam,0.01
alasan,0.003
album,0.003
alfatihah,0.003
algoritm,0.003
alhamdulillah,0.01
ali,0.003
aliansi,0.003
alias,0.045
alif,0.003
alih,0.003
alir,0.017
alternatif,0.003
aman,0.01
ambil,0.01
ambisi,0.003
ambisius,0.003
ambune,0.003
ambyar,0.01
america,0.003
amerika,0.003
amin,0.003
ampun,0.003
an,0.038
anak,0.104
anakin,0.003
ancam,0.003
andai,0.003
andal,0.003
andira,0.003
aneh,0.031
anggota,0.01
angin,0.007
angka,0.003
angkat,0.007
angkut,0.003
angpao,0.003
anime,0.003
anjeengg,0.003
anjeng,0.003
anjg,0.035
anjingg,0.003
anjink,0.01
anjinkk,0.003
anjinngg,0.003
anjrirrt,0.003
anjritt,0.007
anjrktt,0.003
anjrot,0.003
annya,0.007
antagonis,0.007
antigen,0.003
antihold,0.003
anu,0.007
anymore,0.007
anyone,0.003
aot,0.01
apdet,0.007
apresiasi,0.003
aprwsiasi,0.003
aquaman,0.003
arah,0.003
area,0.003
argumen,0.003
armin,0.007
asah,0.003
asap,0.007
ashu,0.007
ashuu,0.003
asia,0.01
asik,0.007
asing,0.007
asix,0.003
asli,0.122
astagfirullah,0.024
astagfirullahaladziim,0.003
asw,0.003
aswad,0.003
atj,0.003
attractive,0.003
avengers,0.007
awokawokawok,0.01
awokawokwok,0.003
awsaz,0.003
ayam,0.01
ayo,0.076
bab,0.003
babak,0.003
babi,0.007
bablas,0.003
baca,0.056
backgroundnya,0.003
bacod,0.003
baekhyun,0.003
baekjin,0.003
baekyeon,0.003
bagong,0.007
bagus,0.045
bah,0.003
bahagia,0.003
bahan,0.007
bahas,0.003
bahasa,0.01
baja,0.003
bajing,0.09
