term,weight
aa,0.004
abadi,0.008
abai,0.004
able,0.004
absolutely,0.016
abu,0.004
ac,0.008
acara,0.012
accepting,0.004
adaptasi,0.012
adhi,0.012
adil,0.004
adipati,0.004
admin,0.02
adrian,0.02
ads,0.004
aduh,0.045
ag,0.004
against,0.032
agama,0.008
agan,0.004
aganwati,0.004
agenda,0.004
agger,0.004
agregat,0.008
aguero,0.008
agung,0.012
agustus,0.008
ah,0.02
ahelah,0.008
aiam,0.004
air,0.004
airborne,0.004
airmata,0.004
ajaib,0.004
ajak,0.012
ajal,0.004
ajani,0.008
ajar,0.032
ajax,0.016
akademi,0.004
akal,0.008
akibat,0.004
akrab,0.004
akronim,0.004
aktif,0.004
akting,0.004
aktivitas,0.012
akun,0.028
akur,0.004
akurasi,0.008
alaba,0.004
alam,0.024
alami,0.008
alas,0.008
alhamdulillah,0.004
ali,0.008
alisson,0.02
alus,0.004
alvaro,0.004
amal,0.004
amazon,0.004
ambang,0.004
ambil,0.041
ambulans,0.004
amet,0.004
amin,0.004
amlodipin,0.004
ampuh,0.004
ampun,0.008
an,0.053
anak,0.077
aneh,0.028
anfield,0.016
anggap,0.004
anggar,0.004
angin,0.012
angka,0.028
angkat,0.02
angkatin,0.004
anjim,0.004
anjing,0.012
anniversary,0.004
announced,0.004
anom,0.004
answers,0.004
antem,0.004
antigen,0.004
antiklimaks,0.004
antv,0.004
anut,0.008
anyone,0.004
aowkaowk,0.004
apas,0.004
apee,0.004
api,0.004
aplikatif,0.004
apps,0.008
apsti,0.004
arai,0.045
arbeloa,0.004
area,0.004
arif,0.004
ars,0.004
arteta,0.004
artifisial,0.004
artikel,0.008
arung,0.004
asa,0.004
asap,0.008
asepp,0.004
asli,0.061
asm,0.004
aspek,0.008
asrama,0.004
asset,0.004
astaga,0.004
astapiruloh,0.004
aston,0.004
asudahlah,0.004
asumsi,0.004
atalanta,0.008
atletico,0.012
attracting,0.004
atur,0.004
auba,0.02
aura,0.004
aurier,0.004
available,0.008
awan,0.004
ayam,0.004
ayo,0.077
azpi,0.004
bab,0.004
babak,0.037
babang,0.008
babu,0.008
babystars,0.004
baca,0.081
bacok,0.004
badai,0.004
badak,0.004
badan,0.004
badminton,0.008
bagikan,0.004
bagus,0.069
bahagia,0.016
bahan,0.012
bahas,0.012
bahasa,0.049
bahaya,0.012
bajang,0.004
bajing,0.024
bakat,0.004
bal,0.012
balap,0.004
balikin,0.004
bamford,0.02
ban,0.004
bandel,0.004
banderol,0.016
banding,0.012
bangga,0.004
bangku,0.053
bangsa,0.008
bangun,0.028
banjir,0.008
bantai,0.008
bantaran,0.004
banting,0.004
bantu,0.012
bapao,0.008
barang,0.004
barangsiapa,0.004
barca,0.024
barcelona,0.004
bareng,0.016
baris,0.004
barnes,0.012
basah,0.004
based,0.008
batal,0.126
batas,0.008
batu,0.004
batuk,0.004
bau,0.004
bawa,0.037
bayang,0.012
bayar,0.008
bayclin,0.004
bayern,0.024
bbc,0.004
bea,0.004
beautifully,0.004
bebas,0.004
become,0.004
beda,0.02
bednarek,0.004
beek,0.008
begah,0.004
bek,0.02
bekas,0.012
bel,0.008
bela,0.016
belaga,0.004
belah,0.004
belanda,0.004
beli,0.065
bella,0.004
bellamy,0.004
belok,0.008
ben,0.008
benchmark,0.004
bendera,0.004
