term,weight
aa,0.012
aada,0.004
acara,0.016
adagkdut,0.004
adakalanya,0.004
adegan,0.028
adek,0.004
adha,0.008
adi,0.004
adil,0.012
admin,0.032
adrenalin,0.004
aduh,0.036
aerosmith,0.012
afrika,0.004
agama,0.012
agnezmo,0.004
agresif,0.004
agung,0.008
ah,0.111
ahli,0.004
aih,0.008
airmatanya,0.004
ajak,0.004
ajar,0.008
ajaya,0.004
aju,0.004
akayaknya,0.004
akbar,0.004
akibat,0.004
aktif,0.008
aktifin,0.004
aktifitas,0.004
aktivitasnye,0.004
al,0.004
ala,0.004
alah,0.004
alam,0.028
alami,0.008
alangkah,0.004
alas,0.012
alir,0.008
allah,0.012
alma,0.004
alokasi,0.012
altc,0.004
alun,0.008
alur,0.004
amal,0.012
aman,0.004
ambang,0.004
ambigu,0.004
ambil,0.004
ambo,0.004
amerika,0.004
amik,0.004
amin,0.036
ampa,0.004
ampun,0.008
amsyoong,0.004
an,0.012
anak,0.071
analisa,0.012
analisis,0.012
andai,0.02
andelin,0.004
andromex,0.004
anggap,0.012
anggota,0.004
angin,0.004
angkat,0.004
angkring,0.004
ango,0.004
angsana,0.008
anjak,0.004
antem,0.004
antuk,0.004
antum,0.004
anwar,0.008
apas,0.004
api,0.004
apik,0.004
apotek,0.004
apung,0.004
arghht,0.004
arght,0.012
arh,0.004
arhgh,0.004
arht,0.004
aroma,0.004
asap,0.008
asia,0.012
asih,0.004
asik,0.012
asin,0.004
asing,0.004
asle,0.004
asmara,0.004
assallamualaikum,0.004
asyik,0.004
ata,0.004
atou,0.004
atuk,0.004
atur,0.004
atuuhh,0.004
aung,0.004
aura,0.008
awam,0.028
awas,0.004
ayam,0.004
ayan,0.004
ayee,0.004
ayo,0.052
baca,0.024
badai,0.004
badan,0.008
badia,0.004
badiam,0.028
bagaimano,0.004
bagas,0.004
bagikan,0.008
bagus,0.048
bahagia,0.04
bahan,0.004
bahas,0.016
bahasa,0.016
bajing,0.004
baju,0.024
bakar,0.016
bal,0.004
balas,0.012
baligh,0.004
baline,0.004
banding,0.004
bangga,0.008
bangkit,0.012
bangndut,0.004
bangsa,0.004
bangun,0.012
bangunn,0.004
bantu,0.028
bapakkita,0.004
bareng,0.004
barisik,0.004
baron,0.004
barrakallah,0.004
basah,0.004
batal,0.032
batas,0.004
batreku,0.004
batu,0.004
baubau,0.008
baubaunya,0.008
bawa,0.044
bayang,0.004
bayar,0.004
bb,0.012
bbapp,0.004
bdoh,0.004
beatles,0.004
bebas,0.004
bebe,0.004
beby,0.004
beda,0.008
bedah,0.004
bedres,0.004
begetu,0.004
beginno,0.004
begitukan,0.004
beh,0.004
beib,0.004
belaga,0.004
belah,0.004
belai,0.032
belajar,0.004
belas,0.004
beli,0.016
beliau,0.012
belon,0.004
bem,0.004
bemo,0.008
ben,0.004
benak,0.004
bendung,0.004
bentat,0.004
ber,0.004
berangkat,0.004
berani,0.012
berarri,0.004
berat,0.008
berhayal,0.004
berhunting,0.004
berisik,0.008
berita,0.004
berjengot,0.004
berkah,0.02
berkumpul,0.004
berpikir,0.008
besok,0.06
beta,0.012
betapa,0.004
bgskan,0.004
bhayangkara,0.004
bi,0.004
biarkan,0.004
bias,0.004
bib,0.004
bicara,0.02
bidadari,0.008
bijak,0.004
bikah,0.004
bilang,0.004
bimbang,0.004
bimbing,0.004
bingsal,0.004
bingung,0.016
bintang,0.004
biru,0.004
biruu,0.004
bis,0.008
bismilaah,0.004
bismillah,0.008
bisnis,0.004
bisu,0.004
bkny,0.004
bknya,0.004
bkr,0.008
blackblueder,0.004
blok,0.016
bocah,0.004
bodoh,0.044
bodong,0.004
bogor,0.004
bohong,0.008
bola,0.004
bolak,0.012
bollywod,0.004
bolong,0.004
bom,0.008
boncabe,0.004
bos,0.008
bosan,0.016
brakhir,0.004
bramatyo,0.004
branda,0.008
brisik,0.016
broh,0.004
bromo,0.008
browsing,0.004
buah,0.008
buang,0.008
buatkan,0.004
bubuh,0.004
buka,0.024
bukdok,0.008
bukit,0.004
bukti,0.004
buku,0.004
bule,0.004
bumi,0.004
buming,0.004
bunga,0.008
bungkus,0.012
bunuh,0.008
buru,0.012
buruk,0.012
buta,0.004
butar,0.004
butuh,0.024
caecar,0.004
cahaya,0.004
cakap,0.004
camera,0.008
canda,0.004
candid,0.012
candu,0.004
cangkir,0.004
cantik,0.02
capeknye,0.004
cari,0.02
cc,0.004
cekam,0.008
cekup,0.008
celaka,0.004
cemil,0.016
cendela,0.008
cepat,0.048
cercah,0.004
cerita,0.004
cerobong,0.008
chef,0.004
chikita,0.004
cie,0.008
ciecie,0.004
cikidiw,0.004
cinta,0.06
cipta,0.02
cita,0.016
ck,0.004
clear,0.008
coba,0.024
cobii,0.004
cocacola,0.008
cocok,0.004
coffe,0.004
coklat,0.008
colec,0.004
colek,0.004
colet,0.004
contest,0.004
contoh,0.016
coverboy,0.004
cowok,0.012
crita,0.004
critanya,0.008
crwt,0.004
cuci,0.004
cucuh,0.004
cucur,0.004
cuekin,0.004
cumcum,0.004
cungur,0.004
curah,0.004
dadi,0.008
daftar,0.008
daftarin,0.004
dahi,0.008
daki,0.008
damai,0.008
dana,0.008
danu,0.012
danwil,0.004
dar,0.004
darah,0.012
darat,0.004
das,0.004
dasar,0.016
datengnya,0.004
daun,0.004
dayu,0.004
deadline,0.004
debu,0.012
deh,0.06
dek,0.004
deng,0.004
dengar,0.008
dengkul,0.004
dengkur,0.004
dentum,0.004
desa,0.004
desain,0.008
dewasa,0.044
dgrn,0.008
diabetes,0.004
diadline,0.004
diah,0.012
diam,0.06
diaminin,0.004
dian,0.056
dicariin,0.004
dieng,0.008
dih,0.024
dijogja,0.008
dikanwil,0.004
dikiduh,0.004
dikos,0.004
dilema,0.024
dimana,0.048
dinas,0.004
dindin,0.004
dines,0.008
ding,0.004
dingin,0.004
diperutt,0.004
direspon,0.004
disimpen,0.004
distro,0.004
ditelfon,0.004
diterima,0.008
ditomoho,0.004
ditunggu,0.004
diyogya,0.004
dj,0.004
dkgnin,0.004
dna,0.004
doa,0.024
doh,0.004
domisili,0.012
donprize,0.004
dosa,0.008
dosen,0.012
dp,0.008
drama,0.008
dri,0.004
duduk,0.008
duka,0.004
dukerjain,0.004
dukung,0.004
dukunganya,0.004
dul,0.028
duli,0.004
dunia,0.024
ealah,0.004
ecolli,0.004
edun,0.004
ee,0.004
eeh,0.004
efek,0.008
ega,0.004
eh,0.119
ehm,0.004
ekstra,0.004
el,0.028
eleh,0.004
elew,0.008
emplok,0.004
enaak,0.004
enas,0.004
energen,0.004
energi,0.004
engkau,0.016
english,0.004
ente,0.004
eos,0.004
epa,0.004
ering,0.008
eropa,0.008
erti,0.008
es,0.004
