term,weight
abc,0.004
acak,0.008
acara,0.004
acau,0.004
acu,0.004
adab,0.004
aduh,0.041
aduin,0.004
aduk,0.004
agama,0.004
agro,0.004
ah,0.024
ahli,0.008
aidilla,0.004
aih,0.004
air,0.008
aiya,0.004
ajaib,0.004
ajak,0.033
ajar,0.016
ajarono,0.004
ajasi,0.004
akhlakul,0.004
akrab,0.004
akun,0.008
akunnyaa,0.004
ala,0.008
alam,0.004
alamat,0.008
alas,0.004
alasan,0.004
alesannya,0.004
alhamdulillah,0.024
alhur,0.004
alias,0.053
allahuakbar,0.004
alun,0.008
amal,0.004
aman,0.02
ambeyen,0.004
ambil,0.02
amblas,0.004
ambyar,0.004
amel,0.004
amin,0.004
ampun,0.004
an,0.033
anak,0.045
anakna,0.004
ancenee,0.004
andai,0.004
aneh,0.012
angga,0.008
antagonis,0.004
antem,0.004
anti,0.004
antik,0.004
antre,0.016
anut,0.004
apaantuhh,0.004
apapanya,0.004
apdet,0.008
apdetan,0.004
api,0.012
apotek,0.004
apresiasi,0.004
april,0.004
aqua,0.004
arah,0.008
aries,0.004
arnold,0.004
arsip,0.004
arum,0.004
arumi,0.004
asa,0.004
asik,0.037
asikk,0.008
asin,0.004
asli,0.02
astaga,0.016
astagfirullah,0.008
astaghfirullah,0.041
aswita,0.004
atang,0.008
atiati,0.012
atur,0.02
audiens,0.004
awas,0.004
awm,0.004
aww,0.008
ayam,0.049
ayo,0.122
baca,0.049
bagikan,0.008
bagus,0.041
bahagia,0.004
bahas,0.004
bahaya,0.012
bajak,0.004
bajing,0.004
bakar,0.012
baked,0.004
bakti,0.004
bakwan,0.004
balap,0.004
balas,0.016
balikin,0.004
ban,0.004
banci,0.004
bandeng,0.008
banget,0.024
bangga,0.053
banggaa,0.004
bangjek,0.004
bangka,0.004
bangun,0.02
bantu,0.012
banyakk,0.004
bapack,0.004
bapake,0.004
bapao,0.004
bapung,0.004
bar,0.004
bara,0.004
bareng,0.004
barley,0.004
basa,0.004
basah,0.004
basi,0.004
baso,0.004
batal,0.118
bau,0.004
bawa,0.049
bawain,0.004
bayar,0.004
bayem,0.012
bct,0.004
bebek,0.012
becandazayang,0.004
beda,0.012
bedak,0.008
bedcover,0.004
begadang,0.004
bekal,0.004
bekas,0.004
bekel,0.004
bel,0.004
belaga,0.004
belah,0.004
belang,0.004
belenggu,0.004
beli,0.065
belikan,0.004
belomm,0.004
beloom,0.004
ben,0.008
benalu,0.004
benam,0.004
benarr,0.004
benci,0.004
bendung,0.004
beneer,0.004
bengi,0.008
benih,0.004
bensin,0.008
bentar,0.004
benteng,0.004
bentol,0.004
bentuk,0.004
ber,0.008
berani,0.008
berat,0.008
berekspektasi,0.004
berez,0.004
berisik,0.004
berkah,0.008
berkuminding,0.004
berkumpul,0.004
bersih,0.004
berteman,0.008
besok,0.028
biarkan,0.004
bias,0.004
biasane,0.004
biaya,0.004
bicara,0.004
biggest,0.004
bijak,0.004
bijaksana,0.004
biji,0.004
bilang,0.057
bimbing,0.008
bingung,0.004
biografi,0.004
bis,0.004
bismillah,0.004
bisnis,0.004
blok,0.004
bo,0.004
boardgame,0.016
bobot,0.008
bodoh,0.037
bogor,0.024
bogorr,0.004
bohong,0.016
bokir,0.004
bolak,0.004
bolong,0.004
bom,0.033
bonceng,0.004
boos,0.004
bos,0.028
bosan,0.016
botol,0.004
brengsek,0.004
brilian,0.004
brontoseno,0.004
buah,0.012
buang,0.016
buatkan,0.004
bubar,0.004
buka,0.061
bukann,0.004
bukber,0.004
bukti,0.004
buku,0.008
bulat,0.004
bumi,0.004
bunda,0.024
bundd,0.004
bunga,0.004
bungkus,0.004
bunuh,0.004
buru,0.004
buruk,0.012
busa,0.004
butuh,0.012
cabai,0.008
cabang,0.004
cadel,0.004
cahaya,0.004
cahya,0.008
cahyo,0.004
cak,0.008
cakra,0.012
caleg,0.012
camping,0.008
candu,0.004
cantik,0.024
cari,0.045
carpet,0.004
cctv,0.004
cel,0.008
cemar,0.004
cemerlang,0.004
cemil,0.085
cengeng,0.004
centang,0.004
cepat,0.041
cepatt,0.008
cerah,0.004
ceramah,0.004
cerdas,0.004
cerewet,0.004
ceria,0.004
cerita,0.024
cerito,0.004
cermin,0.004
cheating,0.004
chia,0.004
chiaphobic,0.004
chiaseed,0.004
cicak,0.004
cingur,0.004
cinta,0.008
citra,0.004
cium,0.004
ckckck,0.004
coba,0.037
cocok,0.016
congratss,0.004
copot,0.004
corona,0.004
cuaca,0.004
cuci,0.004
culun,0.016
dadak,0.008
dadi,0.012
daerah,0.008
daftar,0.008
daging,0.016
dahi,0.004
dakjal,0.004
dampak,0.004
damping,0.004
danau,0.004
dapani,0.004
dar,0.004
darah,0.004
darisananya,0.004
darmi,0.004
dasar,0.008
daun,0.004
daya,0.004
dayun,0.004
deactive,0.004
dedel,0.004
deeply,0.004
deh,0.098
dek,0.004
deliv,0.004
dell,0.004
dempet,0.004
deng,0.012
dengar,0.02
derajat,0.004
deras,0.008
deret,0.004
det,0.004
dewasa,0.008
dewe,0.004
dhii,0.004
diabisin,0.004
diam,0.004
dianggep,0.004
diapakan,0.004
dibaikin,0.004
dibeginikan,0.004
dibeliin,0.004
dibenerin,0.004
dibersihin,0.004
diboongin,0.008
dibotakin,0.004
dibully,0.004
dicuekin,0.004
didik,0.004
difreezer,0.004
dih,0.004
diitung,0.004
diiyain,0.004
dijagain,0.004
dijahatin,0.004
dijelasin,0.004
dik,0.008
dikeluarin,0.004
dikenalin,0.004
dikit,0.016
dil,0.085
dill,0.004
dilla,0.004
dilock,0.004
dimans,0.004
dimasakin,0.004
dimention,0.004
dimsumnya,0.004
dingin,0.012
dipakein,0.004
dipublish,0.004
diritwit,0.004
disalahgunakan,0.004
disebutin,0.004
disiapin,0.004
disimpen,0.004
diskusi,0.004
dispen,0.004
ditawarin,0.004
ditemenin,0.004
diwanti,0.008
doa,0.024
doang,0.004
domba,0.004
domestik,0.008
dominan,0.004
donat,0.004
dongkrak,0.008
dosa,0.016
dosbing,0.004
downline,0.004
dramaga,0.004
dresscode,0.004
duch,0.004
dudoi,0.004
duduk,0.004
duh,0.008
dukung,0.016
duluan,0.004
dulunya,0.004
dunia,0.024
duper,0.008
dut,0.061
dutt,0.008
dzaky,0.004
edisi,0.004
editor,0.004
edukasi,0.004
eeh,0.004
eeknya,0.004
efek,0.004
efektif,0.004
effortmu,0.004
eggs,0.004
eh,0.033
ehm,0.008
eksekusyen,0.004
ekspektesyen,0.004
elektrik,0.004
em,0.004
emange,0.004
emangg,0.004
emas,0.004
embah,0.004
emm,0.004
emosi,0.012
emosyenel,0.004
endus,0.008
enek,0.004
enten,0.004
erti,0.004
es,0.012
esensi,0.008
esok,0.008
et,0.004
