term,weight
abad,0.005
abai,0.005
abbey,0.005
academia,0.005
acak,0.016
acara,0.005
acchan,0.005
according,0.005
acik,0.011
ackerman,0.011
ackermans,0.005
across,0.005
adam,0.005
adapta,0.005
adaptation,0.005
adapts,0.005
addict,0.011
adeknya,0.005
adil,0.005
adinda,0.005
admi,0.005
admin,0.049
administered,0.011
adudu,0.005
aduh,0.022
aerobics,0.005
against,0.005
agama,0.022
agen,0.005
agneslb,0.005
agung,0.016
ah,0.011
ahli,0.011
ahmad,0.011
aho,0.005
ahok,0.005
ahy,0.005
aih,0.005
aims,0.005
air,0.005
ajaib,0.005
ajar,0.038
akademi,0.005
akai,0.005
akar,0.005
aklo,0.011
akon,0.005
akper,0.005
aktif,0.032
akun,0.016
akutami,0.005
alam,0.032
alas,0.038
aldi,0.049
alergi,0.005
alerta,0.005
alexander,0.005
ali,0.011
alias,0.038
alibi,0.005
alice,0.005
alih,0.005
alir,0.005
allow,0.005
although,0.005
amagi,0.005
amah,0.005
aman,0.005
amazon,0.005
ambil,0.005
america,0.005
american,0.011
amin,0.005
ampuh,0.005
amrik,0.005
an,0.022
anagram,0.005
anak,0.124
anakin,0.005
anaknua,0.005
andi,0.005
andreas,0.005
android,0.005
aneh,0.011
angeles,0.005
anggap,0.005
angin,0.011
angka,0.022
angkasa,0.005
angkat,0.005
angkut,0.005
anime,0.07
anjing,0.005
anjinghg,0.005
anjr,0.005
ann,0.005
anniversary,0.005
announced,0.011
antm,0.005
anyone,0.005
aot,0.086
apartemen,0.011
api,0.005
apik,0.005
approves,0.005
apresiasi,0.005
april,0.016
aprilian,0.005
aqua,0.005
aran,0.005
arcs,0.005
ariel,0.005
arigathankss,0.005
arjuna,0.005
armin,0.005
arrives,0.011
arsitek,0.005
asia,0.016
asik,0.005
asing,0.022
asked,0.005
asking,0.011
asli,0.032
asobo,0.005
aspek,0.005
assume,0.005
astagfirullah,0.005
astrazeneca,0.005
atlet,0.011
atta,0.027
atur,0.016
audio,0.005
audisi,0.005
aurel,0.022
avatar,0.011
awaited,0.005
awaludin,0.005
aware,0.005
awas,0.005
awkwkwkwkwkwkwkwkk,0.005
awokawowokwowk,0.005
ay,0.016
ayam,0.005
ayo,0.103
bab,0.016
babe,0.005
babi,0.005
babik,0.011
baca,0.076
bacok,0.005
bagikan,0.016
bagus,0.065
bahagia,0.005
bahagiana,0.005
bahan,0.005
bahas,0.022
bahasa,0.016
bajar,0.005
bajing,0.022
baju,0.011
bakemonogatari,0.005
bakwan,0.005
bal,0.005
balado,0.005
balas,0.011
balinese,0.011
ban,0.005
bandingkan,0.005
bandongan,0.005
banget,0.005
bangjo,0.005
bangkrut,0.005
bangsa,0.022
bangun,0.011
bank,0.005
baperan,0.005
bar,0.005
bara,0.005
barang,0.011
bareng,0.016
bas,0.005
basically,0.005
batal,0.589
batas,0.022
batik,0.005
battlepass,0.005
batu,0.022
bawa,0.011
bayang,0.022
bayangkan,0.005
bayar,0.016
bayi,0.022
bcos,0.011
bebas,0.005
bech,0.005
beda,0.032
bedah,0.005
beginikan,0.005
behind,0.005
bekas,0.005
belah,0.005
belaka,0.011
beli,0.032
benarkan,0.005
benching,0.005
benci,0.011
bensin,0.011
bentar,0.016
berak,0.005
beranda,0.016
berani,0.005
beraque,0.005
berat,0.005
berdasarka,0.005
bergosip,0.005
berita,0.027
bernas,0.005
beruang,0.005
besan,0.005
besok,0.016
bestie,0.005
betapa,0.005
betrayals,0.005
beyblades,0.005
beyonce,0.005
bianglala,0.005
biarawati,0.005
bibir,0.005
bicara,0.022
biker,0.005
bilang,0.016
bilateral,0.022
bingung,0.005
biola,0.011
biologi,0.005
bionya,0.005
bioskop,0.005
bipolar,0.005
biru,0.016
bjingsot,0.005
blabak,0.005
blablablabla,0.005
bnpb,0.011
boboin,0.005
bodoh,0.016
bohemian,0.005
bohong,0.005
bokapnya,0.005
bom,0.043
bonaparte,0.005
bonceng,0.005
borderland,0.005
borobudur,0.005
bos,0.005
bosan,0.005
bot,0.005
boyfriend,0.005
bra,0.005
brader,0.005
breadcrumbing,0.005
breaking,0.005
bringing,0.005
broadband,0.005
broadcasting,0.005
brought,0.005
bruh,0.005
bsd,0.005
buang,0.005
buda,0.005
budaya,0.011
buka,0.07
buku,0.022
bule,0.005
bulutangkis,0.005
bumi,0.011
bungou,0.011
bunuh,0.016
burger,0.005
burned,0.005
buruk,0.005
buset,0.022
butuh,0.022
ca,0.005
caci,0.005
cahaya,0.027
cair,0.005
caird,0.005
cakeb,0.005
canda,0.016
canguk,0.005
cantik,0.027
capai,0.005
cari,0.027
cas,0.005
cases,0.092
catat,0.032
catokan,0.016
catoru,0.005
catsen,0.005
cegah,0.005
celaka,0.005
celengan,0.005
cemerlang,0.005
cemil,0.027
censored,0.005
cepat,0.016
cerah,0.005
cerita,0.081
cfd,0.005
chile,0.011
chromes,0.005
cinematic,0.005
cinta,0.038
cita,0.005
clubhouse,0.011
coba,0.022
cocok,0.016
cok,0.005
colorized,0.005
comeback,0.005
communications,0.005
computers,0.005
conan,0.059
connecting,0.005
connie,0.005
considered,0.011
cookie,0.005
copas,0.005
coro,0.005
corobika,0.005
corona,0.054
coronavirus,0.065
cosplay,0.005
couldve,0.005
cowok,0.005
crafts,0.011
creators,0.005
cuci,0.005
cultural,0.005
culun,0.011
cuplik,0.005
currently,0.005
cv,0.011
cyber,0.005
dadi,0.016
daerah,0.005
daftar,0.011
dagang,0.005
daisuke,0.005
dakimakura,0.005
dalgona,0.005
dante,0.005
darah,0.005
dasawarsa,0.005
dawet,0.005
deactivated,0.005
deaths,0.011
debat,0.005
decided,0.005
deep,0.005
definisi,0.005
definitely,0.005
deh,0.027
delete,0.016
demokrasi,0.005
dendam,0.005
deng,0.005
dengar,0.016
depresi,0.005
desain,0.005
detected,0.005
deteksi,0.005
detektif,0.027
dev,0.005
dewi,0.005
diagnosa,0.005
diam,0.016
dibacan,0.005
dibicarain,0.005
dicepetin,0.005
diceritain,0.005
dicolokin,0.005
did,0.005
didik,0.005
didn,0.016
didnt,0.005
dighosting,0.005
digital,0.005
dijanjiin,0.005
dijejalin,0.005
dijelasin,0.005
dikatai,0.005
dikit,0.022
diklaksonin,0.005
dil,0.005
dilema,0.005
dimana,0.011
dimasakin,0.016
dimsum,0.005
dinding,0.011
diomongin,0.005
dir,0.005
directions,0.005
direktur,0.005
discovered,0.005
disebutin,0.005
disirain,0.005
disrespecting,0.005
ditemenin,0.005
ditu,0.005
doa,0.022
does,0.005
doesnt,0.005
dogs,0.011
dokter,0.016
domestically,0.005
domestik,0.005
dominasi,0.005
donasi,0.005
dongkrak,0.011
doofenshmirtz,0.005
dosa,0.011
doses,0.022
dpr,0.016
drama,0.016
drives,0.005
dropped,0.011
dude,0.016
duduk,0.005
dukun,0.005
duluan,0.005
dunia,0.043
duniawi,0.005
durasi,0.011
durhaka,0.005
during,0.011
easie,0.005
easier,0.005
eden,0.016
edgy,0.005
edisi,0.038
efektif,0.005
ego,0.005
egosentris,0.005
eh,0.054
eijkman,0.005
eita,0.005
ekonomi,0.011
elektronik,0.005
elite,0.005
else,0.005
emas,0.005
embuh,0.005
emosi,0.005
endorse,0.005
eneg,0.011
energi,0.011
england,0.005
enishi,0.005
enzim,0.005
episode,0.032
era,0.005
eren,0.027
erwin,0.005
es,0.038
etaa,0.005
etik,0.005
europe,0.005
european,0.005
evangelion,0.005
except,0.005
exclusive,0.005
eyeshield,0.016
faceapp,0.005
fakboi,0.005
falcon,0.005
fandom,0.005
fatwa,0.005
favorit,0.005
fbi,0.005
federal,0.005
felicia,0.022
fewer,0.005
fewest,0.005
fig,0.005
fiksi,0.005
film,0.038
finds,0.005
fitur,0.011
fizi,0.005
floch,0.011
fogging,0.005
forbes,0.011
former,0.005
foto,0.038
four,0.005
fr,0.005
france,0.005
francis,0.005
franxx,0.005
frekuensi,0.016
friday,0.005
friends,0.005
froze,0.005
fruits,0.043
frustasi,0.005
ftv,0.005
fugou,0.005
fulltime,0.005
fungsi,0.005
futu,0.005
gabi,0.005
gacha,0.005
gadgetin,0.005
gadis,0.027
gagal,0.022
gaji,0.016
galak,0.005
galon,0.005
gambar,0.016
ganggu,0.005
ganti,0.027
gara,0.027
garis,0.016
gartic,0.005
gatsbying,0.005
gaya,0.005
gdp,0.005
gebrak,0.005
gege,0.005
gelapp,0.005
gelas,0.005
gelay,0.011
gelud,0.005
gembira,0.005
gempa,0.005
gen,0.005
gengster,0.005
geog,0.005
geografi,0.016
gepuk,0.005
gera,0.005
gereja,0.005
gerincing,0.005
gertak,0.005
geser,0.011
gethuk,0.005
getok,0.011
ggas,0.005
ghibah,0.005
ghosting,0.054
ghoul,0.005
gif,0.005
gigit,0.005
gila,0.022
gilir,0.011
giorno,0.005
girlfriend,0.005
gitar,0.011
given,0.016
gives,0.005
goals,0.005
goddard,0.005
gojo,0.065
gone,0.011
goodboy,0.005
google,0.027
goreng,0.005
