term,weight
abad,0.004
abrek,0.004
ac,0.004
acak,0.013
acara,0.021
acuh,0.004
adalaha,0.004
adegan,0.004
adil,0.004
admin,0.013
aduk,0.004
agung,0.004
ah,0.029
ahass,0.004
ain,0.004
ajak,0.042
ajar,0.054
aju,0.004
akibat,0.004
akre,0.008
aksi,0.004
aktivitas,0.004
akun,0.025
ala,0.004
alam,0.004
alami,0.004
alamin,0.013
alarm,0.004
alas,0.008
alesannya,0.008
alfamidi,0.004
alhamdulillah,0.021
alias,0.017
alih,0.004
alim,0.004
along,0.004
alusnya,0.004
amaat,0.004
amal,0.004
aman,0.004
amatsih,0.008
ambil,0.013
ambyar,0.004
ambyarr,0.004
an,0.13
anak,0.117
ancang,0.004
ancurr,0.004
android,0.004
aneh,0.013
anggap,0.004
anggepnya,0.004
anggota,0.004
angin,0.013
angkat,0.029
anjaay,0.004
anjiir,0.004
anjir,0.004
anjlok,0.004
annya,0.004
antem,0.004
anteng,0.004
anthony,0.004
anti,0.004
antre,0.008
apd,0.004
apj,0.013
aplikasi,0.004
apotek,0.004
apoteker,0.008
arah,0.004
arang,0.004
arief,0.004
aromatherapy,0.004
artis,0.013
asi,0.004
asik,0.025
asin,0.004
asisten,0.004
asli,0.008
asline,0.004
asrama,0.004
astaga,0.021
astagfirullah,0.017
asuh,0.004
asuransi,0.004
atur,0.013
aula,0.004
aura,0.008
avatar,0.004
awam,0.004
awas,0.004
ayah,0.017
ayam,0.013
ayem,0.004
ayo,0.033
azab,0.004
bab,0.004
baca,0.054
badan,0.025
bagus,0.008
bahagia,0.004
bahagiain,0.004
bahan,0.004
bahas,0.013
bahasa,0.033
baim,0.004
bajing,0.004
baju,0.017
bak,0.004
bakpau,0.004
bakso,0.008
bakwan,0.017
balas,0.029
balita,0.004
bangga,0.004
bangkai,0.004
bangku,0.004
bangun,0.042
bank,0.004
bantal,0.004
bantu,0.008
baperan,0.013
bar,0.004
barang,0.017
bareng,0.021
baso,0.004
batagor,0.004
batal,0.092
batu,0.008
bau,0.008
bawa,0.071
bawang,0.004
bawel,0.008
bayang,0.008
bayangkan,0.004
bayar,0.029
bayem,0.004
bayi,0.029
bayik,0.004
bcl,0.004
bct,0.004
becek,0.004
beda,0.05
begadang,0.008
bekas,0.013
beku,0.004
belaga,0.017
belah,0.013
beli,0.038
beliau,0.008
benci,0.013
bengkak,0.004
bengong,0.008
bentar,0.017
bentuk,0.013
beranda,0.004
berani,0.017
berbie,0.013
berekspetasi,0.004
berhenti,0.004
berisik,0.008
berita,0.038
berkah,0.013
berkas,0.017
berkumpul,0.008
bersih,0.021
bersihin,0.004
bertanggungjawab,0.004
bertebaaran,0.004
berteman,0.013
bertumpuk,0.004
besok,0.038
betah,0.004
betapa,0.004
biadab,0.013
bibi,0.008
bibit,0.004
bicara,0.029
bijak,0.004
bilang,0.067
bimbel,0.008
bimbing,0.017
bingung,0.063
biro,0.004
biru,0.004
bis,0.008
bisu,0.004
bius,0.008
blok,0.004
blues,0.004
bocor,0.004
bodoamat,0.013
bodoh,0.079
bohong,0.008
bolak,0.021
boneka,0.004
bonus,0.004
boro,0.017
bos,0.004
bosan,0.008
bothoke,0.004
boyolali,0.004
brended,0.004
brewok,0.004
brondong,0.004
brownis,0.004
bst,0.017
buah,0.004
buang,0.021
bubur,0.008
budak,0.038
bude,0.004
buka,0.046
bukain,0.004
buku,0.013
bullyan,0.004
bumbuin,0.004
bunda,0.008
bundi,0.004
buram,0.004
buruk,0.013
buset,0.004
busuk,0.008
buta,0.004
butuh,0.013
cabai,0.013
cabang,0.004
cakap,0.004
campur,0.008
canda,0.004
canggung,0.008
cangkir,0.004
cantik,0.017
capres,0.004
cari,0.071
cbt,0.004
cegah,0.004
ceilah,0.004
celaka,0.004
cemil,0.163
cemilan,0.004
cenderung,0.004
cengang,0.004
cepat,0.029
cepatan,0.004
cerah,0.004
cerdas,0.004
cerewet,0.021
cerita,0.109
ceritain,0.004
chatnya,0.004
cicil,0.004
cihuy,0.004
cilok,0.004
cinta,0.046
coba,0.042
colok,0.004
contek,0.004
corona,0.008
coyy,0.029
cpns,0.008
ct,0.004
cubit,0.004
cuci,0.025
cucu,0.004
curang,0.004
curhat,0.004
curiga,0.004
daftar,0.017
daging,0.008
dahi,0.004
damar,0.004
dandang,0.004
dangdut,0.004
dannis,0.004
dapur,0.017
dar,0.008
darah,0.013
darimana,0.008
daritadi,0.021
dasar,0.063
dating,0.008
daud,0.004
debat,0.004
deh,0.038
dekan,0.008
deketan,0.004
dekil,0.004
dengar,0.046
depo,0.004
detak,0.004
diajari,0.004
diam,0.046
dianggep,0.004
diangkot,0.004
diare,0.004
diarepin,0.008
dibantuin,0.004
dibawelin,0.004
dibegitukan,0.004
dibutuhin,0.004
dicariin,0.004
diceramahin,0.004
dichat,0.017
didi,0.008
didownload,0.004
diforwad,0.004
diginiian,0.004
digital,0.004
digpp,0.004
dihape,0.004
dihide,0.004
dijalanin,0.004
dijodohin,0.004
dijulidin,0.004
dikagetin,0.004
dikatai,0.008
dikerjain,0.004
dikirimin,0.004
dikit,0.004
dikolektifin,0.004
dikos,0.008
dikotorin,0.004
dikretek,0.004
dimana,0.004
dimasakin,0.013
dimasuki,0.004
dimatiin,0.004
dimsum,0.004
dinasehatin,0.004
dinding,0.008
dingin,0.013
diobatin,0.004
diomelin,0.008
diomongin,0.004
dion,0.004
dipenuhin,0.004
diperhatiin,0.004
dipinginin,0.004
diposesifin,0.004
dirapin,0.004
diread,0.004
direktur,0.004
disakitin,0.004
disalahin,0.004
disamperin,0.004
disaranin,0.004
diselingkuhin,0.004
diskusi,0.004
diskusiin,0.004
disuka,0.004
ditanyain,0.042
ditelfon,0.013
ditemenin,0.004
ditentuin,0.008
ditilep,0.004
diturunin,0.004
diturutin,0.004
ditv,0.008
ditwitter,0.008
doa,0.004
dokter,0.004
dolan,0.004
domestik,0.004
donh,0.004
dosa,0.008
dosbing,0.029
dosbingku,0.004
dosen,0.05
doyan,0.004
dp,0.004
dpf,0.004
dpnya,0.004
drama,0.134
duan,0.004
dubbing,0.004
duduk,0.004
duka,0.004
duluan,0.004
dunia,0.013
duta,0.004
edit,0.008
eeq,0.004
efek,0.013
eh,0.021
ekspetasi,0.008
ekspetasinya,0.004
elektronik,0.017
embak,0.004
emis,0.008
emosi,0.008
endang,0.004
endap,0.004
episode,0.008
erti,0.008
es,0.013
exo,0.004
facebook,0.004
fakboi,0.004
fakta,0.004
faktur,0.004
fanatik,0.004
farklin,0.004
farmasi,0.013
fast,0.004
fatimah,0.004
ff,0.004
fg,0.013
filenya,0.004
film,0.013
flu,0.004
formalitas,0.004
foto,0.063
fotocopy,0.004
fredly,0.004
frekuensi,0.013
freya,0.013
frs,0.004
gadis,0.004
galak,0.004
galeri,0.008
gambar,0.004
ganda,0.004
gandeng,0.008
ganggu,0.008
ganteng,0.008
ganti,0.004
gara,0.021
garuda,0.004
gatal,0.013
gayung,0.004
geblek,0.004
gedek,0.004
gedor,0.004
gedung,0.004
gejolak,0.008
gel,0.004
gela,0.004
gelar,0.004
geli,0.013
gelisah,0.05
gemaas,0.004
gemas,0.042
gemblong,0.004
gembok,0.004
gempa,0.004
gendong,0.013
gendut,0.004
geprek,0.004
gera,0.004
gerak,0.042
gercep,0.004
gerincing,0.008
gerombol,0.004
getar,0.008
ghosting,0.008
ghostnya,0.004
giat,0.017
gila,0.004
gilir,0.038
ginjal,0.004
ginu,0.004
glendotan,0.004
glenn,0.004
glodakan,0.004
goal,0.004
goblokk,0.004
gobloqan,0.004
gods,0.004
gof,0.004
gokhutjing,0.004
google,0.008
gorden,0.004
goreng,0.013
gosip,0.029
gosong,0.004
gratisan,0.004
greget,0.013
gregetan,0.004
grup,0.033
gugup,0.046
gumush,0.008
gunung,0.004
guru,0.004
habis,0.113
hadir,0.004
hafal,0.004
hahahhaha,0.004
hahhahaa,0.004
hahhahhaa,0.004
hak,0.004
hakim,0.004
halaman,0.004
halodoc,0.004
halte,0.004
halusinasi,0.008
hamil,0.004
hana,0.004
hancur,0.013
hangat,0.004
hapus,0.008
harap,0.008
harapan,0.004
hasil,0.017
hati,0.079
hatiquw,0.004
hawa,0.008
hayo,0.004
heboh,0.004
henti,0.008
heran,0.008
hibur,0.004
hidung,0.004
hidup,0.046
hijau,0.004
hilang,0.033
hindar,0.013
hisda,0.008
hj,0.004
hobi,0.008
horor,0.008
hubung,0.017
hubungan,0.008
hufft,0.004
hujan,0.013
hujat,0.008
huni,0.008
hutang,0.008
iai,0.004
ide,0.004
igd,0.004
ignya,0.004
ih,0.008
ikan,0.008
ikhlas,0.004
iklan,0.008
ikon,0.004
ikuti,0.008
ilang,0.008
ilmu,0.008
imbang,0.004
imlek,0.004
imunologi,0.008
indonesia,0.021
informasi,0.008
ingetnya,0.004
instagram,0.033
instan,0.004
instropeksi,0.004
insya,0.004
internet,0.004
inti,0.004
introvert,0.004
ipk,0.008
iqbal,0.004
iri,0.017
isi,0.029
istirahat,0.008
isu,0.004
iur,0.004
iya,0.322
izin,0.017
jadwal,0.008
jae,0.004
jaga,0.004
jagung,0.004
jahat,0.017
jahit,0.008
jail,0.033
jajan,0.004
jalan,0.054
jaman,0.021
jamin,0.004
jamur,0.004
janji,0.008
jantung,0.004
januari,0.004
jarak,0.021
jarang,0.013
jarem,0.004
jari,0.004
jas,0.004
jasmani,0.008
jatah,0.013
jatu,0.004
jatuh,0.021
jawa,0.008
jawat,0.008
jebol,0.008
jeda,0.004
jelajah,0.004
jelang,0.004
jelasin,0.008
jelek,0.004
jen,0.004
jenazah,0.004
jendela,0.008
jeng,0.004
jerawat,0.004
jijik,0.017
jilbab,0.008
jiwa,0.017
jodoh,0.004
jok,0.004
jompo,0.004
jongkok,0.004
jorok,0.008
jual,0.025
juang,0.013
julid,0.008
jum,0.013
kabar,0.017
kabarin,0.004
kabupaten,0.004
kaca,0.004
kacamata,0.004
kadang,0.142
kado,0.004
kaki,0.033
kaktus,0.004
kaku,0.004
kakung,0.004
kalah,0.004
kalong,0.004
kamar,0.038
kambing,0.004
kampus,0.038
kanan,0.008
kandung,0.004
kanker,0.008
kantong,0.004
kantor,0.033
kantuk,0.05
kaos,0.004
kardus,0.004
karma,0.004
kartu,0.008
karuan,0.013
kasar,0.008
kasih,0.046
kasurqu,0.004
kating,0.008
katingnya,0.004
kawan,0.008
kayaknya,0.004
kdrt,0.004
kebahagian,0.004
kebucinan,0.004
kecewa,0.017
kedengaran,0.004
kegep,0.004
kejar,0.004
kejut,0.042
kelak,0.004
kelap,0.004
kelas,0.025
keliling,0.004
keluarga,0.029
keluh,0.05
kemarin,0.054
kembang,0.008
kemeja,0.004
kemudi,0.008
kemudia,0.004
kenal,0.004
kenang,0.004
kencang,0.004
kendara,0.004
kentang,0.013
kepala,0.004
kepel,0.004
keramas,0.017
keran,0.008
keras,0.004
kereta,0.004
keringetnya,0.004
keripik,0.004
kerjaanya,0.004
kesal,0.109
kesana,0.004
kesini,0.004
ketawa,0.008
ketemu,0.067
ketik,0.004
ketoprak,0.004
ketrampilan,0.004
ketua,0.004
kim,0.004
kiri,0.013
kirim,0.017
klepek,0.004
klinik,0.004
klub,0.004
knalpot,0.013
koma,0.004
komennya,0.004
komentar,0.008
kompre,0.004
komputer,0.004
komunikasi,0.008
koneksi,0.004
konflik,0.004
konsep,0.004
konser,0.008
konsul,0.004
kontak,0.004
kontraksi,0.004
korban,0.013
korea,0.021
kos,0.029
kosnya,0.004
kotak,0.004
kotoran,0.004
koyo,0.004
kreatif,0.008
kritik,0.013
kriting,0.004
kromo,0.004
krucil,0.004
ktp,0.004
kuah,0.004
kuat,0.025
kucing,0.025
kue,0.004
kufikirkan,0.004
kukka,0.004
kuliah,0.079
kulkas,0.008
kumat,0.008
kumpul,0.017
kunci,0.004
kuota,0.008
kupat,0.013
kupukupu,0.004
kurir,0.004
kwangsoo,0.004
kyungsoo,0.004
labil,0.004
laboratorium,0.004
lagu,0.013
lahir,0.013
laki,0.033
lamar,0.004
lampu,0.017
lantai,0.008
lapar,0.05
lapor,0.008
laptop,0.021
lari,0.025
latih,0.004
laundrynya,0.004
lawak,0.004
layap,0.004
layar,0.004
lebam,0.004
lebaran,0.033
ledak,0.008
lee,0.004
lega,0.008
leher,0.004
lek,0.004
lekas,0.004
lelah,0.063
lelucon,0.004
lemah,0.017
lembar,0.004
lembur,0.004
lengkap,0.004
lepas,0.008
les,0.004
letus,0.004
lho,0.008
li,0.013
lia,0.017
libat,0.004
libur,0.038
lil,0.004
lingkar,0.004
link,0.004
lipat,0.004
logat,0.004
loncat,0.004
lontong,0.008
lucu,0.033
ludo,0.004
luk,0.008
luka,0.004
lulus,0.029
lumayan,0.029
lumur,0.004
lunas,0.004
lupa,0.013
lupaa,0.004
maaf,0.033
macet,0.004
magang,0.004
magerin,0.004
magrib,0.008
mahasiswa,0.029
mahasiswi,0.004
makenya,0.004
maki,0.013
makul,0.013
malam,0.109
malas,0.05
maleman,0.004
malemnya,0.008
malesij,0.004
malming,0.004
malu,0.038
mampir,0.004
manah,0.004
mandarin,0.004
mandi,0.029
manis,0.008
mannernya,0.004
mantap,0.004
manual,0.004
manusia,0.021
marah,0.013
maret,0.004
mari,0.004
martabak,0.004
masak,0.038
masang,0.004
masker,0.025
materi,0.008
mati,0.079
mbah,0.021
media,0.013
meetnya,0.004
meja,0.008
melar,0.008
melek,0.004
memanh,0.004
membela,0.004
memegang,0.021
memelihara,0.004
mempan,0.008
menamai,0.004
menang,0.008
menariq,0.004
mencar,0.004
mencolong,0.004
mendapati,0.004
mendengarkan,0.025
mendung,0.004
menelepon,0.033
menemani,0.004
menempel,0.008
menemukan,0.013
mengajari,0.004
mengambil,0.004
mengecek,0.004
mengerti,0.004
menghilangkan,0.004
mengomentari,0.004
mengomongnya,0.004
mengurus,0.004
menikah,0.038
menit,0.013
mental,0.008
mentingin,0.004
menyadari,0.004
menyambung,0.008
menyelesaikan,0.004
menyengir,0.004
merah,0.004
merem,0.004
mesenyapkan,0.004
metil,0.004
metro,0.004
mewek,0.004
mi,0.004
mie,0.017
mienya,0.004
mikirlah,0.004
mikirnya,0.008
mikroba,0.004
mikrofon,0.004
mikropon,0.004
militer,0.004
milna,0.004
mimpi,0.071
mimpiin,0.008
minat,0.004
mindahin,0.004
minder,0.004
minggu,0.046
minum,0.029
minyak,0.004
miskin,0.004
misuh,0.004
mobil,0.013
mobile,0.004
mode,0.004
model,0.004
moewardi,0.004
molor,0.004
momentnya,0.004
mon,0.004
moodnya,0.008
motif,0.004
motivasi,0.008
motivasih,0.004
motor,0.05
mpasi,0.004
mual,0.017
muda,0.013
mudah,0.004
mudik,0.004
muhammad,0.004
mujaer,0.004
muka,0.017
mukbang,0.004
mules,0.008
multitasking,0.004
mulya,0.004
muncul,0.025
muntah,0.004
musim,0.029
musuh,0.008
mutasi,0.004
mute,0.008
muternya,0.008
nabrak,0.008
nada,0.004
nafas,0.008
nafsu,0.004
naikin,0.004
naj,0.004
nama,0.017
nanda,0.004
nanem,0.004
nang,0.054
nanggung,0.004
nanyain,0.008
nasi,0.017
nasional,0.004
nastar,0.004
natal,0.004
nayangin,0.004
ndredeg,0.004
nduk,0.004
nebak,0.004
nego,0.004
nekat,0.004
nelfonin,0.008
nenek,0.021
nengah,0.004
