term,weight
abu,0.007
ac,0.01
acak,0.003
acan,0.003
acos,0.003
acosku,0.003
acuh,0.003
adek,0.01
adjie,0.003
admin,0.003
administrasi,0.003
adonai,0.003
agents,0.003
agung,0.003
ah,0.017
air,0.007
ajaib,0.007
ajak,0.01
ajar,0.007
ajeng,0.01
akhirnyaa,0.003
akira,0.003
akses,0.003
aktif,0.003
akumah,0.003
akun,0.003
al,0.007
alarm,0.003
alas,0.014
alfagift,0.014
alfamart,0.003
alhamdilillah,0.003
alhamdulillah,0.031
alicia,0.003
allahuma,0.003
allahumma,0.003
alpukat,0.003
alpukatnya,0.003
ambil,0.024
amigdala,0.003
amin,0.045
amizah,0.003
ampun,0.003
anak,0.038
ananda,0.003
andal,0.003
andro,0.003
aneh,0.007
anggap,0.01
anggota,0.01
anggrahini,0.003
angin,0.003
angka,0.01
angkat,0.01
angkotnya,0.003
angkutan,0.01
aowkwk,0.003
api,0.003
arah,0.003
area,0.003
aromating,0.003
artis,0.003
ashima,0.003
asik,0.003
asin,0.007
asli,0.031
asrama,0.003
assalamualaikum,0.003
astagfirullah,0.021
atm,0.01
atur,0.003
atus,0.003
aula,0.003
awak,0.003
aww,0.007
ayah,0.01
ayam,0.028
ayo,0.017
baca,0.021
badan,0.003
bagus,0.031
bah,0.007
bahagia,0.024
bahagiaa,0.003
baiq,0.003
bajing,0.003
baju,0.014
bakar,0.003
bakso,0.01
balas,0.017
balegede,0.003
balesnya,0.003
balon,0.01
ban,0.003
bandung,0.007
bangan,0.003
banget,0.01
bangsa,0.007
bangun,0.017
bantu,0.003
banyaknyaa,0.003
baperan,0.003
bar,0.014
barang,0.017
bareng,0.035
baros,0.003
basic,0.003
batal,0.378
batas,0.014
batik,0.007
bawa,0.024
bayang,0.007
bayar,0.01
bayi,0.007
bayu,0.003
bb,0.003
bbm,0.003
beban,0.007
bebas,0.003
beda,0.045
bedak,0.003
bedd,0.003
begituan,0.003
bekas,0.007
bekel,0.007
belah,0.003
belang,0.003
beli,0.038
belikan,0.007
beloved,0.003
benarkan,0.003
benci,0.003
bentar,0.007
bentol,0.003
bentuk,0.007
ber,0.007
beranda,0.003
berani,0.003
berat,0.007
berhehti,0.003
berlaluu,0.003
berpikir,0.007
berry,0.007
bersih,0.003
besok,0.028
betah,0.007
bh,0.007
biasain,0.003
biaya,0.003
bibi,0.007
bicara,0.014
bierheay,0.003
bilang,0.09
bilas,0.003
bingung,0.003
biore,0.007
bis,0.003
bisasanya,0.003
bisikin,0.003
bisma,0.003
bismillah,0.003
bismillahirrohmanirrohim,0.003
blangko,0.003
blok,0.003
bodoh,0.003
bogor,0.01
bohong,0.003
bolak,0.003
bolee,0.003
bolehh,0.003
boneka,0.003
bosan,0.007
buah,0.01
bubur,0.007
buka,0.007
bukber,0.007
bukit,0.003
bumi,0.003
bunga,0.003
bungkus,0.003
buru,0.007
buruk,0.003
busa,0.003
butuh,0.01
cabang,0.007
cahaya,0.01
cakap,0.003
canda,0.003
candu,0.003
cantik,0.01
cari,0.021
catat,0.003
celengan,0.003
cemil,0.094
cepat,0.028
cepatan,0.003
ceplok,0.007
cerita,0.035
cetak,0.007
ceweknyaa,0.003
chek,0.003
cianjur,0.014
cicil,0.003
cii,0.003
cik,0.003
cikancana,0.003
cinta,0.042
cipeuyeum,0.003
cita,0.007
citambur,0.003
ciwang,0.003
cjr,0.007
coba,0.042
cocoh,0.003
coklat,0.028
coklatny,0.003
com,0.003
cooker,0.003
cos,0.007
cryin,0.007
ctn,0.003
cuekin,0.003
cungg,0.003
curhatin,0.003
cuti,0.003
dadar,0.003
daerah,0.003
dagu,0.003
damai,0.003
danau,0.003
dar,0.01
daritadi,0.003
daster,0.003
datar,0.003
daun,0.003
dea,0.003
definisi,0.003
deh,0.052
dekati,0.003
deketnya,0.003
dengar,0.028
desa,0.007
desember,0.003
desi,0.007
diabisin,0.003
dialog,0.003
diam,0.003
dibekelin,0.007
dibeliin,0.003
dibilangin,0.003
dideket,0.003
didieu,0.007
difikirkan,0.003
dik,0.003
dikatai,0.003
dikit,0.01
dikos,0.003
dikumpulin,0.003
dimint,0.003
dina,0.003
dinding,0.007
dingin,0.021
dinyanyikan,0.003
dipakai,0.003
dipojokkan,0.003
disdukcapil,0.003
disimpen,0.01
disimpennya,0.003
ditawarin,0.003
dititipin,0.003
diucapin,0.003
doa,0.007
dokumen,0.003
dompet,0.003
dosen,0.007
dp,0.003
duaa,0.003
duakali,0.003
dubai,0.003
duduk,0.007
duha,0.003
dul,0.01
duluan,0.021
dungg,0.007
dunia,0.007
dus,0.007
dwg,0.01
edisi,0.003
efek,0.003
eh,0.003
ehhe,0.007
ehiyaa,0.003
el,0.01
elite,0.003
emaa,0.003
emangg,0.003
enggaa,0.007
engkau,0.003
enrichment,0.003
erat,0.003
erti,0.014
es,0.007
eskrim,0.007
eskrimnya,0.003
esok,0.003
estetik,0.007
eyeliner,0.003
eyeshadow,0.003
facebook,0.007
farel,0.003
fatihah,0.003
fau,0.003
favorit,0.007
februari,0.007
feebase,0.003
fess,0.003
figura,0.003
fisha,0.003
flash,0.003
fokus,0.003
foto,0.031
fourtwnty,0.003
friendster,0.003
fungsi,0.003
gabung,0.007
gadis,0.007
gado,0.007
gagal,0.007
gaji,0.003
galon,0.007
ganggu,0.007
ganiat,0.003
ganti,0.017
garpu,0.003
ge,0.003
gekbrong,0.003
gelisah,0.003
gemas,0.007
gemuk,0.007
gendut,0.035
generasi,0.007
geser,0.017
gigit,0.003
gila,0.01
gkbg,0.003
gmnn,0.003
godaanya,0.003
google,0.003
goreng,0.014
gratis,0.01
greget,0.003
grup,0.031
gudeg,0.003
gugup,0.007
guling,0.007
guru,0.003
habis,0.066
hadiah,0.003
hadir,0.003
hadju,0.003
hadu,0.003
haduh,0.007
haduww,0.01
hadyu,0.003
haid,0.003
haidee,0.007
halaman,0.003
hamil,0.003
hamzah,0.003
han,0.003
hangat,0.01
hani,0.003
hapal,0.003
hapibidi,0.003
hapibidii,0.007
hapthurs,0.003
hapus,0.003
harap,0.014
harga,0.003
hasil,0.014
hati,0.01
hayo,0.003
hayuhayuu,0.003
headset,0.003
hebat,0.01
hemat,0.003
henteu,0.003
henti,0.007
hhgskslbshzls,0.003
hidup,0.076
hijabic,0.003
hijau,0.003
hilang,0.035
hindar,0.003
hitam,0.003
hks,0.003
hmh,0.003
hmhh,0.003
hmmhh,0.007
ho,0.003
hobi,0.003
hoo,0.003
hopefully,0.003
hormat,0.003
huaha,0.003
hugs,0.007
huhuu,0.031
huhww,0.003
hujan,0.024
hulaa,0.003
hv,0.003
hwa,0.024
hwaa,0.007
hwahwahwa,0.003
hwh,0.014
hwhe,0.017
hwhee,0.01
hwhh,0.003
hwhu,0.003
hwhuu,0.003
hwhw,0.003
hwhwh,0.01
hwhwhwhw,0.003
hwhwu,0.003
hwuhu,0.01
ibuu,0.003
ida,0.007
idola,0.003
ih,0.007
ikan,0.021
iket,0.003
ikhlas,0.014
ikt,0.007
ikuti,0.003
ilangin,0.003
impi,0.003
inap,0.003
indah,0.021
indoapril,0.003
indomaret,0.003
indosat,0.003
industri,0.003
ingetnya,0.003
inisih,0.003
inituh,0.003
input,0.003
instagram,0.003
inti,0.003
ip,0.003
ipar,0.003
iri,0.007
ishida,0.003
isi,0.01
istimewa,0.003
istirahat,0.003
istri,0.003
isya,0.007
itikad,0.003
itusih,0.003
iya,0.618
iyakk,0.003
izin,0.007
jadwal,0.01
jaga,0.01
jagung,0.003
jahe,0.003
jalan,0.066
jamaah,0.003
jaman,0.01
jambu,0.003
jantung,0.003
jasa,0.003
jatuh,0.014
jelek,0.007
jemput,0.003
jeng,0.007
jepit,0.003
jepret,0.003
jmpg,0.003
jo,0.003
jodie,0.003
jodoh,0.007
jogjaa,0.003
joo,0.003
jual,0.021
juara,0.003
juli,0.003
jum,0.003
jumat,0.003
juni,0.01
jus,0.003
kabar,0.014
kabut,0.003
kaca,0.003
kacandak,0.003
kacang,0.003
kadang,0.017
kah,0.007
kak,0.007
kaki,0.01
kalah,0.003
kalender,0.003
kamar,0.017
kameja,0.003
kangen,0.003
kangkung,0.007
kantong,0.007
kantuk,0.007
kaos,0.003
kapal,0.003
kapas,0.003
kapasitas,0.003
karisma,0.003
kasar,0.003
kasih,0.042
