term,weight
aaja,0.002
aaron,0.002
aasrgyppm,0.002
ab,0.002
abew,0.003
abus,0.002
aca,0.003
acara,0.002
aclslvgu,0.002
acu,0.002
acuh,0.002
adawiyah,0.002
adee,0.002
adek,0.003
adeknya,0.002
admin,0.003
aduh,0.019
aduhai,0.017
advi,0.002
afgan,0.002
afifatul,0.002
agra,0.005
agung,0.002
agustus,0.002
ah,0.016
ahrwy,0.002
ai,0.002
airbender,0.002
aitfrrfyvo,0.002
ajak,0.012
ajar,0.01
aji,0.002
ajur,0.002
ajurr,0.002
akbar,0.002
akhkzt,0.002
akibat,0.002
aktif,0.002
aktivasi,0.002
aktivitas,0.002
akun,0.016
al,0.003
ala,0.003
alah,0.005
alam,0.002
alamat,0.002
alarm,0.002
alasan,0.002
alhamdulillah,0.005
ali,0.002
alias,0.021
alig,0.002
alih,0.002
alim,0.002
alivg,0.002
alur,0.002
alza,0.002
amam,0.002
aman,0.003
ambil,0.009
ambis,0.002
amel,0.002
amin,0.002
aminin,0.002
amir,0.005
ampas,0.002
ampuh,0.002
ampun,0.002
an,0.007
anak,0.042
analistik,0.002
andai,0.003
andika,0.002
aneh,0.003
angan,0.002
anggap,0.003
anggep,0.002
anggrek,0.002
anggun,0.002
angin,0.003
angkat,0.003
angket,0.002
anime,0.002
anjg,0.002
anjir,0.003
anjlok,0.002
anjung,0.007
anjunghaseyo,0.002
anjur,0.002
ano,0.002
anonim,0.012
anti,0.003
antre,0.016
anu,0.003
anymore,0.002
aon,0.002
apart,0.002
apas,0.005
apeka,0.002
apit,0.002
aplikasi,0.005
april,0.003
aprilya,0.002
aqc,0.002
aqnv,0.002
aqzsp,0.002
ar,0.002
area,0.002
ariq,0.003
artiel,0.002
artikel,0.002
artis,0.005
aruita,0.002
aseg,0.003
asekan,0.002
ashab,0.002
asik,0.005
asing,0.003
asix,0.002
ask,0.012
asli,0.009
astaga,0.002
astagfirullah,0.002
astaghfirullah,0.002
asuransi,0.002
ata,0.002
atel,0.002
atuh,0.002
atur,0.003
aul,0.002
aulia,0.002
