term,weight
aa,0.003
abimana,0.003
abo,0.003
abu,0.008
ac,0.003
addie,0.003
adil,0.03
adjisdoaibu,0.003
admin,0.054
administrasi,0.003
adrenalin,0.003
aduh,0.038
aduk,0.008
aeeagq,0.003
aff,0.003
afiliasi,0.003
agama,0.059
agen,0.005
agresip,0.003
ah,0.027
ahli,0.005
ahok,0.003
ahsan,0.022
ajaib,0.005
ajang,0.005
ajar,0.075
ajc,0.005
ajib,0.003
ajm,0.003
akademis,0.003
akane,0.003
akhsb,0.003
aksi,0.003
akun,0.008
ala,0.003
alam,0.005
alarm,0.005
alas,0.005
alasan,0.003
alat,0.005
algoritma,0.003
alice,0.003
alihin,0.003
alir,0.005
alkitab,0.005
alkohol,0.003
alternatif,0.003
alumni,0.003
aman,0.005
amazon,0.003
ambigu,0.003
ambil,0.019
american,0.003
amerika,0.003
amet,0.003
amin,0.019
ampuh,0.003
an,0.027
anak,0.137
analogi,0.003
analogiin,0.003
andal,0.003
andelin,0.003
andrs,0.003
aneh,0.022
angdel,0.008
anggap,0.003
anggar,0.003
anggep,0.003
anggia,0.005
anggota,0.005
angka,0.003
angkat,0.008
animatedscreenshots,0.003
anime,0.005
anjing,0.005
annalise,0.003
anomali,0.008
anthony,0.008
anti,0.005
antisosial,0.003
any,0.003
anymore,0.003
apbauq,0.003
api,0.005
aplikasi,0.011
apollo,0.003
aqnv,0.003
ar,0.003
area,0.013
argentina,0.003
arghh,0.003
ari,0.005
ariana,0.003
artikel,0.003
artis,0.011
arus,0.003
aryasatya,0.003
as,0.003
ashwini,0.011
asi,0.005
asik,0.011
asing,0.003
asked,0.003
asli,0.038
asmara,0.003
aspek,0.003
astaga,0.003
astral,0.005
atap,0.003
ateis,0.005
atheis,0.005
athkwhyors,0.003
atlantis,0.003
atlet,0.013
atletico,0.003
atmosfer,0.003
atribut,0.003
attit,0.003
atur,0.005
audero,0.003
audio,0.003
augustine,0.003
aul,0.003
australia,0.003
autodiabetes,0.003
auu,0.003
awakening,0.008
awas,0.003
awat,0.003
ayah,0.005
ayaka,0.008
ayam,0.008
ayo,0.057
azab,0.003
azpi,0.003
babak,0.003
babawa,0.005
babi,0.003
babysitting,0.003
baca,0.048
badai,0.003
badak,0.003
badan,0.003
badminton,0.019
bagikan,0.005
bagus,0.084
bahagia,0.005
bahan,0.003
bahas,0.013
bahasa,0.003
bahaya,0.003
bain,0.003
baju,0.005
bakar,0.003
bakti,0.003
bal,0.065
balada,0.003
balas,0.013
balo,0.003
balsem,0.011
balsemnya,0.005
bambang,0.003
ban,0.003
banda,0.003
banding,0.011
bandung,0.019
bang,0.005
bangga,0.005
bangsa,0.003
bangun,0.005
bangunin,0.003
bantai,0.003
bantal,0.003
barang,0.003
bararangor,0.003
barca,0.003
bareilles,0.008
bareng,0.008
barry,0.003
basic,0.008
baso,0.003
batal,0.113
batas,0.003
batsy,0.003
batu,0.003
bau,0.011
bawa,0.019
bayang,0.003
bayar,0.011
bb,0.005
bbywnauj,0.003
bcalipt,0.003
beautifully,0.003
beban,0.003
bebas,0.005
bebe,0.003
become,0.003
beda,0.032
beel,0.003
begadang,0.003
begituan,0.008
behind,0.005
bela,0.008
belaga,0.016
belah,0.005
belenggu,0.003
beli,0.024
bella,0.011
belok,0.003
beloved,0.003
benaran,0.011
benarkan,0.003
benci,0.008
beneer,0.003
benera,0.003
benoit,0.003
bensin,0.016
bentuk,0.003
beradaa,0.003
beranda,0.022
berani,0.008
beranta,0.003
berhenti,0.003
berhubungan,0.003
berita,0.016
berkat,0.005
bersih,0.011
beruang,0.003
besok,0.027
bestman,0.003
betull,0.003
beuteung,0.003
bfh,0.003
bhu,0.003
biadab,0.003
biao,0.003
biarkan,0.005
bias,0.003
biases,0.003
biaya,0.003
bibit,0.003
bicara,0.005
bijak,0.003
bijaksana,0.003
bilang,0.035
bilingnya,0.003
bina,0.005
bintang,0.003
biologi,0.003
birmingham,0.003
biru,0.003
bis,0.003
bj,0.003
bjbsikfbrd,0.003
blinding,0.003
blivbxnr,0.003
blkg,0.003
blok,0.005
blokirnyaa,0.003
blooming,0.003
bmcy,0.003
bobol,0.005
bodoh,0.013
boe,0.003
bohong,0.011
boikot,0.003
bola,0.027
bom,0.003
bonus,0.003
book,0.003
borderland,0.005
borderlandnya,0.003
boro,0.005
borok,0.003
bosan,0.005
botak,0.003
bowo,0.003
bp,0.003
bpisan,0.003
breakthrough,0.003
browse,0.003
brqke,0.003
brybyavg,0.003
bts,0.005
buah,0.008
buang,0.005
bubarkan,0.003
bubur,0.003
budak,0.003
