term,weight
abai,0.005
acak,0.016
acara,0.01
adata,0.005
adha,0.005
adler,0.005
admin,0.016
adon,0.005
agama,0.026
agan,0.005
ages,0.005
agustus,0.005
ah,0.005
ahahahahaha,0.005
ahahahahahaha,0.005
air,0.005
airborne,0.005
ajaib,0.005
ajak,0.026
ajang,0.005
ajar,0.063
akal,0.005
akhlak,0.021
akibat,0.005
aksen,0.005
aktor,0.016
alam,0.01
alami,0.005
alas,0.021
alhamdulillah,0.016
alias,0.005
alir,0.01
aman,0.005
ambil,0.01
amin,0.01
ampuh,0.005
ampun,0.01
an,0.042
anak,0.047
analis,0.005
analisis,0.005
analog,0.005
analogi,0.005
aneh,0.016
angka,0.01
angsa,0.005
aniaya,0.005
anjaay,0.005
anjay,0.005
anjayy,0.016
anjiir,0.005
anjim,0.031
anjir,0.01
antum,0.005
antv,0.005
anwar,0.005
apaansi,0.005
apai,0.01
apas,0.026
api,0.005
apk,0.005
aplikasi,0.016
arab,0.005
arah,0.005
ardito,0.005
area,0.005
argumen,0.005
arip,0.005
artikel,0.005
artis,0.01
asam,0.005
asik,0.01
astaga,0.005
astagfirullah,0.016
atur,0.005
avengers,0.005
aware,0.005
awas,0.016
awokwowkowkow,0.005
ayah,0.005
ayam,0.016
ayo,0.073
baader,0.005
babak,0.005
babies,0.005
baca,0.068
bacod,0.005
badai,0.005
badak,0.005
badan,0.016
badmint,0.005
badminton,0.01
badu,0.005
badut,0.005
bagus,0.136
bahas,0.016
bahasa,0.01
bain,0.005
bajak,0.005
bajing,0.021
baju,0.026
bakso,0.016
balas,0.031
balon,0.021
bambankwati,0.005
bambankwatu,0.005
ban,0.005
bangun,0.026
banjar,0.005
bank,0.005
banking,0.005
bantu,0.037
bar,0.005
barang,0.005
barasuara,0.005
barca,0.005
bareng,0.016
baris,0.005
based,0.005
batagor,0.005
batal,0.11
batas,0.016
batin,0.005
batuk,0.005
bau,0.042
bawa,0.01
bayam,0.01
bayang,0.005
bayi,0.005
bbc,0.005
bbm,0.01
bebek,0.005
becandaan,0.005
becandain,0.005
beda,0.037
bedarah,0.005
bel,0.005
bela,0.005
belaga,0.005
beli,0.068
beliau,0.01
belikan,0.01
benarkan,0.005
benda,0.005
benedict,0.005
benerwkwk,0.005
beng,0.005
benny,0.005
benr,0.005
bensin,0.005
bentar,0.016
bentuk,0.016
beranda,0.005
berani,0.005
berat,0.01
berhalu,0.005
berhenti,0.016
berita,0.037
berkumpul,0.005
bersih,0.005
bersin,0.016
berteman,0.01
besok,0.016
betol,0.005
betot,0.005
bgsya,0.005
bgts,0.037
bia,0.005
biadab,0.089
biarawati,0.005
biarkan,0.005
bias,0.005
bicara,0.031
bilang,0.057
bileh,0.005
billar,0.005
billy,0.005
bingung,0.01
bintang,0.01
biru,0.01
blinders,0.005
blog,0.016
blok,0.016
blong,0.005
bmkg,0.005
bnpb,0.005
bodoh,0.057
bohong,0.021
bolak,0.005
bolong,0.005
bos,0.031
bosemans,0.005
bot,0.005
breaking,0.005
brng,0.005
bron,0.005
bruno,0.005
buah,0.031
buang,0.005
budak,0.016
budi,0.005
bujur,0.005
buka,0.089
bukti,0.01
buku,0.01
bulu,0.005
bumi,0.005
bunda,0.01
bunga,0.016
bungkus,0.005
bungsu,0.005
bunyi,0.005
bur,0.005
buram,0.005
buruk,0.005
buta,0.016
butuh,0.01
bwf,0.005
caard,0.005
cacing,0.005
cahaya,0.031
calon,0.005
canda,0.021
cangtipnya,0.005
cantik,0.031
captionnya,0.005
cari,0.042
catat,0.005
catur,0.005
cay,0.042
cemil,0.057
ceo,0.005
cepat,0.073
cer,0.005
cerita,0.057
ceritain,0.005
cerna,0.005
ceue,0.016
chadwick,0.005
chattan,0.005
cheetah,0.005
chips,0.005
chrome,0.01
ci,0.042
cibu,0.005
cie,0.005
cii,0.005
cinta,0.037
ciri,0.01
cium,0.016
ciwiciwii,0.005
ckckck,0.005
ckckckck,0.01
ckckckckcknaksndjkakfhekwkdhje,0.005
classroom,0.005
cmiwiw,0.005
coba,0.068
comparing,0.005
congrast,0.005
contoh,0.005
cooker,0.005
copywriting,0.005
corona,0.042
cos,0.005
cosplay,0.005
couo,0.01
covidiot,0.01
cuci,0.005
cuekin,0.005
culun,0.005
cuman,0.042
cumberbatch,0.005
curiga,0.005
dabes,0.005
daging,0.005
dahi,0.01
dahoeloe,0.005
damai,0.016
dapaneh,0.005
dapur,0.01
dar,0.01
darah,0.01
das,0.005
dasar,0.037
daun,0.005
dayak,0.01
days,0.005
deadline,0.005
debat,0.01
debgan,0.005
debut,0.005
december,0.005
dedi,0.005
def,0.005
deh,0.005
demit,0.005
dengar,0.037
dengernya,0.005
dengki,0.005
depanm,0.005
der,0.005
derita,0.005
deru,0.005
desember,0.005
deskripsiin,0.005
dewasa,0.005
diam,0.026
diamb,0.005
diameter,0.01
dibeliin,0.005
dibolehin,0.005
dicatat,0.005
didik,0.005
digunain,0.005
dih,0.031
diilangin,0.005
diingankan,0.005
dijadikan,0.005
dijelasin,0.005
dikeluarin,0.005
dikit,0.026
dilakuin,0.005
dimana,0.005
dinda,0.005
dingin,0.016
dinosaurus,0.005
dinta,0.01
dirgahayu,0.005
disa,0.005
disalahin,0.005
dita,0.005
diunsend,0.005
diyam,0.005
djaman,0.005
doa,0.01
dokter,0.01
