term,weight
abad,0.004
abbas,0.004
aca,0.004
acara,0.007
aci,0.004
adek,0.004
adeknya,0.004
adil,0.004
admin,0.339
administrasi,0.004
aduh,0.026
agta,0.004
agustus,0.004
ah,0.018
ahihihi,0.004
ahli,0.007
ain,0.004
ajaib,0.015
ajar,0.022
aju,0.007
akh,0.004
akhirat,0.004
akreditasi,0.011
akses,0.007
aktif,0.015
aktivitas,0.004
akumulasi,0.004
akun,0.026
al,0.004
alam,0.011
alamat,0.007
alarm,0.004
alas,0.007
album,0.004
alergi,0.004
alfatihah,0.007
alhamdulillah,0.015
alias,0.004
allah,0.015
allahumma,0.007
almarhum,0.004
amal,0.004
aman,0.011
amatir,0.004
ambil,0.015
amin,0.022
amit,0.004
ampuh,0.004
ampun,0.004
an,0.033
anak,0.066
aneh,0.007
angger,0.004
anggota,0.007
angkat,0.004
angpau,0.004
anis,0.004
anjing,0.004
anjir,0.004
anjog,0.004
antigen,0.007
antisosial,0.007
antre,0.007
anugerah,0.004
any,0.011
anymore,0.004
anyong,0.007
apane,0.004
apel,0.004
apha,0.004
apik,0.004
apk,0.007
aplikasi,0.044
appreciate,0.004
apresiasi,0.004
april,0.004
arah,0.015
area,0.015
arep,0.004
arif,0.004
artis,0.007
aru,0.004
asam,0.007
asi,0.004
asik,0.007
asip,0.011
asisten,0.004
askes,0.004
asli,0.011
asn,0.004
astopiloh,0.004
atm,0.007
atur,0.004
awan,0.004
awas,0.007
awesome,0.004
ayah,0.011
ayam,0.007
ayse,0.004
azam,0.004
azmi,0.004
azo,0.004
azzam,0.004
babat,0.007
babeh,0.007
baca,0.029
badai,0.004
badan,0.007
bade,0.004
badut,0.004
bagus,0.04
bahan,0.004
bahari,0.007
bahas,0.011
bahasa,0.007
bahaya,0.004
bakti,0.004
bal,0.004
balap,0.007
balita,0.004
balkot,0.004
balut,0.004
ban,0.004
banding,0.018
bando,0.004
banget,0.004
bangga,0.004
bangkrut,0.004
bangun,0.007
banjarharjo,0.007
banjir,0.004
bank,0.004
bantah,0.004
bantu,0.033
bapake,0.004
barangkali,0.004
barbekyu,0.004
bareng,0.004
barokah,0.004
batal,0.04
batik,0.004
batin,0.004
batu,0.004
baturraden,0.004
bau,0.004
bawa,0.015
bawel,0.004
baya,0.004
bayar,0.047
bayi,0.029
bb,0.007
bbm,0.011
bebas,0.004
become,0.011
beda,0.011
bekas,0.004
belaga,0.004
belah,0.004
belarus,0.004
beli,0.044
beliau,0.004
ben,0.007
benci,0.004
bendahara,0.004
bengong,0.007
berang,0.007
berani,0.004
berat,0.004
berita,0.015
berkat,0.004
berkumpul,0.004
bersangkutan,0.004
bersih,0.004
berteman,0.004
besok,0.018
bgkkpcwaee,0.004
bhaiq,0.004
bi,0.004
bicara,0.004
bidang,0.007
bidik,0.004
biggest,0.004
bijak,0.007
bijaksana,0.004
bilang,0.007
biling,0.004
billing,0.004
binasa,0.004
bingung,0.004
binti,0.004
bisane,0.004
bismillah,0.004
bkkbn,0.004
bknkah,0.004
blackberry,0.004
blbi,0.004
blokir,0.004
bnpt,0.004
boarding,0.007
boba,0.011
bodoh,0.004
bohong,0.004
bojoku,0.004
boneka,0.007
bos,0.004
bosan,0.011
bpjs,0.026
brebes,0.007
