term,weight
aamiinkan,0.005
abad,0.005
abadi,0.005
absensi,0.005
acak,0.015
acuh,0.01
adil,0.005
adinata,0.005
admin,0.01
adudu,0.005
aduduu,0.005
aduh,0.015
ah,0.02
ahli,0.005
ahoy,0.005
ain,0.005
airy,0.005
ajak,0.015
ajar,0.015
akak,0.005
akal,0.005
akane,0.005
akbar,0.005
akhlak,0.005
akrab,0.005
akselsen,0.005
akun,0.01
akustik,0.005
alam,0.01
alamat,0.005
alami,0.005
alarm,0.005
alat,0.005
album,0.051
alek,0.005
alhamdilillah,0.005
alhamdulillah,0.015
alias,0.01
alih,0.005
aliran,0.005
allahu,0.005
amarah,0.005
ambil,0.015
ambivert,0.01
amed,0.005
amin,0.01
ampat,0.005
amplop,0.005
ampun,0.005
an,0.025
anak,0.071
andah,0.005
andalane,0.005
angeell,0.005
angkuh,0.005
angop,0.01
anjur,0.005
anteng,0.005
antisipasi,0.005
anu,0.005
apaansi,0.01
apaansih,0.005
apaqa,0.005
apel,0.005
apeure,0.005
api,0.005
aplikasi,0.005
ar,0.005
arab,0.005
ariana,0.005
arigatou,0.005
arum,0.005
arwah,0.005
asa,0.025
asap,0.005
asensio,0.005
asik,0.01
asiq,0.005
ask,0.005
astaga,0.02
astaghfirullah,0.02
asupan,0.005
asw,0.005
atlet,0.005
atur,0.005
aulia,0.005
autocorrect,0.005
awan,0.005
awas,0.005
awet,0.005
awkwk,0.005
awkwkwk,0.005
awmu,0.005
ayam,0.025
ayo,0.061
ba,0.005
babano,0.005
babe,0.005
bablas,0.015
baca,0.061
backnya,0.005
badan,0.015
bagus,0.03
bahagia,0.035
bahas,0.005
bahasa,0.005
bahaya,0.005
baiq,0.01
bajing,0.005
bajo,0.005
baju,0.005
bakpia,0.005
bakso,0.005
balas,0.005
balasan,0.005
balesan,0.005
balon,0.005
bancaan,0.005
banding,0.005
bangdo,0.005
banget,0.005
bangga,0.005
bangkit,0.005
bangun,0.01
banyu,0.005
barang,0.005
bareng,0.02
barsa,0.005
batal,0.238
batin,0.005
batu,0.01
bawa,0.01
bawang,0.005
bayi,0.015
bayik,0.005
bcl,0.005
bebarengan,0.005
bebb,0.005
beda,0.02
bediri,0.005
begadang,0.005
bekicot,0.005
belaga,0.005
belah,0.02
belanja,0.005
belas,0.005
beli,0.041
benci,0.01
benda,0.005
bengek,0.005
bengong,0.005
bentar,0.035
bentuk,0.005
ber,0.005
beranda,0.02
berani,0.005
berat,0.015
berhenti,0.005
berita,0.005
berkas,0.005
berlaluu,0.005
berteman,0.005
besok,0.051
bias,0.005
biasane,0.005
bic,0.005
bicara,0.02
bieber,0.005
bienvenidos,0.005
bilan,0.005
bilang,0.02
bimbang,0.005
binatang,0.005
bintang,0.005
biro,0.005
bis,0.015
bisabisanya,0.005
bismillah,0.015
biyen,0.005
blk,0.005
bo,0.005
bocor,0.005
bodoh,0.015
bohong,0.01
bola,0.01
bolelah,0.005
bonceng,0.015
boneka,0.005
bong,0.025
bontot,0.005
