term,weight
able,0.009
abur,0.003
aca,0.003
acara,0.003
acclaimed,0.003
according,0.009
activities,0.015
actress,0.012
acts,0.003
adekku,0.003
adelways,0.003
adlibs,0.003
admin,0.009
aduh,0.003
aegyo,0.003
aespa,0.015
aespas,0.003
aesthetically,0.003
agama,0.003
agen,0.003
agenda,0.003
agens,0.003
aging,0.003
ah,0.024
ahli,0.003
ahm,0.003
air,0.003
aish,0.003
ajak,0.003
ajar,0.03
aju,0.018
akademi,0.003
aksksks,0.003
aktif,0.009
aktor,0.003
akun,0.009
alam,0.006
alas,0.012
album,0.042
alex,0.003
alias,0.006
alih,0.009
alot,0.006
alright,0.003
although,0.003
amasat,0.003
ambil,0.006
american,0.003
amin,0.006
amoun,0.003
amsat,0.003
an,0.072
anak,0.045
anatole,0.003
andai,0.003
android,0.003
aneh,0.003
anggota,0.036
anggun,0.003
angka,0.003
angkat,0.006
animasi,0.003
anjing,0.003
ann,0.003
anni,0.003
anniv,0.012
anniversary,0.063
annou,0.003
announced,0.003
anothe,0.003
anti,0.003
any,0.006
anyone,0.003
anyways,0.003
apartemen,0.003
apink,0.26
apinks,0.012
aplikasi,0.003
apologizetohyo,0.003
appear,0.003
appereudo,0.003
april,0.015
ar,0.006
ara,0.003
arah,0.003
area,0.003
arghh,0.003
artikel,0.033
artis,0.012
asa,0.012
asap,0.003
ashar,0.003
ashmarisya,0.003
asik,0.006
ask,0.003
asked,0.009
askin,0.003
asking,0.009
asks,0.003
asli,0.006
asw,0.006
asyik,0.003
atlet,0.015
atmosp,0.003
atoms,0.003
attacked,0.003
attract,0.003
attractive,0.006
attracts,0.003
atur,0.006
audio,0.003
audisi,0.003
auh,0.003
aunya,0.003
availab,0.003
avengers,0.003
awak,0.003
awam,0.003
awas,0.003
awet,0.003
ay,0.003
ayah,0.003
ayem,0.003
ayo,0.051
ayokk,0.003
babah,0.003
babie,0.012
babying,0.003
baca,0.048
baccla,0.003
badan,0.006
badut,0.003
bagas,0.003
bagikan,0.003
bagus,0.063
bahagia,0.006
bahan,0.003
bahas,0.009
bahasa,0.006
bahu,0.006
bajing,0.024
baju,0.003
bakar,0.003
bakat,0.006
balas,0.015
ballas,0.003
balloons,0.003
balon,0.003
balsem,0.003
balur,0.006
bambam,0.003
bandel,0.003
banding,0.003
bangga,0.012
bangless,0.003
bangs,0.003
bangsa,0.003
bangun,0.015
bantu,0.003
bar,0.003
barang,0.024
bareng,0.006
basic,0.003
batal,0.224
batang,0.003
batas,0.003
bawa,0.012
bayang,0.024
bayangkan,0.003
bayar,0.006
bayi,0.021
bbang,0.003
bblur,0.003
bcos,0.003
bcs,0.006
beaten,0.003
beats,0.003
beban,0.003
bec,0.003
became,0.003
beco,0.003
becomes,0.003
beda,0.024
behh,0.003
behind,0.006
belanja,0.006
beli,0.018
belle,0.003
beludru,0.033
benci,0.009
bentar,0.003
bentrok,0.003
beranda,0.009
berangkat,0.003
berani,0.009
berat,0.006
berhenti,0.021
berita,0.024
berkarnya,0.003
berkat,0.006
berkumpul,0.003
bersih,0.012
besok,0.009
besties,0.006
beting,0.003
between,0.018
beyond,0.003
biadab,0.006
biarkan,0.003
bias,0.006
biaya,0.003
bicara,0.012
bijaksana,0.009
bilang,0.012
bingung,0.003
bintang,0.006
bir,0.003
biru,0.003
bis,0.006
bisnis,0.003
blam,0.003
blasting,0.003
blocking,0.003
blow,0.003
bodoh,0.012
bohong,0.006
bom,0.069
bomo,0.003
boneka,0.003
booked,0.003
bops,0.003
bora,0.003
both,0.009
bounces,0.003
boyfriend,0.003
boys,0.009
braincell,0.003
brave,0.003
breathe,0.003
bright,0.003
broadcasted,0.003
broadcasting,0.003
broadway,0.003
bros,0.009
brothers,0.006
brushing,0.003
bside,0.003
btch,0.003
btob,0.003
bub,0.003
buka,0.03
buku,0.018
bulat,0.003
bullying,0.003
bumi,0.003
bunda,0.006
bungkus,0.003
buntu,0.006
bunuh,0.003
buru,0.003
buruk,0.009
burung,0.003
buta,0.003
butuh,0.027
byeolir,0.003
byulkongyongkong,0.003
cafes,0.006
cahaya,0.012
cakap,0.003
called,0.006
cam,0.003
camping,0.003
candid,0.009
cantik,0.063
cao,0.003
caokeun,0.006
cari,0.012
carnival,0.039
carpool,0.003
catat,0.003
caugh,0.003
caught,0.003
celah,0.003
celaka,0.003
celana,0.003
celeb,0.003
celebrate,0.003
celebs,0.003
cemas,0.006
cemburu,0.009
cemil,0.021
cenderung,0.003
ceo,0.003
cepat,0.006
cerah,0.015
ceria,0.003
cerita,0.012
cetera,0.015
cewek,0.003
cf,0.006
ch,0.003
chanel,0.003
changes,0.003
changsub,0.003
charging,0.003
charts,0.003
chatroom,0.003
cheating,0.003
cheekies,0.003
cheok,0.003
cheongju,0.003
chic,0.003
chicago,0.018
chicagow,0.003
chinese,0.003
chobom,0.003
choi,0.006
choo,0.006
choreo,0.003
chorng,0.003
chorong,0.125
christ,0.003
chu,0.006
ciduk,0.006
cie,0.006
cincin,0.009
cinta,0.096
cita,0.006
cium,0.003
claire,0.003
classy,0.003
clearly,0.003
closest,0.003
closing,0.003
clowns,0.003
clubh,0.003
cmon,0.003
coba,0.036
cocok,0.006
coex,0.009
coklat,0.009
colega,0.003
collab,0.012
collaboration,0.006
comeb,0.003
comeback,0.069
comenack,0.003
comes,0.009
comfortable,0.003
commented,0.003
complete,0.003
concept,0.012
concepts,0.009
congratulating,0.003
considered,0.003
contain,0.003
contains,0.003
contek,0.003
contoh,0.003
copied,0.003
corona,0.006
cou,0.003
couples,0.006
cowok,0.003
crackhead,0.003
crea,0.003
criteria,0.003
crumbs,0.006
crystals,0.003
cuaca,0.006
cucumber,0.003
culik,0.003
curah,0.003
curhat,0.009
curiga,0.003
curious,0.003
curiousity,0.003
currently,0.003
cus,0.003
customized,0.003
cutely,0.003
cuteness,0.006
cutest,0.006
cuties,0.003
dadak,0.009
daerah,0.003
daftar,0.009
dakjal,0.003
dalagang,0.003
damagenya,0.003
dampak,0.003
dancing,0.003
dangdut,0.003
dapur,0.006
daritadi,0.003
dasar,0.006
dasawarsa,0.003
dating,0.006
daughters,0.003
daum,0.006
daun,0.009
days,0.024
deadass,0.003
deadline,0.003
dearest,0.003
debut,0.015
decora,0.003
decorated,0.003
dedikasi,0.003
definitely,0.003
deh,0.015
demo,0.003
dengar,0.009
denim,0.003
depending,0.003
desain,0.006
described,0.003
designs,0.003
destroy,0.003
detailed,0.003
detik,0.006
devices,0.003
dewasa,0.003
diajari,0.003
diam,0.015
dibadutin,0.003
dibegitukan,0.006
dibenerin,0.003
did,0.027
didik,0.003
didn,0.006
didnt,0.006
diet,0.003
dikangenin,0.003
dikit,0.003
diluar,0.003
dimana,0.012
dinotice,0.003
dinyanyikan,0.003
dior,0.003
directo,0.003
disappears,0.003
discussed,0.003
discussing,0.006
discussions,0.003
diskon,0.003
diskusi,0.003
disney,0.003
displays,0.003
distributor,0.003
disuguhin,0.003
ditanyain,0.003
ditekunin,0.003
ditemenin,0.003
diva,0.003
diwakilin,0.003
dj,0.003
dle,0.003
doa,0.018
does,0.009
doesn,0.003
doesnt,0.009
dogs,0.006
doing,0.021
dokter,0.009
dokumenter,0.003
dolar,0.003
doljanchi,0.006
dominated,0.003
dongzz,0.003
dorm,0.003
dosen,0.009
doswal,0.006
downloading,0.003
doyoung,0.003
dp,0.003
drakorid,0.003
drama,0.021
dress,0.006
dressed,0.003
dressing,0.003
drives,0.003
drunk,0.006
dualitas,0.003
duduk,0.012
duet,0.006
duga,0.003
dukung,0.012
dumhdurum,0.009
dunia,0.018
during,0.009
dyra,0.003
each,0.009
eachother,0.003
ebiet,0.003
editing,0.003
eh,0.015
either,0.003
ej,0.003
ekor,0.003
ekspektasi,0.003
ekspresi,0.003
ektek,0.006
elite,0.003
elizabeth,0.003
embak,0.003
emo,0.003
emoji,0.003
emojis,0.003
emosional,0.003
energi,0.009
energizer,0.003
england,0.003
english,0.003
enough,0.009
entering,0.006
eobteon,0.003
epik,0.003
episode,0.039
er,0.003
era,0.006
es,0.003
esp,0.003
estetika,0.003
et,0.015
etika,0.003
eunbyul,0.003
eung,0.006
eunhyuk,0.003
eunji,0.197
eunjis,0.009
eunrong,0.012
events,0.009
every,0.027
everyones,0.003
everytime,0.009
everywhere,0.003
except,0.003
exid,0.006
exo,0.003
expressions,0.003
eyed,0.003
fairies,0.003
fakta,0.009
falls,0.003
fancafe,0.006
fandom,0.012
fanmeeting,0.003
fansong,0.006
fantastic,0.003
fast,0.009
fave,0.003
favorit,0.015
featured,0.003
february,0.003
feelin,0.003
feelings,0.003
felix,0.003
feral,0.006
fiksi,0.003
filled,0.003
film,0.021
filmed,0.003
filming,0.006
fine,0.012
fingers,0.003
firetruck,0.003
fisika,0.006
fit,0.003
fitnah,0.006
fitur,0.006
five,0.006
flies,0.003
florida,0.003
flower,0.003
flyers,0.003
focusing,0.003
following,0.003
foto,0.021
fought,0.003
fow,0.003
fr,0.009
freaking,0.003
freckles,0.003
fren,0.003
freshmen,0.003
friends,0.015
fruits,0.003
functioning,0.003
funniest,0.006
fy,0.003
gabung,0.009
gadis,0.113
gagah,0.003
gagal,0.006
gagi,0.003
gained,0.003
gairah,0.006
gais,0.003
gaji,0.003
gambar,0.003
gandeng,0.003
ganggu,0.006
ganging,0.003
gantung,0.003
gara,0.009
garis,0.009
gaskeun,0.003
gathered,0.003
gave,0.009
gaya,0.003
gayo,0.003
gc,0.003
geger,0.003
gelombang,0.012
gemar,0.018
gemas,0.003
gembira,0.012
gen,0.015
generasi,0.078
gerak,0.003
gerobak,0.003
gets,0.006
getting,0.018
gfriend,0.006
ghos,0.003
giat,0.003
gif,0.003
gigit,0.006
gila,0.015
gilir,0.018
gima,0.003
girang,0.003
girlgroup,0.003
girlgroups,0.003
giveaway,0.003
givenchy,0.003
gives,0.003
gladly,0.003
glamorous,0.003
glob,0.003
global,0.006
globally,0.003
gmeet,0.003
gmt,0.003
goda,0.021
godess,0.003
goes,0.015
goodnight,0.003
goon,0.003
gores,0.009
gosip,0.003
grammy,0.003
gratis,0.018
greeted,0.003
greetings,0.003
grew,0.003
grid,0.003
grida,0.003
groups,0.021
grown,0.003
gudang,0.003
guesting,0.003
guests,0.003
gumana,0.003
guru,0.006
habis,0.024
hack,0.003
had,0.03
hadiah,0.009
haduh,0.006
haechan,0.003
haena,0.003
hahahahahaha,0.003
hahahahahahah,0.003
hahahahahahahahaha,0.003
hahahahahahahahahaha,0.003
hairstyle,0.003
hak,0.003
hancur,0.003
hani,0.012
happens,0.003
hapus,0.009
harap,0.036
hardwork,0.003
hardworking,0.003
harepan,0.003
harfiah,0.006
harga,0.018
harmonization,0.003
harpa,0.003
hart,0.024
harta,0.006
has,0.066
hashtag,0.003
hasil,0.012
hates,0.003
hati,0.027
hauz,0.003
hayoung,0.012
hayoungs,0.003
hd,0.006
headband,0.003
hebat,0.024
heboh,0.003
hee,0.006
heehee,0.003
heejin,0.003
helikopter,0.003
helped,0.003
hembus,0.003
henti,0.003
hera,0.003
heres,0.003
hewan,0.003
hiatus,0.009
hibur,0.012
hidup,0.027
highlight,0.009
highly,0.003
hikmat,0.003
hilang,0.006
himpun,0.003
his,0.006
hitam,0.012
hng,0.003
ho,0.012
holler,0.003
hoobae,0.003
hoon,0.003
hormon,0.003
hours,0.003
hskhskhsk,0.009
htt,0.003
https,0.006
hubung,0.009
hubungan,0.006
hujan,0.009
humang,0.003
hunts,0.003
hwang,0.015
hyelin,0.003
hyerim,0.003
hyo,0.006
hyori,0.003
hyoyeon,0.012
