term,weight
abot,0.005
abu,0.011
acaratuh,0.005
acu,0.011
adek,0.005
adekku,0.005
adistri,0.005
admin,0.011
aduh,0.032
agenda,0.005
ah,0.032
ahli,0.005
ajak,0.027
ajar,0.027
aji,0.011
akakakk,0.005
akhlak,0.005
akir,0.005
akirnya,0.011
akun,0.005
akusih,0.005
ala,0.005
alas,0.005
alasan,0.005
alek,0.005
alem,0.005
alergi,0.005
alfamart,0.016
alfin,0.005
ali,0.005
alias,0.005
alih,0.011
allahuakbar,0.005
alur,0.005
alvin,0.005
amaat,0.005
aman,0.005
amay,0.005
amayy,0.011
amazed,0.005
ambarukmo,0.027
ambil,0.005
ambis,0.005
amin,0.011
an,0.027
anak,0.054
analog,0.005
andin,0.005
aneh,0.005
aneka,0.005
anggur,0.005
angin,0.021
angkat,0.005
anniv,0.005
annyeong,0.005
antem,0.005
anti,0.011
apashi,0.005
apazi,0.005
api,0.005
apps,0.005
aqila,0.005
arah,0.005
ardhito,0.005
ari,0.005
arsya,0.005
artis,0.005
asep,0.005
asin,0.005
asing,0.005
asli,0.016
aslik,0.011
assalamualaikum,0.005
astaga,0.011
astagfirullah,0.032
astoge,0.005
astronot,0.005
atiati,0.005
aurel,0.005
awas,0.005
awaw,0.005
awet,0.005
ayam,0.021
ayo,0.161
ayokk,0.005
ayolah,0.005
ayunda,0.005
babak,0.005
babu,0.005
baca,0.038
badminton,0.005
badut,0.005
bagus,0.011
bahagia,0.021
bahas,0.011
bahasa,0.005
baikbaik,0.005
baju,0.011
bakar,0.016
bakmi,0.005
bakpia,0.005
bal,0.005
balas,0.011
balon,0.005
ban,0.011
bandung,0.005
banget,0.027
bangga,0.005
bangkai,0.005
bangun,0.064
banguntapan,0.011
banyakbanyak,0.005
barang,0.005
bareng,0.011
baskara,0.005
basreng,0.005
batagor,0.005
batal,0.032
batin,0.011
bau,0.016
bawa,0.016
bawannya,0.005
bawel,0.011
bayang,0.005
bddy,0.005
beban,0.011
bebek,0.011
beda,0.005
begah,0.005
bekal,0.011
bekas,0.005
beku,0.005
belaga,0.005
belah,0.005
belang,0.005
beli,0.043
benam,0.016
benerbener,0.011
bentar,0.016
berani,0.005
beranta,0.011
berantakin,0.011
berat,0.005
berbuka,0.005
berjamjam,0.005
bersih,0.005
berteman,0.005
bertumpuk,0.005
besok,0.032
besoq,0.005
betee,0.005
betol,0.005
bgdd,0.005
bgn,0.005
bgtbgt,0.005
bianget,0.005
biarawati,0.011
biarkan,0.005
bibel,0.005
bilang,0.016
bima,0.005
bimbing,0.005
bing,0.005
bingung,0.043
bioskop,0.005
biru,0.005
bisabisanya,0.016
bisik,0.005
blkg,0.005
boba,0.016
boboboy,0.005
bobot,0.005
bodoamatt,0.005
bodoh,0.043
bohongg,0.005
bolong,0.011
bolos,0.005
bom,0.011
bonbin,0.016
boncengin,0.005
bornday,0.005
bosan,0.081
brengsek,0.005
buah,0.027
bubur,0.005
budak,0.027
budaya,0.011
budeg,0.005
buka,0.038
bukain,0.005
buku,0.005
bul,0.005
bumbu,0.005
bundd,0.005
bunds,0.005
bunga,0.005
bungaa,0.005
bunjuran,0.005
bur,0.005
buru,0.005
butuh,0.027
bxq,0.005
cahaya,0.005
calais,0.011
camil,0.005
campur,0.005
candid,0.054
candu,0.005
cantik,0.021
cantique,0.005
capaniy,0.005
cape,0.011
carbonara,0.005
cari,0.011
cause,0.005
cc,0.005
cedi,0.011
cemangat,0.005
cemil,0.247
cepat,0.086
ceramah,0.005
cerita,0.027
cha,0.021
chacha,0.016
chava,0.005
cicil,0.005
cilok,0.027
cinta,0.064
cintaa,0.005
cium,0.011
ck,0.011
cloy,0.027
coba,0.021
cokelat,0.005
coking,0.005
coklat,0.005
comes,0.005
conversations,0.005
copotin,0.005
corona,0.005
cowok,0.011
cpk,0.005
cubingid,0.005
cui,0.011
curhat,0.005
cusla,0.005
cutie,0.011
cuy,0.027
cyg,0.005
daftar,0.005
dahlaa,0.005
damar,0.005
dapatnya,0.005
darah,0.005
daritadi,0.005
dartingg,0.005
dating,0.005
