term,weight
ab,0.009
aba,0.003
abu,0.003
ac,0.003
acak,0.006
acara,0.006
aceh,0.003
achilles,0.003
acuh,0.003
adab,0.003
adams,0.003
adat,0.006
adegan,0.006
adi,0.006
adidas,0.006
adil,0.009
adipure,0.003
adira,0.003
admin,0.163
aduh,0.006
adults,0.003
advislab,0.006
africa,0.003
against,0.003
agam,0.003
agama,0.033
agressive,0.003
agung,0.003
agus,0.006
agustus,0.003
ah,0.015
ahli,0.015
ahok,0.012
ahy,0.003
aib,0.003
aibon,0.003
airborne,0.003
airmata,0.003
ajaib,0.003
ajak,0.015
ajar,0.051
aji,0.006
aju,0.006
akademis,0.003
akh,0.003
akhirat,0.006
akibat,0.009
akses,0.006
aksesorisnya,0.003
aksi,0.006
aktif,0.003
aktivis,0.009
akulturasi,0.003
akun,0.033
akung,0.003
al,0.018
alaikum,0.003
alam,0.006
alamat,0.003
alami,0.003
alas,0.015
alasan,0.003
alat,0.015
alex,0.003
alhamdulillah,0.003
alir,0.003
alla,0.006
allaahummaghfirlahu,0.003
allah,0.003
almarhum,0.006
almarhumah,0.003
alot,0.003
alpa,0.003
alternatif,0.003
altobelli,0.006
alumunium,0.003
alus,0.003
alyssa,0.003
amal,0.003
aman,0.009
ambil,0.018
amel,0.003
ameri,0.003
amin,0.012
ampela,0.003
ampuh,0.003
amrik,0.003
an,0.018
anak,0.142
analog,0.003
anatomi,0.003
ancam,0.006
andai,0.009
andersen,0.003
andr,0.003
andy,0.003
aneh,0.009
angelo,0.003
anggap,0.015
anggar,0.006
anggota,0.006
anggur,0.012
angin,0.003
angka,0.009
angkasa,0.003
angkat,0.006
angkring,0.003
angkutan,0.003
anies,0.015
anjingin,0.003
antena,0.003
antre,0.012
anwar,0.003
aparat,0.003
apartemen,0.003
apd,0.003
api,0.009
apik,0.006
aplikasi,0.003
apotek,0.003
approachable,0.003
apps,0.003
april,0.003
aqidahnya,0.003
arab,0.006
arah,0.006
archi,0.003
area,0.024
aren,0.003
ariston,0.003
arsitek,0.003
artavia,0.003
artis,0.006
arumbia,0.006
aruna,0.003
asi,0.006
asia,0.006
asih,0.009
asked,0.003
asli,0.021
asline,0.003
assalamu,0.003
assalamualaikum,0.003
astaghfirullah,0.003
astaghfirullahaladzim,0.003
asyik,0.003
atambua,0.003
atep,0.006
atiqah,0.003
atlet,0.006
atm,0.009
atur,0.003
audit,0.003
auditor,0.003
austria,0.003
autodebet,0.003
avengers,0.003
awam,0.003
awas,0.006
awat,0.006
awokawkwoako,0.003
ayah,0.006
ayahanda,0.003
ayam,0.012
ayo,0.027
ba,0.003
babyboomers,0.003
baca,0.048
badan,0.003
badar,0.003
bagaim,0.003
bagikan,0.012
bagus,0.06
bahagia,0.024
bahan,0.006
bahas,0.006
bahasa,0.009
bahaya,0.009
bahu,0.006
baja,0.003
bajar,0.006
bajer,0.006
bajing,0.009
baju,0.006
bakar,0.003
bakat,0.009
bakso,0.006
bal,0.012
balado,0.006
balap,0.009
balas,0.021
balikin,0.003
bambang,0.003
bandar,0.003
bandara,0.006
bande,0.003
bandung,0.009
bangga,0.012
bangkrut,0.003
bangsa,0.006
bangun,0.015
banh,0.003
banjir,0.009
bank,0.018
banking,0.003
bankir,0.003
bantu,0.054
bantuu,0.003
banya,0.003
bar,0.003
barang,0.012
barangkali,0.003
barat,0.003
barcelona,0.003
bareng,0.003
baring,0.003
baris,0.003
barista,0.006
basah,0.003
basarnas,0.003
basuki,0.003
baswedan,0.003
batal,0.208
batam,0.003
batas,0.015
batik,0.003
batu,0.003
batubara,0.003
bau,0.003
bawa,0.039
bayang,0.003
bayar,0.018
bayern,0.003
bayi,0.009
bdsm,0.003
bebas,0.009
becak,0.003
becks,0.003
beda,0.039
begged,0.003
bego,0.003
bekal,0.003
bekas,0.036
beken,0.003
bel,0.003
bela,0.012
belaga,0.006
belah,0.006
beli,0.048
beliau,0.015
benah,0.003
benarkan,0.003
bencana,0.009
benci,0.015
benda,0.003
bendera,0.006
bendrat,0.003
bengkel,0.003
bensu,0.006
bentang,0.003
bentol,0.003
bentuk,0.018
bentur,0.003
ber,0.003
berak,0.003
beranda,0.003
berani,0.003
berar,0.003
berat,0.012
berh,0.003
berhenti,0.012
beril,0.003
berisik,0.003
berita,0.018
berjar,0.003
berk,0.003
berkah,0.009
berkarirnya,0.003
berlebi,0.003
berpikir,0.003
bersih,0.009
bersihin,0.003
berwudhulah,0.003
besok,0.018
beterai,0.003
bhinneka,0.003
bi,0.006
biadab,0.006
biat,0.003
biaya,0.012
bicara,0.018
bidang,0.003
biden,0.003
bigotry,0.003
bii,0.003
bijak,0.012
bilang,0.036
biner,0.003
bintang,0.003
bintara,0.003
bintaro,0.003
biologis,0.003
bioskop,0.003
bis,0.021
bisik,0.003
bismillah,0.006
bisnis,0.003
bj,0.003
blangsak,0.003
blender,0.003
blkgn,0.003
bocor,0.003
bodoh,0.03
boga,0.003
bohong,0.006
bohongin,0.003
bojonegoro,0.003
bola,0.006
bom,0.012
bon,0.003
boncos,0.003
bongkar,0.003
bonus,0.003
bookasitick,0.003
borong,0.003
borussia,0.003
bos,0.006
bot,0.003
boyfriends,0.003
bpjs,0.006
bpkb,0.006
british,0.006
bruh,0.003
bryant,0.006
bsd,0.003
bua,0.003
buah,0.036
buang,0.003
bubut,0.003
budaya,0.006
budgeted,0.003
budi,0.003
buk,0.009
buka,0.045
bukti,0.021
buku,0.015
bule,0.003
bumbu,0.006
bumi,0.012
bumn,0.006
bunuh,0.009
bupati,0.003
burjo,0.003
buru,0.006
buruh,0.003
buruk,0.006
busi,0.006
businesses,0.003
busuk,0.003
butuh,0.036
buund,0.003
buzzerrp,0.003
cabang,0.003
caci,0.006
cadar,0.003
cahaya,0.091
cair,0.003
cakap,0.003
cakep,0.003
cakue,0.003
calon,0.015
cam,0.003
camer,0.003
campazzo,0.003
campur,0.003
candid,0.012
cangkir,0.003
canteng,0.003
cantik,0.003
capai,0.003
capres,0.009
captions,0.003
cari,0.048
cars,0.003
cas,0.003
cases,0.006
cashback,0.006
casio,0.003
catat,0.003
catur,0.003
cawapres,0.003
cc,0.021
ceban,0.003
cedera,0.009
cegah,0.003
cekat,0.003
celana,0.003
celebr,0.003
cemas,0.006
cemerlang,0.006
cemil,0.042
cen,0.006
cenayang,0.003
cenderung,0.003
cengkareng,0.003
cenung,0.003
