term,weight
acak,0.006
adekku,0.003
ademu,0.003
admin,0.015
adminnya,0.003
aduh,0.015
ah,0.036
aih,0.003
air,0.003
ajak,0.009
ajar,0.018
akademi,0.003
akmil,0.006
aktivasi,0.003
akumulasi,0.003
akun,0.042
alam,0.006
alamat,0.006
alfa,0.018
alfagift,0.006
alfamart,0.003
alhamdulillah,0.012
alloct,0.003
aman,0.009
ambil,0.009
ampuh,0.003
ampun,0.003
an,0.021
anak,0.015
andai,0.003
andrea,0.003
anggar,0.003
anggota,0.006
angkut,0.003
angpau,0.003
angus,0.003
api,0.003
aplikasi,0.009
april,0.003
aqua,0.003
arahin,0.003
arden,0.003
area,0.009
asam,0.003
asin,0.003
asli,0.009
aspek,0.003
asrama,0.003
avoskin,0.003
awet,0.003
awowkwkk,0.003
ayashahijab,0.003
ayo,0.454
baca,0.027
badai,0.003
bagan,0.003
bagikan,0.039
bagus,0.018
bahan,0.006
bahas,0.003
bahaya,0.003
bajing,0.024
baju,0.006
bakso,0.003
ban,0.003
banding,0.003
bandung,0.003
bangunin,0.003
bank,0.003
bantu,0.033
barang,0.006
barcode,0.006
basreng,0.003
batal,0.203
batas,0.033
bau,0.003
bawa,0.009
bayar,0.03
bazar,0.003
bcabbi,0.003
beda,0.012
beebeda,0.003
belaga,0.003
belah,0.006
belanja,0.048
beli,0.127
belikan,0.006
bentar,0.003
bentuk,0.003
beranda,0.006
berani,0.003
berat,0.003
berhenti,0.006
berita,0.009
berpikir,0.003
berrybenka,0.006
bersih,0.003
besok,0.009
betah,0.003
beuuhh,0.003
bha,0.003
bidang,0.003
bilang,0.009
bingung,0.003
bioskop,0.003
biru,0.003
bk,0.003
blakan,0.003
blibli,0.006
bni,0.003
bodoh,0.003
bodong,0.003
bohong,0.003
bom,0.027
bonstri,0.003
bontet,0.006
born,0.003
bosan,0.024
bot,0.003
brand,0.003
buah,0.003
buang,0.003
buka,0.012
bukalapak,0.003
bumi,0.003
bunda,0.009
burger,0.003
buru,0.018
butuh,0.021
bwrani,0.003
cahaya,0.003
cakram,0.003
calon,0.003
cari,0.012
carikan,0.003
cashback,0.039
catat,0.006
cebokk,0.003
cefatt,0.006
cemil,0.021
cepat,0.027
cepatan,0.003
cetera,0.003
cha,0.006
chatime,0.003
chemical,0.003
chrome,0.006
cilok,0.003
cincin,0.003
cinta,0.006
cipta,0.003
cium,0.006
coba,0.076
coklat,0.003
combo,0.006
concealnya,0.003
concerto,0.003
contek,0.003
cosmemurah,0.003
cosrx,0.009
cowok,0.021
cs,0.006
cuman,0.006
curiga,0.003
cv,0.006
daftar,0.009
dagang,0.006
dakjal,0.003
dal,0.003
dana,0.012
dapetnya,0.003
darimana,0.009
dasar,0.024
datadiri,0.003
deals,0.015
deh,0.036
delete,0.003
denom,0.003
des,0.003
desember,0.012
deteksi,0.003
detik,0.003
df,0.003
diam,0.003
diback,0.006
dibanner,0.003
dibayarin,0.003
diblibi,0.003
diblibli,0.003
dicombo,0.006
dijelasin,0.003
dik,0.003
dika,0.006
dikebunih,0.003
dimana,0.009
dimasuki,0.006
dipolbek,0.003
discan,0.003
disiapin,0.003
diskon,0.054
disoco,0.003
doa,0.003
doamg,0.003
doanb,0.003
dobel,0.003
dom,0.018
drama,0.006
dreng,0.003
drtadi,0.003
duga,0.003
dus,0.003
eh,0.042
ehehe,0.003
ekonomi,0.003
ekse,0.003
ekspedisi,0.003
ekspor,0.003
ekstra,0.003
em,0.009
emas,0.003
emina,0.003
emosi,0.006
enfagrow,0.003
estimasi,0.003
et,0.003
etapi,0.003
