term,weight
abadi,0.01
abit,0.005
abur,0.005
acara,0.005
aceh,0.005
acne,0.015
acuh,0.005
acuu,0.005
adat,0.01
adeknya,0.005
admin,0.015
aduh,0.005
aftershine,0.005
agama,0.015
agung,0.01
ah,0.04
ai,0.005
aihh,0.01
air,0.01
airpods,0.005
airr,0.005
ajaib,0.005
ajak,0.025
ajar,0.03
akang,0.01
akhlak,0.005
akrab,0.01
aksi,0.005
akun,0.03
akunn,0.005
alah,0.005
alarm,0.005
alas,0.005
alat,0.015
alias,0.005
alkohol,0.02
alon,0.01
alun,0.01
alus,0.005
amal,0.005
amara,0.005
ambil,0.03
ambisius,0.005
ambyar,0.005
amerika,0.005
amin,0.005
among,0.01
ampuh,0.005
ampun,0.005
an,0.015
anak,0.09
anduk,0.005
ang,0.005
anggap,0.015
anggur,0.015
angin,0.015
angkat,0.005
angkring,0.01
anjeng,0.015
anjerlah,0.005
anjerr,0.005
anjic,0.015
anjim,0.01
anjimg,0.005
anjinc,0.005
anjing,0.005
anjir,0.005
anjirt,0.005
anjrot,0.005
anonim,0.005
antem,0.01
anting,0.005
antusias,0.01
anu,0.005
anyar,0.01
anybody,0.005
anyone,0.005
apaansi,0.005
apik,0.005
apk,0.005
apresiasi,0.005
arah,0.01
ardiles,0.005
areng,0.005
arep,0.005
arepku,0.005
argumen,0.005
arief,0.005
arif,0.005
asdfghjkl,0.005
asik,0.005
asing,0.01
asli,0.005
astaghfirullah,0.005
astronot,0.005
asw,0.005
asyique,0.005
atauga,0.005
ateis,0.005
atur,0.005
awam,0.005
awas,0.015
awkwkk,0.005
awoawokawok,0.005
awokakak,0.005
awokawok,0.005
awokawokawok,0.03
aww,0.02
ayam,0.015
ayo,0.115
ayook,0.005
azab,0.005
aztec,0.005
bab,0.005
babi,0.015
bablas,0.005
baca,0.055
bacaa,0.005
bacang,0.01
badan,0.02
badut,0.025
bagikan,0.005
bagus,0.04
baguus,0.01
bahagia,0.025
bahan,0.01
bahas,0.015
bahasa,0.005
bain,0.005
bajing,0.035
baju,0.015
bak,0.01
baka,0.005
baku,0.005
bala,0.01
balas,0.045
balesnya,0.005
balikin,0.005
balon,0.005
bandara,0.005
bandingkan,0.005
bandung,0.01
bangkai,0.005
bangun,0.025
bangunin,0.005
bank,0.005
banten,0.005
bantet,0.005
bantu,0.015
banyuwangi,0.005
baperin,0.005
barang,0.01
bareng,0.005
baskom,0.005
batal,0.214
batas,0.005
batu,0.005
batubara,0.01
bawa,0.04
bawaanya,0.005
bayangkan,0.005
bayar,0.005
bayarin,0.015
bayi,0.005
bazeeng,0.005
bebas,0.015
beda,0.015
begadang,0.005
bejadnya,0.005
bekel,0.005
bel,0.005
bela,0.005
belaga,0.005
belah,0.005
belajar,0.005
beli,0.055
belikan,0.005
belle,0.005
belok,0.01
bem,0.015
benam,0.005
benci,0.01
benculuk,0.005
bengekk,0.01
bengeut,0.005
bengong,0.005
bensin,0.005
bensu,0.005
bentar,0.005
bentuk,0.01
benul,0.005
berak,0.005
beranda,0.01
berani,0.01
berat,0.005
bercandain,0.005
bercandainnya,0.005
berfikir,0.005
beringas,0.005
berita,0.005
beritahu,0.005
berkat,0.005
berpikir,0.01
besok,0.02
bestie,0.005
betadin,0.005
betah,0.005
betapa,0.005
bhakk,0.005
bi,0.005
biadab,0.035
bias,0.005
bibir,0.005
bicara,0.035
bidan,0.01
bihun,0.005
bijak,0.01
bikin,0.005
bilang,0.07
bilin,0.005
bingung,0.015
bioskop,0.005
biru,0.005
biruu,0.005
bis,0.005
bisnis,0.005
bitnyi,0.005
bjir,0.02
bleaching,0.005
blincung,0.005
blubuk,0.015
bo,0.005
boci,0.005
bodoh,0.09
bohong,0.01
bojo,0.01
bola,0.005
bolak,0.005
boleeh,0.005
boneng,0.005
bongkar,0.005
boros,0.01
bos,0.01
bosan,0.01
bosqu,0.005
bot,0.01
botol,0.005
boyfriend,0.005
brazel,0.005
brazell,0.005
brengsek,0.005
brjmur,0.005
bronzer,0.005
broww,0.005
btpn,0.005
buah,0.025
buang,0.04
bubuk,0.005
budak,0.005
budeh,0.005
buffering,0.005
buger,0.005
buka,0.07
bukber,0.005
bukti,0.005
bulek,0.01
bulkstore,0.005
bumi,0.01
bunda,0.005
bundir,0.005
bunga,0.02
bungkus,0.01
buntut,0.005
bunuh,0.005
burit,0.005
buruk,0.005
burung,0.01
busa,0.005
buseh,0.005
buset,0.01
busuk,0.005
butuh,0.025
cahaya,0.025
calming,0.01
camping,0.005
campur,0.01
canda,0.04
cantik,0.015
canva,0.005
capitalism,0.005
cari,0.08
carikan,0.005
ceban,0.005
cedih,0.005
cemas,0.005
cemburu,0.005
cemil,0.04
cenderung,0.005
ceng,0.005
centil,0.005
ceo,0.005
cepat,0.035
cepirit,0.005
cerca,0.005
cerewet,0.015
ceri,0.005
cerita,0.02
churos,0.005
ciledug,0.005
cilembu,0.005
cinta,0.095
cinte,0.005
cipta,0.01
ciptaker,0.005
cita,0.005
ciu,0.005
clubhouse,0.005
clueless,0.005
cmiwiw,0.005
coba,0.04
cobid,0.005
cocok,0.025
coi,0.005
contoh,0.005
corona,0.03
couplenya,0.005
cozy,0.005
croco,0.01
crushku,0.005
cuba,0.005
cuci,0.005
cudung,0.005
cupang,0.005
curang,0.005
cuuw,0.005
daan,0.005
dadi,0.005
daftar,0.01
dagang,0.005
dah,0.01
daki,0.005
damai,0.01
damar,0.005
damping,0.01
danilla,0.005
darat,0.005
darimana,0.005
darisitu,0.005
daritadi,0.01
dasar,0.03
datar,0.005
deadline,0.01
dedikasi,0.005
deeptalk,0.005
deh,0.09
demo,0.005
demokrat,0.005
dendam,0.01
deng,0.01
dengar,0.015
derm,0.005
dermatix,0.005
desa,0.005
desember,0.005
deskripsi,0.005
dewasa,0.01
dewe,0.005
dhita,0.005
diabisin,0.005
diam,0.025
diapus,0.005
dibalikin,0.005
dibanggakan,0.005
dibegitukan,0.005
didengarkan,0.005
didenger,0.005
didnt,0.005
difollback,0.005
digiding,0.005
diging,0.005
dih,0.005
dikasihanin,0.005
dikatai,0.01
dikerjain,0.005
diketawain,0.005
dikirimin,0.015
dikit,0.025
dikumpulin,0.005
dilapisin,0.005
dimana,0.005
dimintain,0.005
dinda,0.005
dingiding,0.005
dingin,0.01
dino,0.005
diomongin,0.005
dipakai,0.005
dipakeny,0.005
dirahasiain,0.005
direndahin,0.005
dirugiin,0.005
dislepet,0.005
disuka,0.005
djawatan,0.005
dmnya,0.005
dms,0.005
doa,0.005
doesn,0.005
doesnt,0.005
dolan,0.005
dom,0.005
domestik,0.015
domgk,0.005
dompet,0.005
donasi,0.005
donat,0.005
donee,0.005
dongeng,0.005
dorong,0.005
dosa,0.025
dosen,0.03
drama,0.005
dsitu,0.005
duduk,0.005
duga,0.005
duid,0.005
duka,0.015
dukuh,0.005
duluan,0.015
dunia,0.005
durian,0.005
edit,0.005
editin,0.01
ee,0.005
ego,0.005
eh,0.085
ehe,0.005
ekofeminisme,0.005
ekspektasi,0.005
emotionally,0.005
encer,0.005
engap,0.005
enough,0.005
enrique,0.005
epik,0.005
erti,0.005
es,0.01
esok,0.005
estetik,0.005
estimasi,0.005
faceswap,0.005
fakultas,0.005
fandom,0.005
fast,0.005
feby,0.005
fecho,0.005
feminim,0.005
feminisme,0.005
filipina,0.005
film,0.005
filsafat,0.005
filsuf,0.005
fiuhh,0.01
flatboy,0.005
fokus,0.005
font,0.01
foto,0.05
fuckboi,0.005
fujifilm,0.005
fungsi,0.005
fw,0.005
fyp,0.005
gaak,0.005
gabung,0.005
gacocok,0.005
gacukupp,0.005
gadibales,0.005
gadis,0.015
gais,0.005
gakyaa,0.005
gambar,0.015
gandhi,0.005
gangerti,0.005
ganggu,0.005
ganja,0.005
ganti,0.025
gantung,0.015
gapinter,0.005
gara,0.05
gaseru,0.005
gaseruu,0.005
gasopan,0.005
gatal,0.01
gblek,0.01
gc,0.005
gedang,0.005
gedung,0.005
geernya,0.005
geez,0.005
gel,0.01
gelap,0.015
gelisah,0.005
gem,0.005
gemas,0.025
gembok,0.005
gems,0.005
gemuruh,0.005
geprek,0.005
gerak,0.005
gesek,0.005
getar,0.005
getting,0.005
ghandi,0.005
giat,0.005
giding,0.005
gik,0.005
gila,0.02
gilang,0.01
gilir,0.015
gipewey,0.005
giveaway,0.005
goals,0.005
gocek,0.005
goceng,0.005
gofood,0.005
goldplay,0.005
goler,0.005
golong,0.005
golpu,0.005
gondrong,0.005
gopay,0.015
gopek,0.005
goreng,0.005
gosok,0.005
gowa,0.005
graha,0.005
gratis,0.01
greget,0.005
gregetan,0.01
grup,0.01
gubernur,0.005
gumush,0.005
gundah,0.005
gunting,0.005
gunung,0.02
guoblog,0.005
gurih,0.005
gusti,0.005
guyss,0.005
habis,0.08
habluminal,0.005
hadir,0.005
haduh,0.01
hahahhaha,0.005
hajar,0.005
hak,0.005
halang,0.01
haloo,0.005
halusinasi,0.01
hamdalah,0.005
hanabira,0.005
hancur,0.065
hantam,0.005
hanthu,0.005
hantu,0.025
hapus,0.005
haram,0.005
harama,0.005
harap,0.005
harga,0.015
harmonika,0.005
harta,0.01
hasil,0.03
hati,0.075
hatomugi,0.005
hauw,0.005
hayoo,0.005
hayuk,0.015
hayuklahh,0.005
hayuuk,0.005
hebat,0.01
hehehehe,0.005
heinlein,0.005
heist,0.01
hendraa,0.005
heran,0.01
heres,0.005
herman,0.005
hernndez,0.005
hewan,0.005
hidup,0.055
hijau,0.01
hilang,0.025
hilih,0.005
himpun,0.01
hina,0.005
hopefully,0.005
hormat,0.015
hotel,0.005
hrd,0.005
hua,0.005
huaahaha,0.005
huahahaha,0.005
hubung,0.015
hubungan,0.005
hujan,0.02
hujat,0.005
huwa,0.005
hz,0.005
iblis,0.025
ibukota,0.005
idola,0.01
ih,0.035
ihiy,0.01
iji,0.005
ikan,0.01
ikhlas,0.005
ikin,0.005
ikuti,0.005
ilang,0.005
ilham,0.005
ilmiah,0.005
ilmu,0.005
ilness,0.005
imarta,0.005
imasta,0.005
imir,0.005
impi,0.01
imut,0.005
inap,0.005
indah,0.01
indonesia,0.01
informasi,0.005
inimah,0.005
inisiatip,0.005
insekskyur,0.005
insekyur,0.005
instan,0.005
instastory,0.01
insyinyur,0.005
interupsi,0.005
introvert,0.005
irwan,0.01
ish,0.01
isi,0.025
isilop,0.01
iso,0.005
istimewa,0.005
istirahat,0.005
istri,0.01
ive,0.005
iya,0.459
jadikan,0.005
jaduu,0.005
jaga,0.005
jagal,0.005
jahat,0.03
jail,0.005
jajan,0.005
jakandor,0.005
jakarta,0.015
jalan,0.045
jalur,0.005
jamet,0.005
janji,0.01
jantan,0.005
januari,0.005
japanese,0.005
jarak,0.005
jarang,0.015
jari,0.005
jarjit,0.005
jas,0.005
jasa,0.005
jatinangor,0.005
jatuh,0.02
jawa,0.005
jbjb,0.01
jebak,0.005
jelasin,0.005
jelek,0.02
jemput,0.005
jenis,0.01
jepret,0.005
jernih,0.005
jf,0.005
jiakh,0.005
jijik,0.01
jilat,0.005
jiwa,0.005
jodoh,0.01
jokes,0.01
joki,0.005
jokowi,0.005
jorok,0.005
jual,0.035
jualin,0.005
juang,0.005
jujur,0.005
julid,0.005
jumat,0.005
junet,0.01
jurig,0.005
