term,weight
aa,0.007
abdullah,0.003
able,0.014
absolut,0.003
abu,0.003
ac,0.003
acad,0.003
acak,0.003
accomplishme,0.003
aci,0.007
actions,0.007
acu,0.003
adaptasi,0.003
adegan,0.007
adi,0.003
adil,0.003
adira,0.003
admin,0.049
adnan,0.003
adopsi,0.007
aduh,0.01
aduk,0.01
adus,0.003
agama,0.003
agensi,0.003
ah,0.003
ahli,0.003
ahmad,0.003
ai,0.003
aib,0.003
ain,0.003
air,0.003
airmata,0.003
ajaib,0.007
ajar,0.101
aju,0.003
akal,0.003
akhlq,0.003
akibat,0.007
akses,0.007
aktivitas,0.01
akun,0.007
al,0.035
ala,0.003
alaihi,0.003
alaikum,0.003
alam,0.017
alamat,0.003
alas,0.007
alat,0.014
alhabib,0.003
alhamdulillah,0.021
alice,0.003
aliens,0.003
alir,0.003
aliran,0.003
alla,0.01
allahs,0.003
allow,0.003
along,0.003
alright,0.003
alternatif,0.003
alur,0.003
amal,0.028
aman,0.017
ambil,0.038
ambisi,0.003
amerika,0.003
amin,0.007
ampun,0.021
an,0.049
anak,0.045
analisis,0.003
andal,0.003
andriana,0.003
aneh,0.003
anekabenang,0.003
anekakristik,0.003
angka,0.01
angsur,0.007
anime,0.003
animes,0.003
anteng,0.003
antisosial,0.007
anu,0.003
any,0.01
anyone,0.003
anytime,0.003
apatuu,0.003
api,0.003
aplikasi,0.014
appreciated,0.003
apresiasi,0.003
ar,0.003
arab,0.003
arah,0.003
arasy,0.003
area,0.003
areas,0.003
ariel,0.003
arsitek,0.003
arsjad,0.003
artikel,0.003
artis,0.007
artisn,0.003
artstyle,0.003
artsy,0.003
as,0.003
asa,0.01
asam,0.007
asbath,0.003
asdfkhkdleomeodhbeizn,0.003
asertif,0.003
asia,0.007
asik,0.01
asikk,0.003
asiknya,0.003
asing,0.003
ask,0.017
asked,0.003
asking,0.003
asli,0.007
asma,0.003
assalamu,0.003
assalamualaikum,0.003
assegaf,0.003
astaghfirullah,0.007
astii,0.003
asy,0.003
asyghil,0.003
ate,0.003
atlet,0.003
attacks,0.007
atur,0.014
australia,0.003
autentik,0.003
authors,0.003
autopilot,0.003
awaiting,0.003
awam,0.003
awareness,0.003
awas,0.003
ayah,0.01
ayam,0.007
ayat,0.003
ayo,0.084
ayunda,0.01
ayyamul,0.003
azab,0.003
azkiya,0.003
ba,0.01
baca,0.122
backbite,0.003
badai,0.007
badan,0.007
badno,0.003
bagikan,0.01
bagus,0.035
bahagia,0.021
bahan,0.017
bahas,0.007
bahasa,0.035
bakar,0.017
bakmi,0.003
bakso,0.003
bala,0.003
balas,0.01
balerina,0.003
balon,0.003
ban,0.003
banding,0.007
bandung,0.003
bangga,0.007
bangkrut,0.003
bangku,0.003
bangun,0.017
bantal,0.003
bantu,0.049
bar,0.01
barakallah,0.003
barang,0.007
barangkali,0.007
barangsiapa,0.003
baren,0.003
basah,0.003
based,0.003
basic,0.003
batal,0.112
batas,0.007
batch,0.003
bawa,0.007
bawain,0.003
bawang,0.003
bayang,0.003
bayar,0.017
bayi,0.024
bbw,0.007
beasiswa,0.003
beban,0.003
bebas,0.007
becoming,0.003
beda,0.056
begadang,0.007
beings,0.003
beka,0.003
bekal,0.003
bekas,0.003
belaga,0.003
belah,0.003
belai,0.003
belajar,0.003
belanda,0.007
belas,0.01
beli,0.035
beliau,0.014
belit,0.003
belle,0.003
belok,0.007
belongs,0.003
benang,0.007
bendahara,0.003
benderang,0.003
benih,0.007
bentuk,0.007
beranda,0.003
berani,0.014
beras,0.003
berat,0.003
bercak,0.01
berdua,0.003
berhenti,0.01
berita,0.028
berkah,0.007
berkat,0.01
bersih,0.007
berterimakasih,0.003
besok,0.021
betah,0.003
betapa,0.014
betawi,0.003
betol,0.007
beyond,0.007
bgn,0.003
biang,0.003
bias,0.003
biaya,0.007
bicara,0.017
biggest,0.003
bijaksana,0.003
bil,0.028
bilang,0.007
binatang,0.003
bingung,0.014
bintang,0.003
binti,0.003
biografi,0.003
birokrasi,0.003
biru,0.003
bismillah,0.017
bisnis,0.003
biss,0.003
biydl,0.003
blablabla,0.003
blessedramadan,0.003
blok,0.003
blong,0.003
bny,0.003
bodies,0.003
bodoh,0.01
bogor,0.003
bohong,0.003
bok,0.003
bom,0.003
bonchon,0.003
bong,0.007
bongkok,0.003
book,0.007
bosan,0.021
brand,0.007
branding,0.003
breaking,0.007
breathe,0.003
brgkt,0.003
bua,0.01
buah,0.035
buang,0.007
bubuk,0.007
bubur,0.003
buchori,0.003
budiman,0.003
buk,0.003
buka,0.028
buku,0.042
bulu,0.003
bumbu,0.003
bundel,0.003
buram,0.042
buru,0.003
buruk,0.003
buta,0.01
butuh,0.056
cabai,0.007
cacat,0.003
cahaya,0.021
called,0.003
calmer,0.003
campur,0.003
candid,0.003
cangkir,0.003
cantik,0.007
capai,0.031
capeugahwhwhhwhwhw,0.003
careers,0.003
cari,0.038
cartoons,0.003
catat,0.017
catchers,0.003
cc,0.003
cegah,0.003
cema,0.003
cemas,0.007
cemerlang,0.003
cemil,0.045
cepat,0.017
ceri,0.003
cerita,0.028
cermin,0.003
ceroboh,0.003
cetak,0.003
cetera,0.003
chae,0.003
challenges,0.007
chan,0.007
changer,0.003
charon,0.003
chef,0.01
chiko,0.007
children,0.007
chrome,0.003
cie,0.003
cik,0.003
cilok,0.01
cinderella,0.003
cinn,0.003
cinta,0.073
cireng,0.003
cita,0.01
clearly,0.003
closenes,0.003
closes,0.003
closing,0.003
clothed,0.003
coba,0.108
cocok,0.01
cocoklogi,0.003
comfortable,0.003
commands,0.003
committing,0.003
complained,0.003
complaining,0.003
confeito,0.003
congratulations,0.003
contoh,0.014
contributions,0.003
cookie,0.003
