term,weight
abai,0.01
abri,0.005
abt,0.005
abu,0.005
ac,0.005
acak,0.024
acara,0.005
acute,0.005
adaptasi,0.005
adisasmito,0.005
adjudicating,0.005
admin,0.005
aduh,0.01
agama,0.005
agatha,0.005
ah,0.01
ahli,0.014
ahmad,0.01
aib,0.005
aipon,0.005
airlangga,0.005
ajaib,0.005
ajak,0.024
ajar,0.062
ajegile,0.005
akaakkaka,0.005
akakakakak,0.005
akal,0.005
akar,0.014
akibat,0.005
akpol,0.005
akrab,0.005
akses,0.005
aksesoris,0.005
aksi,0.005
akun,0.005
al,0.01
ala,0.005
alam,0.01
alamat,0.005
alarm,0.01
alas,0.01
alat,0.005
albino,0.005
aldi,0.005
alhamdulillah,0.01
ali,0.005
alias,0.01
alice,0.005
alig,0.005
alih,0.005
aliran,0.005
aloha,0.005
alokasi,0.005
although,0.005
aman,0.005
ambik,0.005
ambil,0.014
amdih,0.005
american,0.005
amerika,0.005
amet,0.005
aminin,0.005
ampun,0.005
an,0.043
anak,0.186
anarkis,0.005
ancam,0.005
andre,0.01
aneh,0.024
ang,0.005
angan,0.01
angeles,0.005
anggap,0.005
anggar,0.005
anggota,0.005
anggur,0.01
angin,0.01
angka,0.005
angkat,0.01
angkutan,0.01
angy,0.005
animasi,0.005
anji,0.014
anjing,0.01
anlene,0.005
annoyed,0.005
antem,0.005
anti,0.019
antre,0.01
anuka,0.005
any,0.005
anya,0.005
anybody,0.005
anyone,0.014
anyways,0.01
apel,0.005
apik,0.005
aplikasi,0.005
apollon,0.005
appreciate,0.005
apresiasi,0.005
aquathesamoyed,0.005
arabic,0.005
area,0.005
aren,0.005
argumen,0.005
ari,0.01
armada,0.005
artikel,0.01
artis,0.005
arus,0.01
arwah,0.005
arya,0.005
asa,0.005
asi,0.005
asia,0.005
ask,0.005
asks,0.01
asli,0.005
aslik,0.005
assume,0.005
atlet,0.005
atm,0.01
atur,0.01
auk,0.005
auntybody,0.005
aura,0.005
avanza,0.005
ave,0.005
awan,0.014
awas,0.01
awkwkwkwk,0.005
ayah,0.005
ayem,0.005
ayo,0.071
ayunda,0.005
babes,0.005
baca,0.057
bach,0.005
backgroundnya,0.005
backsound,0.005
badan,0.01
bagikan,0.005
bagus,0.052
bahagia,0.01
bahas,0.01
bahasa,0.048
bahaya,0.005
bahu,0.01
bain,0.005
bajar,0.01
bajing,0.033
baju,0.01
bakar,0.01
balas,0.019
balu,0.005
banci,0.005
banding,0.029
bandung,0.005
bangan,0.005
bangga,0.019
bangs,0.005
bangsa,0.005
bangun,0.014
banj,0.005
bansos,0.005
banting,0.005
bantu,0.01
banya,0.005
bapack,0.01
barang,0.019
bareng,0.014
baring,0.005
bas,0.005
basa,0.01
basi,0.005
batal,0.443
batas,0.014
bathin,0.005
baths,0.005
bathub,0.005
batik,0.01
batuk,0.005
bau,0.024
bawa,0.019
bawang,0.005
bayang,0.019
bayar,0.043
bayi,0.029
bb,0.005
bbc,0.005
bcs,0.005
beans,0.005
beasiswa,0.005
beban,0.014
bebas,0.005
becak,0.005
become,0.014
beda,0.038
bedah,0.005
bedak,0.005
bedarah,0.005
begadang,0.01
beirut,0.005
bekel,0.005
bel,0.005
bela,0.005
belaga,0.029
belanja,0.005
belgium,0.005
beli,0.057
beliau,0.01
belok,0.01
bem,0.005
benang,0.005
benci,0.019
benda,0.005
bendera,0.005
bengek,0.019
bengkak,0.01
bengkel,0.005
bensu,0.01
ber,0.005
berak,0.005
beranda,0.01
berani,0.024
berat,0.014
berba,0.005
berhenti,0.038
berisik,0.01
berita,0.033
berka,0.005
berkah,0.005
berpikir,0.005
bersih,0.01
berteman,0.01
besarkn,0.005
besok,0.019
betina,0.005
between,0.01
bi,0.005
biadab,0.014
biarawan,0.005
biarkan,0.01
biaya,0.01
bibir,0.005
bicara,0.043
bidang,0.014
bijak,0.005
bijaksana,0.005
bikin,0.005
bilang,0.052
bills,0.005
billy,0.005
binatang,0.01
bingung,0.01
bintit,0.005
bio,0.005
bioskop,0.005
birokrasi,0.005
biru,0.005
bis,0.005
bisik,0.005
bismillahirrahmanirrahim,0.005
bisnis,0.005
bisu,0.005
blem,0.005
blep,0.005
bmw,0.005
bodies,0.01
bodoh,0.057
bokek,0.01
bokong,0.005
bola,0.005
bom,0.024
bono,0.005
bonten,0.005
bop,0.01
bor,0.005
born,0.01
bos,0.005
bosan,0.019
boseman,0.005
both,0.005
boyfriends,0.005
boys,0.01
brainly,0.005
brand,0.005
brave,0.005
brekkie,0.005
brengsek,0.01
brian,0.005
broader,0.005
bros,0.005
browsing,0.005
bts,0.043
buah,0.029
buang,0.01
buas,0.005
buaya,0.005
bubar,0.01
bubuk,0.005
budak,0.01
budaya,0.005
buduh,0.005
bug,0.005
bugis,0.005
buk,0.005
buka,0.043
bukti,0.014
bulu,0.014
bumi,0.019
bunda,0.005
bungkus,0.005
bunuh,0.005
buram,0.005
bureng,0.005
buru,0.014
buruk,0.01
buta,0.01
butuh,0.024
cabang,0.005
cabik,0.005
cadang,0.005
cahaya,0.005
cair,0.014
called,0.014
calon,0.005
camat,0.005
campur,0.014
canda,0.01
candles,0.005
cantik,0.024
capai,0.01
cardiovascular,0.005
cari,0.038
cats,0.005
cattitude,0.005
catzilla,0.005
cause,0.005
ceba,0.005
ceker,0.005
celaka,0.019
celana,0.01
cemil,0.057
cepat,0.019
cerai,0.005
cerdas,0.01
cerita,0.024
cgv,0.005
ch,0.005
chadwick,0.005
cheddar,0.005
cheese,0.01
cheeto,0.005
children,0.005
chills,0.005
chinese,0.005
chips,0.005
chitato,0.005
chris,0.005
chubby,0.005
churros,0.005
cicil,0.005
cicip,0.005
cihanjuang,0.005
cik,0.024
cilok,0.005
cincin,0.005
cindy,0.005
cinta,0.086
ciptaane,0.005
ciptakerja,0.005
circa,0.005
cita,0.01
cium,0.005
ciyum,0.005
ck,0.005
coba,0.071
cocok,0.014
coklat,0.005
coleandmarmalade,0.005
colour,0.005
colourism,0.005
comes,0.005
comments,0.005
considered,0.005
contoh,0.005
cooker,0.005
corea,0.005
corona,0.076
coronaan,0.005
coughing,0.005
covi,0.005
creeper,0.005
creepy,0.01
cto,0.005
cuci,0.005
cucu,0.005
cukur,0.005
cullen,0.005
cultural,0.005
culun,0.005
cure,0.005
curhat,0.005
curi,0.005
cutely,0.005
cutie,0.01
cuts,0.005
cuttingnya,0.005
cvd,0.005
cyberbullied,0.005
daerah,0.01
daftar,0.019
dagang,0.005
daging,0.005
dahi,0.014
daia,0.005
daku,0.029
damai,0.005
dampak,0.005
dana,0.014
dandan,0.005
dangdut,0.005
dapetlah,0.005
darurat,0.014
dasar,0.019
daun,0.005
debat,0.005
debating,0.005
debu,0.005
decided,0.005
dedeh,0.01
deh,0.024
demo,0.01
dendam,0.005
dengar,0.048
dengernya,0.005
depok,0.005
depositoin,0.005
derita,0.005
desa,0.029
desak,0.005
detail,0.005
detik,0.005
dewasa,0.014
dhuhur,0.005
diabetes,0.01
diakhirin,0.005
diam,0.014
dibantuin,0.005
dibisikin,0.005
dibriefing,0.005
dicatat,0.005
dicuekin,0.005
did,0.01
didengarkan,0.005
didenger,0.005
didiemin,0.005
didik,0.019
didn,0.005
diet,0.014
dighosting,0.005
digital,0.01
dijelasin,0.005
dijutekin,0.005
dikasih,0.005
dikatai,0.019
diker,0.005
dikit,0.01
dikta,0.005
dil,0.005
dilema,0.01
dilemparin,0.005
dimana,0.005
dimanjain,0.005
dinamit,0.01
dingin,0.01
diniatin,0.005
diolesin,0.005
dipe,0.005
dipec,0.005
dipendekin,0.005
dipoto,0.005
diprank,0.005
dipublish,0.005
dirin,0.005
disney,0.005
ditampilin,0.005
ditaro,0.005
ditnda,0.005
diurusi,0.01
dnd,0.005
doa,0.01
dobel,0.005
does,0.005
doesnt,0.005
doing,0.01
dokter,0.057
dokumentasi,0.005
domestik,0.005
dompet,0.01
donat,0.005
dorong,0.024
dosbing,0.005
dosen,0.01
dp,0.005
dpr,0.01
drama,0.005
dramatis,0.01
dreams,0.005
dress,0.005
dude,0.005
duduk,0.014
duet,0.005
duidnya,0.005
duku,0.005
dukung,0.014
dul,0.01
duluan,0.01
dumbest,0.005
dumel,0.005
dunia,0.033
durhaka,0.01
during,0.005
durung,0.005
dyin,0.005
each,0.005
earning,0.005
easter,0.005
eater,0.005
edisi,0.005
eek,0.005
eeknya,0.005
efek,0.01
eggs,0.005
ego,0.01
eh,0.029
ehehehe,0.005
either,0.005
ekonomi,0.01
eksploitaso,0.005
el,0.005
elektronik,0.01
emansipasi,0.005
emas,0.005
embel,0.01
emosi,0.005
empang,0.005
eneg,0.005
energi,0.014
energik,0.005
enggres,0.005
engkau,0.005
english,0.01
enough,0.005
episode,0.014
erti,0.005
es,0.005
esc,0.005
estetika,0.005
estianty,0.005
eug,0.005
euphoria,0.005
evan,0.005
every,0.024
evolved,0.005
example,0.005
except,0.005
extraordinaire,0.005
eyebag,0.005
faker,0.005
fakta,0.005
fakultas,0.005
falla,0.005
fatwa,0.005
favorit,0.01
febian,0.005
fenders,0.005
fenomena,0.005
ferdian,0.005
film,0.024
finans,0.005
fine,0.01
fishies,0.01
fisik,0.005
flanel,0.005
fokus,0.01
folks,0.005
following,0.005
foolishes,0.005
foto,0.09
fpi,0.01
friends,0.005
fromto,0.005
fuckboi,0.005
fucked,0.005
fucki,0.005
funk,0.005
fyp,0.005
gabuka,0.005
gabung,0.005
gadis,0.062
gae,0.005
gaga,0.005
gagah,0.005
gagal,0.019
gairah,0.01
gaji,0.014
galak,0.014
gambar,0.005
ganggu,0.019
ganti,0.038
gantung,0.005
ganyangka,0.005
gaperlu,0.005
gara,0.014
garing,0.005
gartner,0.005
garuda,0.005
gaul,0.005
gedek,0.005
gegabah,0.005
gel,0.005
gelap,0.01
gelar,0.01
gelembung,0.005
geleuh,0.005
geli,0.01
gelisah,0.024
gemas,0.01
gembrot,0.005
gendong,0.005
gendut,0.005
geprek,0.005
gera,0.005
gertak,0.005
getaway,0.005
gets,0.005
getting,0.005
giat,0.01
gigi,0.005
gigit,0.005
gila,0.043
gilang,0.005
gim,0.005
gimane,0.01
ginuk,0.005
giring,0.005
girlfriend,0.005
gisel,0.005
giur,0.005
given,0.005
gizi,0.005
goalsku,0.005
gojek,0.005
gondrong,0.01
google,0.005
goreng,0.019
gores,0.005
gorillas,0.005
gosan,0.005
gosip,0.01
gosok,0.005
grammys,0.005
gratifikasi,0.005
gratis,0.019
gregetan,0.005
gritte,0.01
growin,0.005
grown,0.005
grup,0.014
gsc,0.005
gugup,0.01
gugur,0.005
gugus,0.005
gula,0.005
guling,0.005
gulir,0.005
gunawan,0.005
guru,0.048
gusti,0.005
gwijangge,0.005
habis,0.067
hadiah,0.005
hadirin,0.005
hafal,0.005
hahahahahahhahahahahaha,0.005
hairstylist,0.01
hak,0.019
halaman,0.019
halloween,0.01
halp,0.005
halus,0.01
hamba,0.01
hambar,0.005
hamil,0.005
hangat,0.005
hantu,0.005
happened,0.01
happens,0.005
happynewyear,0.005
happytos,0.005
harap,0.033
hardest,0.005
hardwork,0.005
harga,0.019
harimau,0.01
harmoni,0.005
harta,0.005
has,0.014
hasil,0.043
hastakarya,0.005
hati,0.057
healed,0.005
heavy,0.01
hebat,0.01
hehehehehe,0.005
heist,0.005
helicopter,0.005
helps,0.005
hemat,0.019
henlo,0.005
heran,0.005
hermione,0.005
hewan,0.01
hianat,0.005
hibur,0.005
hidup,0.114
highschool,0.005
hijau,0.005
hilang,0.043
himpun,0.005
hipertensi,0.005
his,0.01
hish,0.005
hitam,0.014
hitung,0.005
hoaks,0.005
hobi,0.005
hodob,0.005
honorer,0.005
hooman,0.014
hooray,0.005
hormat,0.019
horor,0.005
host,0.005
hotstar,0.005
https,0.01
hubung,0.038
hugs,0.005
hujan,0.01
hukum,0.01
humor,0.005
huruf,0.005
husband,0.005
huskyanuko,0.005
hyde,0.005
hydrated,0.005
hyperlapse,0.005
ibadah,0.005
iblis,0.005
ibox,0.005
ide,0.005
idealis,0.005
identitas,0.005
idiot,0.005
ielts,0.005
igno,0.005
igs,0.005
igstory,0.005
ih,0.01
ikan,0.01
iklan,0.005
ilmu,0.01
imajinasi,0.005
impressive,0.005
imut,0.01
inconvenience,0.005
indah,0.005
indeed,0.005
india,0.01
indie,0.005
indihom,0.005
indihome,0.005
indoapril,0.005
indone,0.005
indonesia,0.071
indonesian,0.005
indonesians,0.005
indos,0.005
industri,0.01
infeksi,0.005
informatif,0.005
infrared,0.01
ing,0.014
inggris,0.005
inner,0.005
insisting,0.005
instagram,0.076
installed,0.005
instansi,0.005
instastory,0.005
instead,0.014
intern,0.005
internet,0.01
investing,0.005
ipk,0.014
iri,0.01
ironis,0.005
isi,0.01
islam,0.005
isnt,0.005
issues,0.005
istana,0.01
istimewa,0.005
istirahat,0.014
istri,0.014
isu,0.005
itungannya,0.005
ive,0.005
iwak,0.005
iya,0.29
izin,0.005
jabat,0.019
jaber,0.005
jabingan,0.005
jadore,0.005
jadwal,0.005
jaga,0.01
jahat,0.014
jajan,0.024
jajang,0.005
jajangmyeon,0.005
jakarta,0.014
jalan,0.033
jaman,0.029
jamet,0.005
jamin,0.005
jamur,0.005
jantan,0.005
jarah,0.005
jarak,0.014
jarang,0.029
jargon,0.01
jaring,0.01
jasperthegoldenboy,0.005
jatah,0.005
jatuh,0.033
java,0.005
jawa,0.014
jawline,0.005
jaya,0.01
je,0.005
jedar,0.005
jejer,0.005
jekyll,0.005
jelajah,0.01
jelasin,0.005
jelek,0.01
jemput,0.005
jemur,0.005
jeng,0.01
jengkal,0.005
jenguk,0.005
jenis,0.01
jepang,0.014
jepun,0.005
jerapah,0.005
jerawat,0.005
jeruk,0.01
jijik,0.005
jik,0.005
jilbab,0.005
jimbon,0.014
jimin,0.005
jimmy,0.005
jin,0.01
jnc,0.005
jne,0.005
jodoh,0.005
jogjakartoz,0.005
jokes,0.005
jokowi,0.005
jom,0.005
jonelpojani,0.005
jong,0.005
jorok,0.014
jtv,0.005
ju,0.01
jual,0.014
jualin,0.005
juang,0.01
juara,0.005
judul,0.005
jujur,0.005
juli,0.01
jumpa,0.005
jumped,0.005
jumping,0.005
jungshook,0.005
jurnal,0.01
jurnalis,0.005
jurus,0.005
juta,0.033
kabar,0.029
kaca,0.005
kadang,0.038
kado,0.005
kahwin,0.005
kaiju,0.005
kain,0.019
kait,0.005
kakean,0.005
kaki,0.005
kalah,0.024
kalkulator,0.005
kalung,0.005
kamar,0.01
kampus,0.024
kandung,0.01
kanker,0.005
kantuk,0.01
kapal,0.005
kapok,0.01
karakter,0.01
karantina,0.005
karbol,0.005
karya,0.014
karyawan,0.005
kasih,0.029
kasir,0.005
kasta,0.019
kates,0.005
kating,0.005
kaur,0.005
kawul,0.005
kayu,0.005
kebaya,0.005
kebun,0.01
kecepetan,0.005
kecewa,0.005
kecuali,0.01
kedengaran,0.005
kedepean,0.005
kedip,0.01
keja,0.005
kejap,0.005
keju,0.01
kelas,0.019
kelemahank,0.005
kelenjar,0.005
keliling,0.005
kelilip,0.005
kelly,0.005
kelola,0.019
kelompok,0.005
kelopak,0.005
keluarga,0.038
keluh,0.005
keluyur,0.005
kemarin,0.038
kembang,0.005
kemeja,0.005
kemendikbud,0.005
