term,weight
aamah,0.011
aamiinn,0.005
aaminn,0.005
aceh,0.022
adha,0.005
admin,0.011
aduh,0.005
afra,0.005
afraa,0.005
ah,0.016
air,0.005
ajak,0.005
ajar,0.038
akun,0.005
alam,0.005
alas,0.011
alhamdulillah,0.016
alur,0.005
amaa,0.005
amel,0.005
amin,0.173
ampun,0.005
amsa,0.005
an,0.005
anak,0.022
anatomi,0.005
andry,0.005
angkat,0.005
anime,0.005
api,0.005
apis,0.005
apla,0.005
arah,0.005
arief,0.005
asik,0.011
asisten,0.005
asistol,0.005
asli,0.005
atur,0.005
aulia,0.005
avatar,0.005
avatarnya,0.005
ayah,0.011
ayam,0.005
ayo,0.038
ayook,0.005
baca,0.049
badan,0.016
bagus,0.005
baguus,0.005
bahagia,0.005
bahas,0.005
bahasa,0.022
baju,0.011
balas,0.011
balekin,0.005
banci,0.005
banda,0.011
banding,0.005
bandung,0.005
bangun,0.005
bar,0.011
barang,0.005
bareng,0.011
basah,0.005
batak,0.005
batal,0.081
batin,0.011
batman,0.005
bau,0.005
bawa,0.027
bayar,0.005
bebas,0.005
bebeell,0.005
beda,0.011
bel,0.005
belaga,0.011
belah,0.005
beli,0.005
belok,0.005
benam,0.005
benarkan,0.011
benci,0.005
bendung,0.016
bentar,0.005
bentuk,0.005
berak,0.005
beranda,0.016
berat,0.016
berhenti,0.005
berkumpul,0.005
bersih,0.005
beruang,0.005
besok,0.038
betah,0.005
beter,0.005
biarkan,0.005
biaya,0.005
bibi,0.005
bicara,0.027
bilang,0.043
biologi,0.005
birthdaay,0.032
biru,0.005
bljar,0.005
blok,0.011
bluefire,0.005
bna,0.005
bodoh,0.011
born,0.005
bosan,0.005
bpjs,0.005
brave,0.005
bright,0.005
buah,0.005
bubar,0.011
budaya,0.011
budeg,0.005
bujuk,0.005
buka,0.016
buku,0.011
bumbu,0.005
canda,0.005
canggung,0.005
cantik,0.032
capai,0.005
captionnya,0.005
cc,0.016
celat,0.005
cemil,0.043
cepat,0.022
cerai,0.005
ceramah,0.005
cerita,0.032
ciann,0.005
cie,0.016
cinta,0.032
cmk,0.005
cocok,0.005
coklat,0.005
contoh,0.005
corona,0.005
cowok,0.016
crayon,0.005
cuta,0.005
cutaa,0.005
daar,0.005
daftar,0.005
dalmi,0.005
dapa,0.005
dar,0.022
dara,0.038
daraa,0.005
darussalam,0.005
data,0.005
dduk,0.005
debat,0.011
deep,0.005
definisi,0.005
delete,0.005
delivered,0.005
dengar,0.027
dep,0.005
dera,0.005
desember,0.005
diam,0.027
dibandingin,0.005
dibilangin,0.005
diblg,0.005
did,0.005
didn,0.005
digestif,0.016
dijelasin,0.005
dikasianin,0.005
dikit,0.005
dil,0.005
dila,0.005
dilema,0.016
dimarahi,0.011
dina,0.005
dinaikin,0.005
dira,0.005
diraa,0.005
disampein,0.005
distabilo,0.005
ditakutin,0.005
ditarok,0.005
diundurin,0.005
divisi,0.011
doa,0.005
doesn,0.005
dokter,0.011
dompet,0.005
doraemon,0.005
dukung,0.005
duluan,0.005
dunia,0.022
duyung,0.011
earphone,0.005
ee,0.005
eh,0.059
ekg,0.005
eneng,0.005
enggakk,0.005
era,0.005
eri,0.016
estetik,0.005
etoeng,0.005
except,0.005
facebook,0.016
fakhrul,0.005
farah,0.016
farmako,0.011
fast,0.005
fatya,0.005
fik,0.005
fira,0.011
fitri,0.016
fk,0.011
flwbck,0.005
formal,0.005
foto,0.005
friends,0.005
fungsi,0.005
gabung,0.005
gadis,0.005
gagal,0.005
gaji,0.005
galah,0.005
gambar,0.011
gara,0.005
garam,0.005
gaul,0.005
gaya,0.005
gedek,0.005
gemar,0.065
gemas,0.011
gemulai,0.011
gen,0.005
gendut,0.011
gerobak,0.005
gertak,0.011
geser,0.005
gigi,0.005
girlfriend,0.005
git,0.016
gluck,0.005
gores,0.022
grup,0.005
guek,0.005
gumoh,0.005
gus,0.005
haai,0.005
habis,0.011
had,0.005
hahaa,0.043
hahaahha,0.005
hahahaa,0.027
hahahahaa,0.011
happens,0.011
harap,0.043
harapan,0.005
harry,0.011
hasil,0.011
hassle,0.005
hati,0.005
heboh,0.005
hellnya,0.005
hemostasis,0.005
henti,0.005
heran,0.005
hidrogen,0.005
hidup,0.011
hilang,0.011
hina,0.005
histo,0.005
histokan,0.005
hitam,0.005
hitung,0.005
hobit,0.005
homeostasis,0.011
http,0.016
huruf,0.011
icut,0.049
icuutt,0.005
ideal,0.005
idul,0.005
ih,0.005
iklan,0.005
ikot,0.011
ikt,0.011
ime,0.005
imun,0.005
imut,0.005
indah,0.005
indahh,0.005
indonesia,0.011
indra,0.005
informasi,0.005
inhal,0.005
inovatif,0.011
instagram,0.005
insya,0.011
intan,0.016
inti,0.005
intro,0.005
ira,0.022
iship,0.005
isi,0.005
isma,0.005
isn,0.011
istirahat,0.005
istri,0.005
isu,0.011
ivana,0.011
ivqzcfku,0.005
iya,0.572
jadwal,0.005
jaga,0.005
jajan,0.011
jajas,0.016
jajaskia,0.005
jalan,0.016
januari,0.005
jarang,0.005
jari,0.016
jas,0.011
jeh,0.022
jemari,0.005
jempt,0.005
jemput,0.005
jenib,0.005
jenis,0.011
jerman,0.011
jessica,0.005
jeunib,0.005
ji,0.022
jodoh,0.005
jual,0.005
juang,0.005
judul,0.005
jurassic,0.005
juta,0.005
kacamata,0.005
kadang,0.005
kado,0.005
kamar,0.016
kamis,0.005
kampus,0.005
kanan,0.005
kansmoga,0.005
kantin,0.005
kantuk,0.005
karanganyar,0.005
kardio,0.011
karma,0.005
kasar,0.005
kasih,0.011
katam,0.005
kawan,0.011
kayaknya,0.005
kbs,0.005
kecuali,0.005
kedai,0.005
keery,0.005
kejadian,0.005
kejut,0.005
kekmnla,0.005
kelas,0.027
kelinci,0.005
kelompok,0.005
keluarga,0.005
kemarin,0.011
ken,0.016
kenal,0.022
kendara,0.005
kepala,0.016
keras,0.005
keren,0.005
keri,0.011
kering,0.005
kertas,0.005
kery,0.005
keryy,0.005
kesal,0.011
ketemu,0.022
ketrampilan,0.016
kiamat,0.005
kiki,0.027
kilas,0.005
kim,0.005
kimia,0.005
kingkong,0.005
kiri,0.011
kocok,0.016
koma,0.005
komentar,0.005
konsulen,0.005
kopi,0.022
korban,0.011
kota,0.005
kotor,0.005
kp,0.005
ksmutn,0.005
kuat,0.011
kucingnyaa,0.005
kue,0.016
kujugaa,0.005
kuliah,0.005
kulit,0.022
kuping,0.016
kurus,0.005
laboratorium,0.022
laennyaa,0.005
lagu,0.005
lahir,0.016
laki,0.038
lala,0.005
lampu,0.005
lancar,0.016
landas,0.005
langkah,0.005
lantai,0.005
lapor,0.005
larang,0.005
latar,0.005
lawan,0.011
leaked,0.005
lebar,0.005
lebaran,0.011
lelah,0.011
lemah,0.011
lembu,0.005
les,0.005
li,0.011
libur,0.043
licik,0.005
liiburr,0.005
lintang,0.005
logika,0.016
lonceng,0.005
looked,0.005
lubang,0.011
lucu,0.005
lulus,0.032
luncur,0.005
lupa,0.016
lyfe,0.005
maaf,0.032
mahal,0.005
main,0.005
maina,0.016
mainaa,0.005
maksimal,0.005
malam,0.005
malas,0.005
malpraktik,0.005
malu,0.016
marimar,0.005
masak,0.022
matahari,0.005
mati,0.011
maya,0.016
mayaa,0.005
med,0.016
medan,0.005
media,0.011
mediaa,0.005
medya,0.005
mei,0.011
memakai,0.005
mena,0.005
menampak,0.005
menang,0.011
menangin,0.011
menara,0.005
mendak,0.005
