term,weight
abadi,0.003
abilitynya,0.003
abrik,0.003
acak,0.003
acara,0.027
adat,0.003
adekk,0.003
adekku,0.003
adekmu,0.003
adeknya,0.003
adil,0.003
adithya,0.003
adjusment,0.003
admin,0.13
administrasi,0.003
adrian,0.006
aduh,0.012
aerobik,0.003
agb,0.003
agenda,0.003
agrowisata,0.003
ah,0.033
ai,0.003
air,0.006
ajak,0.009
ajar,0.03
ajer,0.003
aju,0.003
ajuin,0.006
akad,0.003
akademi,0.018
akrab,0.003
akselerasi,0.003
aktivitas,0.006
akun,0.003
akurat,0.003
alaba,0.003
alamat,0.006
alami,0.003
alas,0.012
alba,0.003
alfabet,0.003
alhasil,0.006
alig,0.003
alir,0.003
aliran,0.003
alison,0.003
alisson,0.006
almamater,0.003
alokasi,0.006
alonsi,0.003
alonso,0.003
alumni,0.003
alur,0.006
aman,0.012
ambang,0.003
ambekan,0.003
ambil,0.03
amc,0.003
amel,0.003
amf,0.003
amin,0.006
aml,0.003
ampuh,0.006
ampun,0.006
an,0.024
anak,0.119
anarkis,0.003
andal,0.018
anderlecht,0.003
anfield,0.009
anggar,0.009
angin,0.003
angka,0.003
angkat,0.009
angkola,0.003
angkut,0.003
anime,0.003
anji,0.003
anlene,0.003
anmum,0.003
antan,0.006
antem,0.015
anteng,0.003
antonio,0.006
antusias,0.003
antv,0.003
aouar,0.003
api,0.003
aplikasi,0.006
appreciate,0.003
apps,0.003
aqua,0.003
arah,0.003
area,0.012
aries,0.006
arnold,0.003
aroma,0.006
aron,0.003
arp,0.009
arteta,0.003
as,0.003
asah,0.003
asam,0.003
asdosnya,0.003
aset,0.006
asik,0.009
asin,0.003
asing,0.012
asli,0.024
aspek,0.006
astaga,0.003
asyik,0.006
atensi,0.003
atik,0.003
atlet,0.003
atletico,0.003
atmosfer,0.003
attribut,0.003
atur,0.009
aula,0.003
aura,0.003
auxilia,0.003
awas,0.006
ayah,0.003
ayala,0.003
ayam,0.015
ayo,0.05
babak,0.012
babi,0.003
babik,0.003
baca,0.044
backsound,0.003
backup,0.006
bacok,0.003
badai,0.006
badan,0.009
badboy,0.003
badmood,0.003
bagikan,0.003
bagus,0.071
bagusin,0.003
bah,0.009
bahagia,0.018
bahan,0.003
bahas,0.044
bahasa,0.015
bahaya,0.018
bahh,0.003
bahu,0.009
bailey,0.003
bailly,0.003
bajeng,0.003
bajing,0.006
baju,0.003
bak,0.006
bakso,0.009
bal,0.009
balap,0.009
balas,0.009
balau,0.003
balek,0.021
balekkan,0.003
balok,0.003
bandara,0.003
bandel,0.012
banding,0.003
bandit,0.003
bangga,0.009
bangkai,0.024
bangkit,0.012
bangku,0.009
bangsa,0.006
bangun,0.027
bantu,0.033
banyuwangi,0.003
bar,0.003
bara,0.006
barang,0.006
barbar,0.003
barca,0.012
barcelona,0.003
bareng,0.024
baret,0.003
baris,0.003
basah,0.003
bata,0.003
batak,0.003
batal,0.139
batas,0.009
baterai,0.006
batere,0.003
batu,0.015
bau,0.003
bautista,0.003
bawa,0.05
bawel,0.003
bawell,0.003
bayang,0.003
bayar,0.006
bayi,0.003
bazeng,0.009
bb,0.003
beasiswa,0.003
beban,0.003
bebas,0.009
beda,0.047
bedak,0.003
begimana,0.006
bek,0.012
bela,0.018
belaga,0.003
belah,0.009
belai,0.012
belajar,0.009
belanda,0.006
belanja,0.009
belantara,0.003
beli,0.089
beliau,0.003
belik,0.003
bem,0.006
ben,0.003
benah,0.003
benam,0.003
bendera,0.003
benerer,0.003
bengkel,0.003
benih,0.003
bentar,0.018
bentuk,0.015
berani,0.003
beranta,0.003
berastagi,0.003
berat,0.003
