term,weight
aa,0.009
abai,0.003
abdulwahab,0.003
abror,0.003
acara,0.012
aceh,0.006
acok,0.003
actingnya,0.003
acuh,0.003
adek,0.003
adil,0.003
admin,0.003
adults,0.003
afiat,0.003
agh,0.015
agi,0.003
agknyo,0.003
agung,0.003
ah,0.029
aides,0.003
ajaib,0.006
ajak,0.006
ajar,0.012
ajlah,0.009
ajo,0.003
akhirny,0.003
akhirnyo,0.003
akhrny,0.003
akhrnya,0.003
akibat,0.009
aksen,0.003
aksi,0.003
aktivitas,0.006
aktualisasi,0.003
akurat,0.003
al,0.003
ala,0.05
aladdin,0.003
alalh,0.003
alami,0.003
alas,0.024
alasshalah,0.003
album,0.003
aldi,0.006
alfa,0.003
alhamdulillah,0.009
alias,0.009
aliran,0.003
amarah,0.003
amazara,0.003
amb,0.012
ambil,0.009
amin,0.009
amonia,0.003
ampun,0.003
amsih,0.003
an,0.029
anak,0.074
anaknya,0.003
analisis,0.006
andai,0.003
andal,0.003
andin,0.003
andrie,0.003
android,0.006
aneh,0.009
ang,0.003
anggap,0.006
anggota,0.003
angin,0.006
angka,0.009
angkat,0.009
animasi,0.003
anjr,0.003
anta,0.003
antalahu,0.003
antayaw,0.003
anya,0.003
anyways,0.003
aot,0.003
aplikasi,0.009
aplous,0.003
aponyo,0.003
apriell,0.003
april,0.015
apusin,0.003
aqvccm,0.003
arab,0.012
arguing,0.003
argumen,0.003
aries,0.038
arisan,0.003
arma,0.003
artamevia,0.003
artis,0.006
arus,0.003
asam,0.006
asih,0.006
asik,0.009
asin,0.009
ask,0.003
asli,0.009
asmara,0.012
astaghfirullah,0.012
atlantica,0.003
atur,0.006
auu,0.003
awak,0.009
awan,0.006
awat,0.003
awesome,0.003
awnbejbilo,0.003
ayah,0.012
ayam,0.003
ayo,0.091
ba,0.003
babies,0.003
babu,0.003
baca,0.026
badabuk,0.006
badan,0.018
baduy,0.003
baeko,0.003
baeng,0.003
bage,0.003
bagikan,0.006
bagus,0.038
bah,0.044
bahagia,0.009
bahan,0.006
bahana,0.003
bahas,0.012
bahasa,0.006
bahaya,0.006
bahh,0.003
baitu,0.003
baja,0.003
bajak,0.012
bajing,0.006
baju,0.003
bakso,0.006
balas,0.012
baleh,0.003
balikin,0.003
bamacam,0.003
bana,0.012
bandung,0.003
banget,0.006
bangga,0.006
bangun,0.026
bangunin,0.006
banjir,0.003
bantai,0.003
bantal,0.006
banting,0.003
bantu,0.009
bantul,0.003
banyakny,0.003
baok,0.003
baptis,0.003
barang,0.009
barber,0.003
baring,0.003
barti,0.012
basah,0.003
batal,0.088
batas,0.003
bathin,0.006
batik,0.003
batin,0.003
bawa,0.018
bayang,0.003
bayar,0.009
bayi,0.012
bbm,0.006
bdmd,0.003
bdoso,0.003
bears,0.003
beban,0.006
bebas,0.003
bebek,0.006
becomes,0.003
beda,0.021
bedebah,0.003
begadang,0.003
begi,0.003
begimo,0.003
bekas,0.003
beko,0.006
belaga,0.018
belah,0.003
belai,0.003
belajar,0.006
belanja,0.003
beli,0.015
beliau,0.003
benah,0.003
benang,0.003
benci,0.003
bengak,0.009
bengek,0.003
bengkak,0.003
bengkel,0.003
bengong,0.006
bentar,0.003
bentuk,0.003
bera,0.003
beranda,0.003
berani,0.003
berat,0.006
bercer,0.003
berghibah,0.003
berhenti,0.003
berhubungan,0.003
berisik,0.003
berita,0.009
berlian,0.003
bersih,0.006
bertemu,0.003
bertumpuk,0.003
berubah,0.006
besok,0.038
beting,0.009
bgaimana,0.003
bgm,0.003
bha,0.003
bhagavad,0.003
bhasanya,0.003
bhf,0.003
bia,0.003
bias,0.003
biawak,0.003
bicara,0.024
bijaksana,0.003
bilang,0.024
biman,0.006
binatang,0.006
binder,0.006
bingik,0.003
bingung,0.009
bintang,0.003
bipolar,0.003
birds,0.006
biru,0.006
bis,0.003
bisik,0.003
bismillah,0.009
bismillahirrahmanirrahim,0.006
bisnis,0.003
bkanlah,0.003
blackpink,0.003
blan,0.006
blangin,0.003
blasan,0.003
blqyzq,0.003
blueskyrabbit,0.003
blun,0.006
bmcam,0.003
bna,0.012
bnib,0.003
bnpb,0.003
bnyakny,0.003
bodoh,0.026
bohong,0.003
bola,0.012
book,0.003
boongan,0.003
bp,0.006
brand,0.003
brati,0.003
bratnya,0.003
brenti,0.003
brgkek,0.006
brharap,0.003
brhrap,0.003
brian,0.003
brisik,0.006
brmusuhan,0.003
brngkat,0.003
brpsah,0.003
bsah,0.003
bsuk,0.029
btgkek,0.006
btu,0.009
buah,0.006
buang,0.006
buaya,0.003
budak,0.003
budi,0.003
buk,0.006
buka,0.021
bukti,0.006
buku,0.012
bule,0.003
bulu,0.003
bumi,0.012
bunda,0.009
bunga,0.006
bungkus,0.003
bunnies,0.003
buruk,0.006
butuh,0.012
ca,0.003
caboom,0.003
cahaya,0.009
cakit,0.003
cam,0.009
candid,0.012
cantik,0.018
cari,0.018
carito,0.003
cases,0.003
catat,0.003
cau,0.006
cause,0.009
cc,0.003
cekcok,0.003
cela,0.003
cemas,0.003
cemburu,0.006
cemil,0.024
cepat,0.015
ceplok,0.003
cerah,0.003
cerai,0.003
cerita,0.009
cetar,0.003
cetarr,0.003
cetera,0.003
cewek,0.003
cha,0.006
ci,0.006
cie,0.018
cina,0.003
cincin,0.006
cinta,0.071
cintanyo,0.003
cipta,0.009
ciri,0.003
cita,0.006
cium,0.003
cliping,0.003
coba,0.035
coboi,0.003
coco,0.003
cocok,0.003
colek,0.006
coll,0.003
conan,0.003
contacts,0.003
contoh,0.003
corbuzier,0.003
coret,0.003
corona,0.038
coronavirus,0.006
coronavirusa,0.003
cosplay,0.003
costs,0.003
coverage,0.003
cowok,0.032
cpat,0.003
cs,0.006
cuaca,0.006
cuci,0.003
cuk,0.003
culun,0.003
cupang,0.003
curhat,0.006
curi,0.006
cutest,0.006
daa,0.006
dadak,0.003
daerah,0.003
dake,0.003
damai,0.006
damar,0.003
dana,0.003
danau,0.006
dapid,0.003
dar,0.003
darurat,0.006
dasar,0.009
data,0.006
daya,0.003
days,0.003
dbilangin,0.003
dde,0.003
deadline,0.003
decide,0.003
declined,0.003
deddy,0.003
deh,0.015
dekahna,0.003
del,0.003
deleted,0.003
delita,0.006
demo,0.006
dendam,0.003
dengar,0.012
dengung,0.003
dennis,0.003
depresi,0.006
derita,0.003
desa,0.003
detektif,0.003
devils,0.003
dewasa,0.009
dgan,0.003
diajakin,0.003
dialog,0.003
diam,0.015
dian,0.003
diaqiqah,0.003
dibe,0.003
dibeginikan,0.003
dicancel,0.003
didik,0.003
didnt,0.003
digalaukanny,0.003
digangguin,0.003
digimon,0.003
diinepin,0.003
dika,0.003
dikacangin,0.003
dikatai,0.003
dikerjain,0.003
dikirimin,0.003
dikit,0.012
diklat,0.003
diklitikin,0.003
dikoreks,0.003
dikosongin,0.003
dilema,0.015
dimaafkan,0.006
dimana,0.006
dimanonya,0.003
dimrahin,0.003
dindahuw,0.003
dingin,0.006
dinginnyo,0.003
dipatahin,0.003
disalahin,0.003
disebarkanny,0.003
disimpen,0.003
diskon,0.006
disney,0.003
disturb,0.003
ditanyain,0.006
ditegor,0.003
ditlpn,0.003
ditnya,0.003
dkek,0.003
dna,0.003
dngin,0.003
doa,0.003
doctors,0.003
does,0.003
doesnt,0.003
doh,0.003
dokter,0.003
doleh,0.006
doormats,0.003
dosa,0.009
dosen,0.003
dpat,0.003
dpek,0.003
dperbesar,0.003
dperiksa,0.003
dpo,0.009
