term,weight
aa,0.004
abad,0.004
abai,0.004
abed,0.004
acak,0.004
achmad,0.004
acnya,0.004
adeknya,0.004
adel,0.004
adin,0.004
admin,0.013
aduh,0.031
adulthood,0.004
agik,0.004
aglonema,0.004
ah,0.018
ain,0.004
air,0.004
ajar,0.022
aju,0.004
akai,0.004
akay,0.004
akaya,0.004
akibat,0.004
akrab,0.004
aktor,0.004
akuarium,0.004
akun,0.004
alam,0.004
alaram,0.004
alas,0.009
alat,0.004
alhamdulillah,0.004
alice,0.004
alir,0.004
aliran,0.004
alumni,0.004
aman,0.009
ambil,0.013
amin,0.018
amisqueen,0.004
amizah,0.004
ampun,0.009
amputasi,0.004
an,0.018
anak,0.018
analis,0.004
andalangue,0.004
aneh,0.035
anggur,0.009
angkut,0.004
anjerr,0.004
anjr,0.009
anjrr,0.004
anniv,0.004
anti,0.004
antre,0.009
aok,0.004
apaanih,0.004
apaansi,0.004
apas,0.004
apel,0.004
aplikasi,0.004
argh,0.004
armada,0.004
asam,0.009
asik,0.004
asin,0.004
asistenin,0.004
asli,0.018
assalamualaikum,0.009
astaga,0.018
astagfirullah,0.035
astor,0.004
atta,0.004
aurel,0.004
awat,0.009
aww,0.009
ayam,0.031
ayo,0.149
baca,0.022
badan,0.013
badmood,0.004
baet,0.004
bagikan,0.004
bagus,0.057
baguus,0.004
baguys,0.004
bahagia,0.013
bahasa,0.018
bajing,0.026
baka,0.004
bakpao,0.004
bakso,0.013
bal,0.009
balas,0.018
balikin,0.004
ban,0.004
bandung,0.009
bangga,0.009
bangun,0.035
banoffe,0.004
banteng,0.009
bantu,0.004
bantul,0.004
barang,0.013
bareng,0.004
basah,0.009
based,0.009
batal,0.522
batas,0.013
batin,0.009
bawa,0.013
bayar,0.013
bayi,0.009
bby,0.004
bcs,0.004
beban,0.009
bebas,0.004
belaga,0.009
belai,0.004
beli,0.07
belikan,0.004
benci,0.013
bendung,0.004
benjol,0.004
bentar,0.004
benul,0.004
beranda,0.004
berani,0.013
berat,0.004
berhenti,0.018
berita,0.009
berkoyo,0.004
bersih,0.009
besok,0.009
betis,0.004
betol,0.004
betz,0.004
bgtsi,0.004
bia,0.004
biadab,0.004
biaya,0.004
bikini,0.004
bilang,0.004
bimbang,0.004
bimbelnya,0.004
bingung,0.018
bintang,0.004
biru,0.009
biscoff,0.009
biscuit,0.004
bising,0.009
bismillah,0.004
biyutipul,0.004
biznet,0.004
bleaching,0.004
bloomery,0.009
boba,0.004
bodoh,0.031
bolong,0.009
bom,0.009
boncengin,0.004
bondon,0.004
bonnie,0.004
bonus,0.004
bos,0.004
bosan,0.004
both,0.004
branded,0.009
breakdance,0.004
brpaan,0.004
brusan,0.004
buaya,0.004
