term,weight
aak,0.009
aamiinn,0.004
able,0.004
absolutely,0.004
abt,0.009
abu,0.004
admin,0.013
aduh,0.03
aespa,0.004
ag,0.004
against,0.004
agre,0.004
ah,0.021
aime,0.004
air,0.013
ajahahaha,0.004
ajak,0.004
ajar,0.043
ajasi,0.004
akh,0.004
akho,0.004
akibat,0.004
akses,0.004
aktif,0.004
akun,0.021
akwwkwk,0.004
ala,0.013
alah,0.009
alam,0.004
alami,0.009
alas,0.004
alat,0.004
album,0.013
algoritma,0.004
alhamdulillah,0.017
alibi,0.004
alih,0.004
alir,0.004
almamater,0.004
alw,0.013
alwayss,0.004
aman,0.013
ambil,0.03
ambulans,0.004
ambyar,0.009
ambyarr,0.004
amelia,0.004
american,0.009
americano,0.004
ami,0.009
amin,0.047
amino,0.009
ampun,0.009
ampung,0.004
amsyongg,0.004
an,0.038
anak,0.043
andy,0.004
aneh,0.026
anggar,0.004
anggota,0.009
angkat,0.004
angsa,0.004
anime,0.009
anjir,0.009
anjur,0.004
anomali,0.004
anorak,0.004
antem,0.004
anti,0.009
antisosial,0.004
apel,0.013
aplikasi,0.017
appstore,0.004
april,0.004
ar,0.004
arab,0.004
arah,0.009
arang,0.004
arena,0.004
arent,0.009
ariesta,0.004
ariul,0.013
aroma,0.004
artis,0.009
arus,0.004
asa,0.004
asam,0.026
asap,0.004
asdhgjkkwyaodhxnmfhy,0.004
asemm,0.013
ashdgkghfqehdgdgsh,0.004
ashiapp,0.004
ashjskshdjsk,0.004
asi,0.004
asiap,0.004
asiapp,0.004
asik,0.004
asing,0.004
asjdgfjdfghkglfuwu,0.004
asli,0.009
asoyy,0.004
assalamualaikum,0.009
astaga,0.009
astri,0.004
astro,0.004
aussie,0.004
autodebit,0.004
avengers,0.004
awkwk,0.034
awkwkw,0.017
awkwkwk,0.047
awkwkwkwk,0.017
aww,0.004
ayam,0.004
ayo,0.064
ayokk,0.009
ayunda,0.004
az,0.004
ba,0.004
babe,0.009
babyy,0.013
baca,0.013
badak,0.004
badan,0.017
badut,0.004
bagikan,0.004
bagus,0.055
bah,0.004
bahagia,0.017
bahan,0.004
bahas,0.013
bahasa,0.009
bahu,0.004
baju,0.009
bakar,0.009
bakat,0.009
bakpia,0.004
balas,0.021
bambam,0.004
bamboo,0.017
banding,0.004
bang,0.004
banget,0.013
bangga,0.004
bangkit,0.004
bangsa,0.004
bangtan,0.043
bangun,0.03
banjir,0.004
bantu,0.013
banyumas,0.004
bar,0.004
barang,0.009
bareng,0.013
basa,0.004
basah,0.004
based,0.017
batal,0.286
batalin,0.004
batang,0.004
batas,0.013
bawa,0.021
bayang,0.009
bayangkan,0.004
bayar,0.013
bayi,0.017
bb,0.009
bby,0.03
bbyy,0.009
bcs,0.026
bebb,0.013
bebku,0.004
becandaan,0.004
beda,0.026
begadang,0.004
begituu,0.004
beking,0.004
belah,0.004
belajarr,0.004
belanja,0.009
beli,0.09
belikan,0.013
belok,0.004
bem,0.004
benarkan,0.004
benedict,0.004
benerinnya,0.004
bengep,0.004
bengkak,0.004
bentak,0.004
bentar,0.004
bentuk,0.009
berabe,0.004
beranda,0.009
berani,0.009
berat,0.013
berdua,0.004
berhenti,0.017
berita,0.009
berlian,0.004
bersyukurr,0.004
bertahann,0.004
berteman,0.004
berterimakasih,0.017
besarr,0.004
besit,0.004
besok,0.06
betuls,0.004
bfore,0.004
bgm,0.004
bh,0.004
bhumi,0.004
biadab,0.009
biaya,0.004
bicara,0.034
bidang,0.009
biden,0.004
bien,0.004
biji,0.009
bikinn,0.004
bilang,0.013
binatang,0.004
bingung,0.026
bingungg,0.004
bintit,0.004
bio,0.004
bioskop,0.004
birming,0.004
biru,0.004
bismillah,0.021
bisnis,0.017
bla,0.013
blablabla,0.004
blackhole,0.004
blp,0.004
bocahh,0.004
bodoamat,0.004
bodoh,0.004
bodol,0.004
bom,0.026
bombay,0.009
bon,0.004
bonbinku,0.004
bonus,0.004
borahae,0.009
borahaehati,0.004
borma,0.004
borong,0.004
bos,0.004
bosan,0.009
both,0.004
bp,0.004
brandinv,0.004
broo,0.009
browser,0.004
bruhh,0.009
bts,0.026
buah,0.004
buang,0.004
budeg,0.004
buibu,0.004
buk,0.004
buka,0.051
buku,0.013
buncis,0.004
bunda,0.009
bunga,0.013
bungkus,0.004
bunyi,0.004
burger,0.009
buru,0.009
buruk,0.004
burung,0.004
busway,0.004
butuh,0.038
byebye,0.004
ca,0.004
cabang,0.004
cahaya,0.004
cakep,0.004
canda,0.013
cantik,0.009
cari,0.043
cashback,0.009
cc,0.009
cegah,0.009
celana,0.009
cemara,0.004
cemil,0.077
cepak,0.004
cepat,0.004
cerita,0.038
cerpen,0.004
certain,0.004
changer,0.004
cheater,0.017
cheff,0.004
cheng,0.004
chillin,0.004
chocolates,0.004
chrome,0.004
ci,0.004
ciaa,0.009
cici,0.004
cii,0.004
cinta,0.124
cipta,0.004
ckckck,0.009
clubhouse,0.004
coba,0.034
cocok,0.013
cocol,0.004
coffe,0.004
coklat,0.009
collagen,0.009
comeback,0.004
comfie,0.004
contoh,0.004
couldnt,0.009
critani,0.004
critical,0.004
cuaca,0.004
cumaa,0.004
curang,0.004
cure,0.009
curi,0.004
customers,0.004
cutdown,0.004
cv,0.004
dadakn,0.004
daerah,0.017
daftar,0.021
dagang,0.004
daging,0.004
dah,0.03
dahsyat,0.004
dal,0.004
dalmi,0.009
damai,0.017
dana,0.004
danau,0.004
daritadi,0.004
darkside,0.004
dasar,0.009
data,0.004
datar,0.004
daya,0.013
days,0.004
deaktif,0.004
deaktifin,0.009
debat,0.013
decided,0.004
deep,0.004
defisit,0.009
deh,0.03
del,0.004
dela,0.026
dell,0.009
delu,0.004
dengar,0.017
dengerr,0.004
depresi,0.013
des,0.004
deskripsi,0.004
developed,0.004
dewasa,0.004
diajakin,0.004
diam,0.017
dian,0.004
did,0.009
didik,0.004
died,0.004
diet,0.038
difollow,0.004
dijejerin,0.004
dik,0.004
diketekin,0.004
dikosan,0.004
dikta,0.004
dilakuin,0.004
dilema,0.004
dimandos,0.013
dindaa,0.004
dingin,0.013
dipakai,0.004
dipelajarin,0.004
direksi,0.004
disalahin,0.004
disebutin,0.004
ditanem,0.004
ditekoki,0.004
ditemenin,0.004
doa,0.021
doangg,0.004
dobel,0.004
dodal,0.004
doesnt,0.004
doin,0.013
doing,0.017
dokter,0.013
dokumenter,0.004
dolce,0.004
domestik,0.009
donat,0.004
donee,0.004
doppelgnger,0.004
dorong,0.009
dos,0.004
dosa,0.009
dosen,0.021
download,0.013
drama,0.021
dramacool,0.009
dri,0.004
dubai,0.004
duid,0.009
duidd,0.004
duitt,0.004
duluan,0.004
dunia,0.017
each,0.004
earphone,0.004
earphones,0.004
eczema,0.004
edisi,0.009
edit,0.004
edyaan,0.004
edyan,0.004
efek,0.013
eh,0.03
ehiya,0.004
eksim,0.009
ekspresi,0.004
ekstrak,0.004
elastisitas,0.004
electoral,0.004
else,0.004
email,0.013
emas,0.013
emosyong,0.004
emyu,0.009
enakk,0.004
engap,0.004
engapp,0.004
entuk,0.004
entut,0.004
episode,0.03
erhing,0.004
errthing,0.017
erti,0.004
esensial,0.004
esg,0.004
estrogen,0.004
etdahh,0.009
etik,0.004
eucalyptus,0.009
eunwoo,0.009
