term,weight
aa,0.002
abc,0.002
able,0.002
abo,0.002
abstraksi,0.005
acapella,0.005
acara,0.005
aceh,0.002
acq,0.002
acts,0.002
adil,0.002
adlan,0.002
admin,0.002
adnqhytkoi,0.002
aduh,0.01
adults,0.002
advantages,0.002
aeq,0.002
afeboocyxd,0.002
agents,0.002
ah,0.015
ahani,0.002
ahqfwm,0.002
ai,0.007
aik,0.002
aimie,0.002
air,0.005
ajar,0.007
ajc,0.002
akc,0.002
akhem,0.002
aksarxh,0.002
aktivitas,0.002
alam,0.002
alamat,0.005
albert,0.002
alex,0.002
alhamdulillah,0.022
alibi,0.002
allergies,0.002
alpukat,0.002
alyson,0.002
amal,0.002
aman,0.005
ambil,0.015
amin,0.024
ampun,0.002
an,0.007
anak,0.022
anggita,0.002
anggy,0.01
angin,0.002
angka,0.015
anjing,0.002
anna,0.002
annisa,0.005
answers,0.002
antropometria,0.002
anyone,0.002
aoss,0.002
api,0.002
april,0.002
arah,0.024
archives,0.002
ariana,0.002
arsitektur,0.002
artikel,0.005
asa,0.002
asik,0.007
asli,0.005
astagfirullah,0.005
asyik,0.002
attboahnpw,0.002
atulah,0.002
atur,0.005
auliane,0.002
aurora,0.002
aux,0.002
awak,0.002
awakens,0.002
axgmgskcn,0.002
ayam,0.005
ayo,0.041
ayunda,0.002
baca,0.017
bagikan,0.005
bagus,0.002
bahan,0.002
bajak,0.01
baker,0.002
bakpia,0.002
balas,0.005
bandung,0.005
banerjee,0.002
bangsa,0.005
bangun,0.007
barang,0.002
bareng,0.012
barriers,0.002
based,0.002
batal,0.139
batas,0.002
batin,0.01
batuk,0.002
bawa,0.012
bayang,0.002
bayar,0.005
bayi,0.002
bbc,0.002
bbm,0.002
bd,0.002
beasiswa,0.005
beatboxnya,0.002
beautynya,0.002
bebas,0.01
become,0.005
beda,0.007
bedug,0.005
behind,0.002
bel,0.017
belaga,0.002
belah,0.005
belanja,0.002
beli,0.005
belive,0.002
belok,0.005
benghar,0.002
benih,0.002
bentar,0.005
berani,0.01
beranta,0.002
berat,0.005
berbuka,0.005
berita,0.002
berkas,0.002
berkumpul,0.007
besok,0.029
between,0.002
beyonc,0.002
beyonce,0.002
bezgu,0.002
bfa,0.002
bfmqgs,0.002
bhvin,0.002
bibil,0.005
bicara,0.007
bigger,0.002
bihalal,0.002
biking,0.002
bil,0.041
bilang,0.012
billboard,0.005
billie,0.002
binatang,0.002
bingung,0.005
bintang,0.005
bisnis,0.002
blah,0.01
blahaha,0.005
blahahahahaha,0.002
