term,weight
aah,0.011
abai,0.008
abstrak,0.008
adalagi,0.003
adek,0.003
adil,0.011
adilaa,0.003
admin,0.003
adon,0.003
aduh,0.011
aduk,0.014
advokat,0.003
adzim,0.003
affraid,0.008
agam,0.014
agama,0.003
agustus,0.003
ah,0.017
ahli,0.003
ahmad,0.003
aib,0.003
ajaah,0.003
ajak,0.019
ajar,0.105
akal,0.008
akar,0.003
akemi,0.003
akhirat,0.008
akhlak,0.003
akibat,0.017
akrab,0.006
akses,0.014
aktivitas,0.042
ala,0.008
alam,0.042
alami,0.033
alangkah,0.003
alarm,0.003
alas,0.017
alasn,0.003
alhamdulillah,0.022
ali,0.003
alibi,0.003
alih,0.017
alir,0.011
alot,0.003
alpukat,0.003
alsan,0.003
although,0.003
alur,0.006
aman,0.006
amarah,0.017
amarahnya,0.003
ambil,0.072
ambisi,0.011
ambisius,0.003
amin,0.019
amplop,0.003
amrah,0.003
an,0.033
anak,0.025
analisis,0.003
ancam,0.003
andai,0.008
anemia,0.003
angan,0.003
anggap,0.014
anggar,0.008
anggota,0.003
angin,0.006
angka,0.003
angkasa,0.003
anime,0.011
anis,0.006
anjur,0.006
antagonis,0.003
anti,0.003
antibodi,0.006
anut,0.003
any,0.003
anyang,0.044
api,0.006
aplikasi,0.014
apotek,0.006
apoteker,0.017
appeared,0.003
arah,0.011
arep,0.003
aromaterapi,0.003
arsitek,0.003
asa,0.008
asah,0.008
asai,0.003
asih,0.003
asik,0.008
asli,0.003
astagfirullahhal,0.003
astaghfirullah,0.003
asuh,0.003
atik,0.003
atm,0.003
atsiri,0.003
atur,0.011
aul,0.014
aura,0.008
awan,0.006
awas,0.006
ay,0.006
ayah,0.003
ayo,0.091
ayun,0.008
baca,0.014
badai,0.008
badan,0.003
bagikan,0.003
bagus,0.014
bah,0.006
bahagia,0.116
bahan,0.011
bahas,0.006
bahaya,0.006
bahu,0.006
baju,0.003
bakar,0.003
bakat,0.003
balas,0.011
ban,0.003
bandel,0.003
banding,0.014
bangga,0.022
bangkit,0.003
bangsa,0.003
bangun,0.019
banjir,0.003
bank,0.019
banting,0.003
bantu,0.025
banyk,0.003
barakallah,0.003
barang,0.006
bareng,0.008
batal,0.008
batas,0.017
baterai,0.003
batik,0.003
batu,0.003
batuk,0.003
bawa,0.03
bayang,0.006
bayar,0.014
bayi,0.008
bbeeh,0.003
bberapa,0.003
bda,0.003
beban,0.019
bebas,0.022
beberpa,0.006
become,0.003
beda,0.039
begni,0.003
behaviour,0.003
bekal,0.003
bekas,0.003
bela,0.006
belaga,0.014
belah,0.006
belanja,0.003
belanjasmartphone,0.003
belas,0.003
belenggu,0.003
beli,0.008
belikan,0.003
beloved,0.003
ben,0.003
benang,0.008
benaran,0.003
benci,0.039
benda,0.003
bendung,0.003
bengkalai,0.003
bengkel,0.025
bentar,0.003
bentuk,0.008
berani,0.006
beranta,0.006
berantkan,0.003
beras,0.003
berasa,0.008
berat,0.058
berbda,0.003
berda,0.003
berdzikir,0.003
berekspetasi,0.003
beringas,0.006
berita,0.006
berkah,0.006
berkarir,0.003
berkonstribusi,0.003
berontak,0.008
bersit,0.003
bersma,0.011
bertumpuk,0.011
berubah,0.003
berusha,0.003
besok,0.019
betapa,0.006
betpa,0.003
bgaimana,0.006
bgaimna,0.003
bias,0.006
biaya,0.017
bicara,0.033
bidang,0.003
bijak,0.014
bijakana,0.003
bijaksana,0.006
bilang,0.019
bim,0.003
bimbang,0.008
bimbel,0.003
bingung,0.022
bintang,0.003
biografi,0.006
bisik,0.006
bismillah,0.011
bisnis,0.006
bk,0.003
bku,0.003
blog,0.003
bocor,0.003
bodoh,0.019
boneka,0.006
bonus,0.003
boros,0.008
bos,0.006
bosan,0.011
bpjs,0.006
brada,0.003
brakhir,0.006
bralasan,0.003
branding,0.003
brangkat,0.006
brave,0.003
brbagai,0.003
brbahya,0.003
breng,0.003
brguna,0.003
brikutnya,0.003
brsalah,0.003
brtahan,0.008
brtekad,0.003
brtemu,0.003
brtindak,0.003
brtinggi,0.003
brunya,0.003
brusha,0.006
bsakah,0.006
buah,0.025
bual,0.003
buang,0.019
bujuk,0.003
buka,0.08
bukti,0.014
buku,0.028
bumbu,0.003
bunga,0.03
bungkam,0.003
buntu,0.003
bunuh,0.006
bunyi,0.006
buram,0.022
buru,0.05
buruk,0.05
busuk,0.006
buta,0.003
butir,0.006
butuh,0.086
bwa,0.006
bwi,0.003
cabang,0.003
cacat,0.008
caci,0.003
cadang,0.003
cahaya,0.003
cair,0.006
cakap,0.003
called,0.003
campur,0.014
canda,0.003
candid,0.006
candu,0.003
canggung,0.003
cantik,0.006
capai,0.036
cari,0.08
caring,0.003
catat,0.006
cdr,0.006
cegah,0.025
cekam,0.003
cekik,0.008
celah,0.006
cemas,0.014
cembru,0.003
cemburu,0.036
cemil,0.03
cenderung,0.011
cepat,0.05
cerah,0.011
cerdas,0.003
cerewet,0.006
ceria,0.006
cerita,0.033
cermin,0.003
cerna,0.003
ceroboh,0.008
cetak,0.003
cheklist,0.008
ci,0.003
cicil,0.003
cie,0.008
cina,0.003
cinta,0.028
cipta,0.003
ck,0.003
ckckck,0.006
coba,0.08
coblah,0.006
cocok,0.006
coklat,0.006
complexnya,0.006
confused,0.003
