term,weight
aataghfirullah,0.005
abadi,0.005
abai,0.01
aci,0.005
adegan,0.005
adek,0.01
adeknya,0.005
adewe,0.024
admin,0.005
aduh,0.048
adus,0.01
agnes,0.01
ah,0.014
ahli,0.005
ajaib,0.005
ajak,0.014
ajar,0.005
akhlak,0.01
aktifitas,0.005
akue,0.005
akun,0.01
alarm,0.024
alas,0.005
alayku,0.005
alfamidi,0.005
alhamdulillah,0.029
alhmdlillah,0.005
alias,0.005
alim,0.005
alis,0.005
alisa,0.005
almarhum,0.005
aman,0.024
ambigu,0.005
ambil,0.01
amin,0.019
amit,0.019
ampuh,0.005
ampun,0.005
anak,0.072
anake,0.01
ancen,0.005
anduk,0.005
aneh,0.014
angan,0.005
angga,0.005
angger,0.005
anggrek,0.005
angin,0.005
angkring,0.005
anjim,0.005
anjing,0.029
anjritt,0.005
anu,0.01
anyar,0.01
apak,0.005
apani,0.005
apel,0.005
area,0.01
arif,0.005
arta,0.01
artha,0.005
arthdal,0.005
asam,0.024
asik,0.01
asin,0.005
asli,0.005
asline,0.019
astaghfirullah,0.057
asupan,0.005
atap,0.005
atiati,0.005
atm,0.005
atur,0.005
aup,0.005
auwah,0.01
avamu,0.01
avane,0.005
awkwkw,0.005
awkwkwk,0.014
awkwkwkkw,0.005
awkwkwkkwkw,0.005
awkwkwkw,0.014
aww,0.019
awwkwkk,0.005
awwkwkwkwk,0.005
ayam,0.048
ayame,0.005
ayo,0.291
baca,0.024
bacut,0.005
badai,0.005
badan,0.005
bagus,0.01
bahagia,0.005
bahas,0.005
bahasa,0.005
bahaya,0.01
baju,0.014
bakar,0.005
bakat,0.014
bakule,0.01
bal,0.005
balas,0.014
balon,0.005
balung,0.005
bandeng,0.005
banget,0.014
bangun,0.091
bantu,0.005
banya,0.01
banyu,0.01
bapake,0.005
bar,0.024
barang,0.014
bareng,0.019
barwi,0.01
basah,0.005
basreng,0.005
batal,0.081
bau,0.024
bawa,0.014
bawang,0.005
bayang,0.014
bayarin,0.005
bb,0.005
bby,0.005
bcod,0.005
bcot,0.005
bebek,0.005
bedak,0.005
begituan,0.005
beh,0.005
bekal,0.005
beku,0.005
belaga,0.01
belah,0.005
belai,0.005
beli,0.062
belikan,0.024
belok,0.005
ben,0.057
benaran,0.005
benci,0.005
bengi,0.01
bengine,0.005
bening,0.01
benjo,0.005
bentar,0.005
bentuke,0.005
bentur,0.005
beranda,0.01
berangan,0.005
berat,0.005
beril,0.005
berita,0.005
berontak,0.005
bersih,0.005
besok,0.005
betah,0.01
bi,0.005
biadab,0.024
biasane,0.01
bibir,0.005
bibit,0.01
bicara,0.01
biduan,0.005
bilang,0.005
bingung,0.019
biomu,0.005
bis,0.005
bisik,0.014
bisu,0.005
bittersweet,0.005
blok,0.033
bobok,0.029
bocahe,0.005
bodoamatan,0.01
bodoh,0.033
bohong,0.005
boongin,0.005
bos,0.01
bosan,0.019
brazilian,0.005
bril,0.014
brilie,0.005
brillie,0.01
brngkat,0.014
buah,0.019
bubur,0.005
budak,0.019
budhe,0.005
buka,0.052
bukane,0.005
bulu,0.019
buluk,0.005
bunda,0.072
bungkus,0.005
bunuh,0.005
bunyi,0.014
burjo,0.005
burung,0.005
butuh,0.005
cabai,0.019
cabang,0.005
cadang,0.005
cakue,0.005
camil,0.005
canda,0.005
cantik,0.052
cantol,0.005
capai,0.01
cappuccino,0.005
carane,0.01
cari,0.014
ceker,0.01
celana,0.019
cemil,0.086
cemplung,0.01
cepak,0.005
cepat,0.033
ceplok,0.01
cerah,0.01
cerita,0.005
cerito,0.01
cetak,0.005
cetho,0.005
chatku,0.005
ciamik,0.005
cie,0.005
cilik,0.005
cilike,0.005
cilok,0.005
cimoygamontoq,0.005
cinta,0.033
ciut,0.005
ciy,0.005
cloy,0.005
coba,0.038
cocok,0.014
cocoke,0.005
colot,0.005
colourful,0.005
coplok,0.005
created,0.005
crepes,0.005
crewet,0.005
ctm,0.005
cuci,0.005
cuk,0.005
cukks,0.005
cukur,0.005
culun,0.005
cupcupcup,0.005
curhat,0.005
curiga,0.01
curigesyen,0.005
cuy,0.038
cvku,0.005
dadi,0.033
daftar,0.014
dagel,0.005
dal,0.01
damai,0.005
dangdut,0.005
dapur,0.005
dar,0.005
darat,0.005
darimana,0.005
dasare,0.005
data,0.005
daun,0.005
definisi,0.005
degdegan,0.01
deh,0.005
dek,0.005
dekemu,0.005
dengar,0.005
dengkul,0.01
deras,0.005
deretane,0.005
dewe,0.014
dewi,0.01
dhuer,0.005
diam,0.014
diapusi,0.005
dias,0.005
dibantuin,0.005
dibawain,0.005
dibodoni,0.005
diceritain,0.01
dichat,0.005
dicopas,0.005
dientekne,0.005
digowo,0.005
digrujuk,0.005
diicipin,0.005
dijak,0.005
dikei,0.005
diketawain,0.005
dikit,0.019
dilema,0.01
dim,0.01
dimaemnya,0.005
dimpil,0.005
dinf,0.005
ding,0.024
dingeneke,0.005
dingin,0.01
dipekso,0.005
diperingatin,0.005
diputerin,0.005
diread,0.005
direndem,0.005
direport,0.005
diselingkuhin,0.01
disik,0.005
disuka,0.01
disuruh,0.005
ditumpakne,0.005
diunfoll,0.005
diwarnain,0.005
doa,0.01
doano,0.005
dogdog,0.005
dokter,0.01
dol,0.01
dolan,0.005
domestik,0.005
domisili,0.005
dosa,0.01
doso,0.005
dpat,0.005
drama,0.033
duhur,0.005
duite,0.005
