term,weight
abad,0.005
abel,0.002
abul,0.002
abur,0.003
acak,0.003
acapkali,0.002
acara,0.03
acau,0.002
ach,0.002
acha,0.002
actionnya,0.003
activation,0.007
acu,0.002
adaptasi,0.007
adaptif,0.002
adegan,0.038
adelia,0.002
adelina,0.002
adi,0.002
adil,0.003
admin,0.003
adrenalin,0.002
adriani,0.002
aduh,0.01
afghanistan,0.002
afiqah,0.025
afrika,0.002
agam,0.005
agama,0.002
agares,0.002
agensi,0.033
agnez,0.002
agnezmo,0.002
agus,0.002
agustus,0.005
ah,0.005
ahensi,0.002
ahli,0.002
aisyah,0.002
ajak,0.003
ajang,0.021
ajar,0.011
akademi,0.003
akademis,0.002
akal,0.01
akar,0.002
akb,0.002
akbar,0.002
akhirat,0.002
akibat,0.007
akrab,0.002
aksi,0.016
aktd,0.002
aktif,0.003
akting,0.007
aktivis,0.002
aktivitas,0.008
aktor,0.002
aktris,0.008
akuisisi,0.003
akun,0.059
ala,0.018
alam,0.021
alamat,0.002
alami,0.002
alangkah,0.002
alas,0.013
alat,0.007
album,0.005
aldi,0.002
aldiano,0.002
alex,0.005
alfa,0.003
alfamidi,0.002
alhamdulillah,0.003
alhasil,0.013
alia,0.002
alias,0.008
aliens,0.002
alif,0.003
alih,0.007
alis,0.002
alisjahbana,0.002
allegra,0.002
allison,0.002
almarhum,0.003
almira,0.002
alternatif,0.002
although,0.002
alumni,0.02
alvin,0.002
aly,0.002
aman,0.007
amanda,0.002
amanina,0.002
amber,0.003
ambil,0.015
ambyar,0.002
amerika,0.008
amin,0.002
amit,0.01
ampun,0.002
amrik,0.002
an,0.036
anak,0.234
ananditta,0.003
anatomi,0.002
ancam,0.013
ancang,0.005
andra,0.002
android,0.003
andy,0.002
aneh,0.011
aneka,0.026
ang,0.002
angga,0.002
anggap,0.013
anggar,0.002
anggota,0.062
angin,0.008
angka,0.005
angkasa,0.002
angkat,0.011
angsa,0.002
angsulnya,0.002
anime,0.008
animonster,0.011
anin,0.003
anita,0.005
anjani,0.002
anji,0.002
annastasya,0.003
anneth,0.002
annie,0.002
annual,0.002
antasari,0.002
anthony,0.002
anti,0.007
anton,0.003
antusias,0.003
anu,0.002
any,0.002
api,0.003
aplikasi,0.02
approachnya,0.002
april,0.023
aqilah,0.002
arah,0.007
area,0.002
arena,0.002
ari,0.002
aria,0.002
arief,0.002
arkema,0.002
arnold,0.002
arsip,0.011
arswendo,0.003
artifisial,0.002
artikel,0.061
artis,0.018
as,0.002
asah,0.002
aset,0.005
ashworth,0.002
asila,0.002
asing,0.002
asli,0.013
asmara,0.002
aspek,0.008
asta,0.002
asuh,0.002
asumsi,0.005
asupan,0.002
asus,0.002
atmaja,0.002
atmos,0.002
atmosfer,0.003
atmowiloto,0.003
atta,0.002
attitudenya,0.002
atur,0.016
atuy,0.003
audiensnya,0.002
audisi,0.016
audrey,0.049
augmented,0.002
augustin,0.002
aurel,0.002
awam,0.002
awan,0.007
awkarin,0.002
ay,0.003
ayah,0.003
ayahbunda,0.018
ayam,0.002
ayem,0.002
ayo,0.013
az,0.025
azura,0.002
bab,0.026
babak,0.002
babat,0.002
babibu,0.002
bablas,0.002
babliuc,0.002
baca,0.082
baccarin,0.002
backstory,0.002
backyard,0.002
badass,0.002
bagus,0.057
bagusin,0.002
bahan,0.007
bahar,0.002
bahas,0.036
bahasa,0.011
bahaya,0.003
bain,0.002
baja,0.007
bajak,0.002
bajer,0.005
baju,0.01
bakar,0.003
bakat,0.038
bakti,0.002
bal,0.003
balap,0.002
balas,0.003
balikpapan,0.002
balon,0.002
balur,0.002
balut,0.003
ban,0.003
banding,0.038
bandung,0.003
bang,0.003
bangkit,0.005
bangkot,0.002
bangsa,0.002
bangun,0.011
banjir,0.007
bank,0.003
bant,0.003
bantu,0.005
bar,0.003
barang,0.02
barangkali,0.002
barat,0.003
barclays,0.002
bareng,0.016
bas,0.002
basically,0.003
batal,0.023
batas,0.021
bateman,0.002
bathtub,0.002
bau,0.003
bawa,0.005
baya,0.002
bayang,0.007
bayar,0.028
bayi,0.002
bbc,0.002
bd,0.002
bebas,0.016
bebek,0.005
beby,0.005
beck,0.003
becky,0.003
beda,0.059
bedah,0.002
bein,0.002
bekas,0.013
beken,0.005
bekerjasama,0.003
beking,0.002
bel,0.02
bela,0.002
belaga,0.007
belah,0.016
belanda,0.002
belanja,0.003
beli,0.095
bella,0.002
bemo,0.002
bencana,0.007
benci,0.005
beng,0.003
bensin,0.002
bentar,0.003
bentuk,0.02
berani,0.01
beranta,0.007
berat,0.015
berhenti,0.005
berisik,0.002
berita,0.052
bersih,0.013
bertumpuk,0.003
besok,0.013
besut,0.002
biadab,0.002
biagi,0.002
bianca,0.005
biarawan,0.002
biarpun,0.005
biaya,0.005
bibo,0.002
biboff,0.002
bicara,0.026
bidang,0.013
bilah,0.003
bilamana,0.002
bilang,0.031
billar,0.002
bingung,0.007
bintang,0.028
biografi,0.003
biomutant,0.002
bioskop,0.079
bip,0.003
biru,0.005
bismillah,0.003
bisn,0.002
bisnis,0.01
bisu,0.002
blacklist,0.002
blackpink,0.002
blockbuster,0.002
blocknya,0.002
blogger,0.002
blok,0.002
blokir,0.002
bntm,0.002
bobot,0.003
bocor,0.021
bodi,0.002
bodoh,0.013
bogor,0.002
bola,0.007
bolak,0.003
bolavaganza,0.003
bolong,0.003
bona,0.005
boncos,0.002
bongkar,0.003
bonus,0.015
botak,0.003
boyband,0.002
brand,0.008
brankas,0.002
bridezilla,0.002
bright,0.003
britney,0.002
brittany,0.002
browser,0.002
bruce,0.005
buah,0.043
buang,0.002
bubar,0.005
bubuhan,0.002
bubur,0.002
budak,0.003
budaya,0.023
bujet,0.002
bujuk,0.002
buka,0.038
bukit,0.002
buklet,0.002
bukti,0.018
buku,0.051
bulat,0.002
bulls,0.005
bullying,0.002
bullyingnya,0.002
bulutangkis,0.002
bumbu,0.008
bumerang,0.002
bumi,0.003
bumilangit,0.002
buncit,0.005
bunda,0.003
bundesliga,0.003
bundling,0.002
bungkus,0.005
buntal,0.002
bunuh,0.015
buru,0.023
buruk,0.01
burung,0.005
busana,0.003
buta,0.005
butuh,0.026
bwf,0.002
cahaya,0.002
caitlyn,0.002
cakup,0.005
caleb,0.002
calon,0.005
campur,0.003
candid,0.013
cangkir,0.002
cantik,0.007
capai,0.002
caren,0.002
cari,0.049
carmela,0.002
catat,0.034
catchplay,0.007
catlain,0.002
catur,0.002
catwalk,0.002
cc,0.002
cegah,0.002
cekik,0.002
celine,0.007
cema,0.002
cemara,0.007
cemerlang,0.002
cemil,0.02
cenayangfilm,0.002
cendana,0.002
cenderung,0.008
centered,0.002
cepat,0.021
ceplas,0.002
ceplos,0.002
cepol,0.002
cerbung,0.005
cerdas,0.003
cerdik,0.002
cergam,0.005
ceria,0.002
cerita,0.048
ceritera,0.002
cermin,0.002
cerna,0.003
cerpen,0.003
cetak,0.013
cetek,0.002
cewekbanget,0.013
cgi,0.002
cgv,0.003
chainsaw,0.002
chalista,0.002
challengenya,0.007
chantika,0.002
chelsea,0.002
chicago,0.002
chloe,0.003
chm,0.002
christ,0.002
christy,0.01
ci,0.002
cia,0.007
ciamik,0.002
cicil,0.002
cicip,0.005
cikal,0.002
cilik,0.008
cincin,0.002
cinemags,0.003
cinematic,0.005
cinephile,0.002
cinta,0.025
cipta,0.005
ciri,0.002
citacinta,0.003
citarasa,0.002
citra,0.003
ciut,0.003
cjr,0.002
cla,0.002
clafita,0.054
clara,0.002
clarice,0.002
clarke,0.002
clickbait,0.011
clickbaity,0.002
clubhouse,0.002
coba,0.034
cocok,0.048
coklat,0.005
collectible,0.002
com,0.005
combi,0.002
comeback,0.007
comebacknya,0.002
comot,0.002
condong,0.003
consider,0.002
consideration,0.002
cont,0.005
contoh,0.008
cookson,0.002
cooper,0.005
coret,0.002
corneliu,0.002
corona,0.008
cosmogirl,0.003
coto,0.002
courtney,0.002
coverage,0.003
covergirl,0.002
cowok,0.005
creativity,0.002
crowe,0.007
cuat,0.003
cuci,0.002
cuit,0.007
cukur,0.003
culturenya,0.003
cuplik,0.007
curang,0.002
curi,0.003
curiga,0.002
cuties,0.003
cyenelline,0.002
dable,0.002
daerahsentris,0.002
daftar,0.02
dagang,0.005
dahaga,0.002
dahsyat,0.005
dampak,0.01
dapur,0.002
dar,0.003
darah,0.002
darko,0.002
dasar,0.015
dass,0.003
data,0.005
daun,0.002
daya,0.002
dayoung,0.002
days,0.002
deadpool,0.002
debat,0.01
debu,0.002
debut,0.011
december,0.002
deddy,0.002
dedikasi,0.007
dedikatif,0.002
deeper,0.003
definisi,0.002
deh,0.043
del,0.003
delegasi,0.002
deliziosso,0.002
demotivated,0.003
dendam,0.002
dengar,0.01
dengung,0.002
denver,0.002
depak,0.002
der,0.002
derajat,0.002
deras,0.007
desain,0.002
desember,0.016
deserves,0.002
designernya,0.002
deskriptif,0.002
desktop,0.003
destroys,0.002
detik,0.008
devano,0.003
devi,0.002
devina,0.013
dewasa,0.015
dewi,0.01
dgb,0.002
diadain,0.005
diam,0.015
diassign,0.002
dibagiin,0.002
dibandingin,0.003
dibatalin,0.005
dibatesin,0.003
dibeginiin,0.002
dibeliin,0.003
dibiarkan,0.002
diblock,0.007
dibonusin,0.002
dibuzz,0.002
dicancel,0.003
dicekokin,0.002
diconsider,0.002
difollback,0.003
digital,0.02
dihargai,0.002
dihighlight,0.002
dijadikan,0.003
dijalanin,0.002
dikembangin,0.002
dikenalin,0.002
dikit,0.005
dikumpulin,0.002
dilanjutin,0.002
dilema,0.002
dilolosin,0.002
dilulusin,0.002
dimensionprime,0.005
dimintain,0.003
dinamika,0.002
dinar,0.002
dingin,0.002
dinosaurus,0.002
dipagerin,0.002
dipakai,0.002
dipaketin,0.002
dipamerin,0.002
dipermasalahin,0.002
dipertanggungjawabkan,0.002
dipikirkan,0.002
diprioritasin,0.002
diprofilin,0.002
dipublikasiin,0.002
dipublish,0.002
dipungkiri,0.002
dirating,0.005
diratingnya,0.002
direktur,0.002
diremake,0.002
disabilitas,0.002
disalahin,0.002
disamain,0.003
disamaratain,0.002
discan,0.002
diselamatin,0.002
diselametin,0.002
diselipin,0.002
disinformasi,0.002
disiplin,0.002
diskus,0.002
disney,0.021
disniples,0.002
disobeyance,0.002
disodorin,0.002
disparitas,0.015
distribusi,0.005
distributor,0.002
disumbangin,0.002
disuspend,0.002
ditampilin,0.002
ditanyain,0.002
ditunjukkin,0.002
diunfollow,0.002
diupdate,0.002
diurusi,0.002
diy,0.002
dizoom,0.002
djay,0.002
djayc,0.002
djaycoholyc,0.002
dnau,0.002
doa,0.002
doesn,0.005
dokumentasi,0.002
dolan,0.002
domba,0.002
domestik,0.011
dompet,0.007
donal,0.005
donasi,0.002
dongeng,0.007
donnie,0.002
doraemon,0.005
dorong,0.003
dosa,0.002
dot,0.011
downloading,0.002
dp,0.002
drama,0.016
dreams,0.003
drive,0.005
drugs,0.002
duabelas,0.002
duar,0.002
duduk,0.008
duga,0.002
duitnye,0.002
dukun,0.002
dukung,0.016
duluan,0.005
dulunya,0.003
dumitru,0.002
dunia,0.018
durasi,0.003
durhaka,0.002
duri,0.003
duta,0.002
duyung,0.002
dw,0.002
dwi,0.002
dwibulanan,0.002
dwilogi,0.002
dwiminggu,0.005
east,0.002
eastwood,0.002
ebelle,0.005
ebook,0.002
ebooksnya,0.002
ecer,0.002
edisi,0.074
edit,0.002
editor,0.002
edukatif,0.002
efek,0.005
egi,0.008
eh,0.007
eja,0.002
ejek,0.002
ekonomi,0.002
ekor,0.002
ekplanasi,0.002
eks,0.008
eksekusi,0.005
eksistensi,0.002
eksklusif,0.007
eksklusifitasnya,0.002
ekskul,0.002
eksotis,0.003
eksposisi,0.007
elektronik,0.021
eliminasi,0.008
elle,0.002
ellen,0.002
ellips,0.002
elmesa,0.002
else,0.002
em,0.002
emas,0.005
embat,0.003
emensi,0.002
emeron,0.002
empati,0.002
empuk,0.002
endeavors,0.002
endorse,0.005
enek,0.002
engines,0.002
entertainments,0.002
episode,0.059
era,0.02
eropa,0.005
erti,0.003
es,0.002
esensi,0.002
esok,0.003
estetika,0.002
euis,0.007
evakuasi,0.003
evangelista,0.002
evans,0.002
eveline,0.01
events,0.003
everywhere,0.002
exclude,0.002
exclusivity,0.002
extras,0.002
eyeshield,0.002
fa,0.002
fabry,0.003
facebook,0.003
fachru,0.002
facu,0.003
fajar,0.002
