term,weight
according,0.005
acu,0.005
acuh,0.005
adab,0.009
adek,0.005
adil,0.005
admin,0.05
aduh,0.018
advokasi,0.005
agama,0.005
agus,0.005
agustus,0.027
ah,0.018
ahmad,0.009
ahsan,0.018
airlanggafess,0.005
ajak,0.005
ajar,0.014
aju,0.005
akak,0.009
akibat,0.005
akohh,0.005
akrab,0.005
aktif,0.005
aktor,0.005
akun,0.041
alas,0.018
alat,0.005
alfian,0.005
aliaa,0.005
alih,0.032
aliran,0.005
almarhum,0.005
alur,0.005
aman,0.018
ambil,0.046
amin,0.005
among,0.005
amplang,0.005
an,0.023
anak,0.105
andai,0.005
anet,0.005
anggap,0.005
anggar,0.009
anggota,0.005
anggotan,0.005
anisa,0.005
anji,0.009
anjing,0.005
anjinx,0.005
antem,0.005
anya,0.005
api,0.005
apk,0.005
aplikasi,0.005
apotek,0.005
apps,0.005
aqua,0.005
area,0.009
arest,0.005
ari,0.005
asa,0.009
ashwini,0.005
asik,0.005
asli,0.009
astaga,0.014
astagfirullah,0.005
astajim,0.005
asuh,0.005
atlet,0.005
atm,0.018
atur,0.005
aula,0.014
aura,0.005
aurel,0.005
awat,0.05
axelsen,0.005
ayah,0.005
ayo,0.082
azriel,0.005
bab,0.009
babah,0.023
babeh,0.005
baca,0.018
backstreet,0.005
bacok,0.005
baddas,0.005
badminton,0.046
bagikan,0.005
baginda,0.009
bagus,0.078
bahagia,0.005
bahan,0.009
bahana,0.005
bahas,0.005
bahasa,0.014
baiik,0.005
bajing,0.005
baju,0.009
balas,0.009
balikin,0.005
banar,0.005
banget,0.005
bangga,0.009
bangkai,0.005
bangun,0.005
banjar,0.005
banjir,0.005
bank,0.014
banking,0.005
banting,0.009
bantu,0.018
barang,0.009
barat,0.005
barbar,0.005
bareng,0.009
basah,0.005
batak,0.018
batal,0.247
batas,0.009
bawa,0.014
bayangkan,0.005
bayar,0.023
bbut,0.005
beban,0.005
bebas,0.005
beda,0.06
beginikan,0.005
bela,0.005
belaga,0.005
belagu,0.005
belas,0.005
belatung,0.005
beli,0.041
belikan,0.005
belva,0.005
bem,0.005
ben,0.009
benci,0.005
bensu,0.005
bentar,0.009
bentuk,0.005
bep,0.005
