term,weight
aal,0.002
aasvbe,0.002
abai,0.002
abegeh,0.002
abiez,0.002
acara,0.005
according,0.002
aceh,0.002
adaptasi,0.005
adli,0.002
admin,0.055
ads,0.002
aduh,0.03
adventures,0.002
aernya,0.005
afc,0.002
afh,0.002
againts,0.002
agensi,0.007
agung,0.007
agus,0.002
ah,0.032
ahli,0.005
ahmadiyah,0.002
ahok,0.009
aids,0.002
ain,0.002
aipet,0.002
airways,0.002
ajaah,0.002
ajaib,0.007
ajak,0.005
ajar,0.018
ajbdnf,0.002
ajo,0.002
akhirat,0.002
aktif,0.005
aktris,0.002
akun,0.009
alam,0.012
alamat,0.005
alami,0.007
alarm,0.002
alas,0.002
alat,0.002
albom,0.002
alex,0.002
alexandradimitrisongbillong,0.002
alhamdulillah,0.012
alias,0.007
alistair,0.002
alpalg,0.005
amal,0.005
aman,0.005
ambegan,0.002
ambil,0.012
amien,0.007
amin,0.009
ampun,0.002
an,0.016
anak,0.012
andai,0.002
andal,0.002
android,0.002
aneh,0.002
angga,0.002
anggap,0.005
anggar,0.002
anggrek,0.002
anggur,0.002
angkor,0.002
angkut,0.002
anime,0.002
anji,0.002
anniversary,0.005
antebellum,0.002
antem,0.002
anti,0.002
anyer,0.002
apanyah,0.002
aparat,0.002
apdet,0.002
apel,0.009
aplikasi,0.007
appreciate,0.005
april,0.002
aqua,0.005
arah,0.002
arahin,0.002
area,0.012
aren,0.002
arena,0.002
argh,0.002
argo,0.002
arief,0.002
aromjdk,0.002
arrgh,0.002
arya,0.002
asa,0.002
asah,0.002
asia,0.007
asik,0.007
asli,0.007
aspirin,0.002
asrama,0.002
assik,0.005
astari,0.002
asteroid,0.002
asyik,0.002
atlantic,0.002
atm,0.002
atmu,0.002
atur,0.005
audit,0.002
aukazbnowx,0.002
australia,0.002
australian,0.002
autis,0.002
awan,0.005
awas,0.005
awesome,0.018
awet,0.002
axeqmcvq,0.002
axn,0.005
ayo,0.021
baagus,0.002
babak,0.002
babu,0.005
baca,0.046
bacok,0.002
badai,0.002
badminton,0.002
bagasi,0.002
bagus,0.046
bahagia,0.012
bahan,0.002
bahaya,0.002
bajing,0.002
baju,0.002
bakar,0.009
balap,0.002
balas,0.002
balita,0.002
balotelli,0.002
ban,0.002
bananas,0.002
banding,0.002
bandung,0.002
bangga,0.005
bangkai,0.002
bangkrut,0.002
bangsa,0.005
bangun,0.021
banjir,0.014
bank,0.002
banking,0.002
bantal,0.002
bantu,0.014
banyk,0.002
barang,0.005
barangkali,0.002
bareng,0.002
baruplgsekolah,0.002
basah,0.002
baswedan,0.002
batal,0.053
batalin,0.002
baterai,0.002
bathin,0.002
batik,0.002
batman,0.005
batu,0.002
batuk,0.002
bawa,0.016
bawel,0.005
bayar,0.007
bayarin,0.002
bayi,0.009
bb,0.009
bbc,0.002
bbm,0.009
bebeh,0.007
beda,0.005
bedah,0.002
begaya,0.002
beib,0.002
bekuk,0.002
bela,0.002
belaga,0.002
belagu,0.005
belah,0.009
belajar,0.002
belalai,0.002
belanda,0.002
belanja,0.005
belgia,0.002
belgium,0.002
beli,0.012
beliau,0.007
belok,0.005
ben,0.007
benam,0.002
benarkan,0.007
beneer,0.002
beneren,0.002
benhil,0.002
bennya,0.002
bentar,0.007
bentuk,0.007
bera,0.002
beranda,0.007
berani,0.007
berantas,0.002
berbaiksangkalah,0.002
berbuka,0.005
berhenti,0.005
berisik,0.002
berita,0.014
berkah,0.002
berkilah,0.005
berobah,0.002
bersih,0.012
bersyukur,0.002
besi,0.002
besok,0.007
beuh,0.005
beuhh,0.002
bhineka,0.002
biadab,0.002
biaya,0.002
bicara,0.005
bijaksana,0.002
bilang,0.021
bingung,0.007
bintang,0.005
bioskop,0.005
biru,0.002
bismillah,0.002
bisnis,0.005
bla,0.009
blackberry,0.005
blah,0.007
blebeb,0.002
bnn,0.002
bnpaccwa,0.002
bodoh,0.012
bohong,0.009
bola,0.009
bolong,0.002
bom,0.012
book,0.002
born,0.002
borobudur,0.005
borong,0.002
bosakah,0.002
bosan,0.009
bqdllnra,0.002
brapakah,0.002
breaking,0.005
breathe,0.005
bri,0.002
brimo,0.002
britain,0.002
brondong,0.005
broo,0.002
brought,0.002
browser,0.009
browsing,0.002
brsyukurlah,0.002
brwonlee,0.002
buah,0.007
buayashow,0.002
budaya,0.005
buddhist,0.002
bude,0.002
bui,0.002
buka,0.016
bukber,0.002
bukhari,0.002
bukti,0.009
bulutangkis,0.002
bumi,0.005
bungkus,0.007
bunker,0.002
bunuh,0.002
bunyi,0.007
buorne,0.002
buru,0.002
buruk,0.014
busana,0.002
buta,0.002
butuh,0.018
bwh,0.002
bxr,0.002
bxsoxrv,0.002
bxxvv,0.002
cabang,0.005
cahaya,0.021
cair,0.005
calon,0.002
campur,0.002
canda,0.002
candi,0.021
candid,0.005
cangkir,0.021
cantik,0.002
capres,0.002
cari,0.016
caribbean,0.002
carikan,0.002
cars,0.005
cas,0.005
cashless,0.002
casillas,0.002
catat,0.002
catwoman,0.002
cawapres,0.002
cc,0.012
cdyvjjdf,0.002
cebong,0.002
cedera,0.002
cekam,0.002
celaka,0.002
cemburu,0.002
cemil,0.025
cemput,0.002
cempuut,0.002
cenel,0.002
cepat,0.014
cerdas,0.007
cerita,0.009
cetuju,0.002
cfmttuyesb,0.002
cgx,0.002
ch,0.007
chan,0.002
chanel,0.002
chese,0.002
children,0.002
cicit,0.005
cie,0.005
cina,0.002
cincin,0.009
cingak,0.002
cingakcinguk,0.002
cinguk,0.002
cinta,0.03
cipok,0.002
cirebon,0.002
citizens,0.002
ciyus,0.002
ck,0.002
ckckcck,0.002
ckckckck,0.002
ckk,0.002
cko,0.002
climbed,0.002
cltvn,0.002
cmkudbq,0.002
cmo,0.002
cn,0.002
coba,0.007
coc,0.002
coca,0.002
cocok,0.007
coffe,0.002
coins,0.002
coklat,0.005
cola,0.002
colek,0.012
colong,0.002
comes,0.002
contestants,0.005
correct,0.002
counted,0.002
cowok,0.374
croatpmu,0.002
csi,0.005
cuaca,0.007
cuh,0.002
cuplik,0.002
curang,0.002
curhat,0.002
curi,0.005
cust,0.002
cwet,0.002
cyril,0.007
cysjkaek,0.002
cyy,0.002
dadak,0.007
daftar,0.007
daging,0.002
dahi,0.002
dahsyat,0.002
damai,0.002
daming,0.007
damniloveindonesia,0.002
dampar,0.002
dana,0.002
dancing,0.002
danielmananta,0.002
danjiro,0.002
darah,0.002
darat,0.014
dasar,0.005
dasi,0.012
datng,0.002
david,0.002
dbl,0.002
dc,0.002
debby,0.002
debu,0.002
deep,0.002
deh,0.055
dekjir,0.002
dekoder,0.002
delcont,0.002
delisa,0.002
demam,0.002
demo,0.005
dengar,0.009
depe,0.002
depok,0.005
depokers,0.002
deras,0.002
derita,0.002
desainer,0.002
desember,0.002
desire,0.005
destinasi,0.002
dewa,0.016
dewasa,0.002
dewigita,0.002
diam,0.012
dianwirengjurit,0.002
diapakan,0.005
dibayarin,0.002
dicengin,0.002
did,0.002
diet,0.002
digituhin,0.002
dikit,0.002
dilema,0.009
dilupain,0.002
dimana,0.002
dinda,0.002
dinding,0.002
dingin,0.005
diniatin,0.002
direktur,0.002
direspon,0.002
diribetin,0.002
disabilitas,0.007
disney,0.002
distrofi,0.002
ditindaklanjuti,0.002
ditmbh,0.002
diva,0.002
dj,0.002
djoko,0.002
dki,0.005
doa,0.018
dobel,0.002
doesn,0.002
dokter,0.009
dokumen,0.002
dolls,0.002
domestik,0.002
donald,0.002
dongkrak,0.002
doraemon,0.002
dorong,0.002
dory,0.002
downgrade,0.002
dpd,0.002
dpr,0.002
drama,0.002
dropped,0.002
dsi,0.002
dtng,0.005
du,0.002
dubes,0.005
duduk,0.007
duga,0.007
dukung,0.018
dunhill,0.002
dunia,0.037
durian,0.007
dvd,0.002
edaz,0.002
edisi,0.005
eeuuww,0.002
egn,0.002
eh,0.035
ehem,0.002
ej,0.002
ejek,0.005
ejoe,0.002
ekonomi,0.002
ekspresif,0.002
ekstrim,0.002
elektronik,0.002
elite,0.002
else,0.002
email,0.007
emas,0.007
emosi,0.007
empati,0.002
enables,0.002
energi,0.002
engakau,0.002
engpong,0.007
enkt,0.002
enough,0.007
enyak,0.002
eo,0.002
episode,0.002
er,0.002
erab,0.002
erajaya,0.002
eropa,0.005
erte,0.014
erti,0.002
eruu,0.002
es,0.005
escaping,0.014
espegeh,0.002
ests,0.002
etihad,0.002
etis,0.002
eufrat,0.002
eugh,0.002
european,0.002
euy,0.002
facebook,0.009
faces,0.002
factoran,0.002
fajar,0.002
faktor,0.002
falrqrx,0.002
fanpage,0.002
far,0.002
fatin,0.002
fatmawati,0.005
fatur,0.002
favorit,0.009
favourite,0.002
fayzarahmanist,0.002
fc,0.002
feelings,0.002
festival,0.005
feulpfkfjd,0.002
ff,0.002
ffnkpaxq,0.002
film,0.016
fitnah,0.007
fitri,0.002
fiuh,0.002
flam,0.002
flores,0.002
fmp,0.002
foke,0.002
fokus,0.002
foto,0.012
fr,0.002
frbtjf,0.002
