term,weight
aahahaha,0.004
aan,0.004
abai,0.014
abon,0.004
aborted,0.004
acak,0.004
acara,0.007
acau,0.004
activate,0.004
acu,0.004
adil,0.007
adit,0.004
adjektiva,0.004
adjie,0.007
adly,0.004
admin,0.018
adminnya,0.004
aduh,0.014
aduk,0.014
agama,0.007
agustus,0.004
ah,0.007
ahad,0.004
aib,0.029
air,0.011
aisia,0.004
ajaib,0.004
ajak,0.036
ajar,0.09
akibat,0.004
akronim,0.004
aktif,0.007
aktifin,0.004
aktivitas,0.007
akun,0.036
al,0.007
alam,0.007
alamat,0.004
alami,0.014
alas,0.039
alasan,0.007
album,0.004
alergi,0.004
alhamdulillah,0.004
alias,0.007
alih,0.004
alir,0.004
alkohol,0.004
almamater,0.004
alquran,0.007
alusri,0.004
amada,0.004
amal,0.007
aman,0.025
amarahnya,0.004
ambil,0.025
amburadul,0.004
ambyar,0.011
americano,0.004
amin,0.007
ampas,0.004
an,0.018
anak,0.097
anakke,0.004
andalusia,0.004
aneh,0.011
anggap,0.004
anggata,0.004
anggota,0.004
anggur,0.004
angka,0.004
angkring,0.004
anime,0.004
anjing,0.004
anjlok,0.004
antah,0.007
anyone,0.004
anywhere,0.004
apala,0.004
apann,0.004
apartemen,0.004
api,0.004
appreciate,0.004
appreciated,0.004
apps,0.004
arab,0.004
arah,0.014
ardi,0.004
area,0.014
arent,0.004
arep,0.004
arif,0.004
arigato,0.004
arnauth,0.004
artikel,0.004
artis,0.007
arya,0.004
asam,0.004
asap,0.004
asik,0.004
asing,0.007
asked,0.004
asking,0.004
asli,0.007
asqa,0.004
atan,0.004
atk,0.004
atur,0.011
auk,0.004
awan,0.004
awareness,0.004
awat,0.004
ay,0.004
ayah,0.004
ayam,0.032
ayce,0.004
ayem,0.004
ayo,0.061
ba,0.004
baca,0.075
badan,0.011
bagikan,0.007
bagus,0.043
bahagia,0.022
bahan,0.014
bahas,0.007
bahasa,0.004
bahaya,0.007
bai,0.004
baique,0.004
bajar,0.007
bajing,0.014
baju,0.011
bakar,0.018
bakarat,0.004
bakat,0.011
bakteri,0.007
bal,0.004
balap,0.004
balas,0.025
balasan,0.007
banding,0.007
bandingkan,0.004
bandung,0.047
bandungfess,0.004
bangga,0.007
bangkit,0.004
bangkrut,0.004
bangsa,0.004
bangun,0.018
bank,0.004
bantai,0.004
bantal,0.004
bantu,0.043
banyakain,0.004
barang,0.004
barangkali,0.011
bareng,0.029
bas,0.004
baseball,0.004
based,0.011
bashing,0.004
basic,0.004
batal,0.1
batas,0.004
batin,0.011
batu,0.007
batuk,0.007
bawa,0.025
bayang,0.025
bayar,0.014
bayi,0.007
beban,0.004
bebas,0.007
beberes,0.007
becus,0.004
beda,0.036
begadang,0.007
begi,0.004
behave,0.004
behind,0.004
beku,0.004
bela,0.007
belai,0.004
belajar,0.007
belaka,0.004
belanja,0.004
beli,0.029
beliau,0.004
belikan,0.004
belok,0.004
benaraga,0.004
benci,0.018
bengi,0.004
bengine,0.004
bengkel,0.004
bengkok,0.004
bengong,0.011
bentar,0.014
bentuk,0.007
ber,0.007
beranda,0.011
berani,0.022
beranta,0.011
berat,0.018
berd,0.004
berhenti,0.011
berhubungan,0.004
berisik,0.007
berita,0.039
berkarbonasi,0.004
berla,0.004
berpi,0.004
bersih,0.007
bertemu,0.004
berterimakasih,0.004
bertumpuk,0.004
besok,0.022
bestari,0.007
betah,0.011
betis,0.004
bia,0.007
biadab,0.004
biarawati,0.004
biasain,0.004
biases,0.004
biaya,0.007
bibir,0.007
bicara,0.025
bijak,0.011
bilang,0.054
bingung,0.011
bintang,0.004
bioskop,0.007
bir,0.004
biru,0.004
bising,0.004
bismillah,0.014
bisnis,0.007
bius,0.004
blok,0.004
boba,0.004
bodoh,0.007
bohemian,0.004
bolak,0.007
bolu,0.004
bom,0.004
book,0.011
bookmarks,0.004
borderland,0.004
boro,0.004
bosan,0.004
both,0.004
botol,0.004
botram,0.004
brand,0.007
breaking,0.007
breathe,0.004
breathing,0.004
bri,0.004
briefing,0.004
brili,0.004
brompton,0.004
brownie,0.004
btnk,0.004
buah,0.014
buai,0.004
bubur,0.039
budak,0.004
budaya,0.011
buk,0.004
buka,0.032
bukti,0.011
buku,0.022
bulat,0.004
bumi,0.004
bunga,0.004
bungkus,0.004
bunuh,0.007
buram,0.004
buraq,0.004
buru,0.007
buruh,0.004
buruk,0.039
businessman,0.004
buta,0.004
butuh,0.075
byu,0.007
cache,0.004
caffeine,0.004
cahaya,0.007
cakeup,0.004
caknan,0.004
cakram,0.004
canda,0.011
canggung,0.004
cantik,0.011
cantum,0.004
capai,0.004
captionnya,0.004
cari,0.108
cas,0.004
catat,0.004
celah,0.004
celaka,0.007
cemas,0.025
cemberut,0.004
cembuh,0.004
cemburu,0.004
cemil,0.079
cemilan,0.004
cemiwiw,0.004
cenderung,0.004
cepat,0.022
cerah,0.004
cerai,0.004
cerdas,0.011
cerewet,0.004
cerita,0.079
cewenya,0.004
