term,weight
aarrgghh,0.005
acak,0.005
acara,0.005
admin,0.005
adudu,0.009
agens,0.014
ah,0.005
ajak,0.009
akun,0.009
alam,0.005
alir,0.009
aloow,0.005
alpukat,0.005
aman,0.032
ambil,0.032
ampun,0.005
anak,0.018
anank,0.009
ang,0.105
anggi,0.037
anggii,0.005
antre,0.005
anyone,0.005
anytime,0.018
apreciate,0.005
arel,0.005
armys,0.005
asin,0.005
asking,0.009
astaga,0.009
awas,0.009
ayaa,0.018
ayam,0.009
ayanc,0.005
ayangie,0.005
ayo,0.339
ayuu,0.005
baca,0.009
bagikan,0.005
bagus,0.018
bahagia,0.005
bahas,0.005
bakso,0.005
balas,0.005
bangga,0.009
bangtan,0.037
bantu,0.009
bareng,0.014
batal,0.444
batas,0.005
batin,0.005
bayang,0.005
bayi,0.005
bbc,0.005
bbmas,0.005
bby,0.018
bebs,0.014
beda,0.014
belah,0.009
beli,0.009
beluum,0.009
bentar,0.009
beranda,0.014
berani,0.023
berat,0.009
bersemi,0.005
berteman,0.009
beruang,0.009
besok,0.018
bestie,0.009
betah,0.005
betapa,0.005
bia,0.005
bicara,0.014
bilang,0.009
billboardnya,0.005
biologi,0.005
biru,0.009
bodoh,0.005
bolee,0.005
boleeh,0.005
bombs,0.005
bookmark,0.005
both,0.009
bpjs,0.005
bts,0.06
buka,0.018
buram,0.009
buruk,0.069
butuh,0.009
caa,0.009
cahaya,0.133
canda,0.005
cantik,0.055
capai,0.005
cari,0.005
cdm,0.009
cece,0.005
cemil,0.073
cepat,0.023
cerita,0.023
ceritain,0.005
cicil,0.005
cinta,0.009
coba,0.037
congraduation,0.005
congratulation,0.005
congratulations,0.018
crispy,0.005
cutie,0.009
daftar,0.009
darah,0.009
days,0.005
deact,0.014
debut,0.027
deh,0.018
dek,0.018
deketan,0.005
dengar,0.009
dev,0.014
diam,0.014
dicatat,0.005
didik,0.005
didn,0.005
dihadapin,0.005
dinamit,0.018
dinda,0.005
dipendem,0.005
disampein,0.009
dobel,0.005
doing,0.014
dom,0.005
dominasi,0.014
dor,0.009
dot,0.009
dunia,0.014
dyn,0.005
eca,0.009
ecaa,0.005
edit,0.009
eh,0.014
else,0.005
emma,0.009
emot,0.014
emotnya,0.005
engap,0.005
es,0.009
filled,0.023
foto,0.142
gadis,0.009
ganti,0.005
gedein,0.005
gemas,0.005
gembira,0.014
gempar,0.005
geprek,0.005
gerak,0.005
gercep,0.009
gigi,0.009
gih,0.005
gila,0.014
goda,0.119
grup,0.005
gudluck,0.014
gudmorning,0.005
gulir,0.005
gutnait,0.009
habis,0.005
hadir,0.014
halal,0.005
haloo,0.101
halooiw,0.005
haloow,0.014
happier,0.005
hapus,0.009
harap,0.014
harga,0.005
hargain,0.005
has,0.005
hasil,0.009
hati,0.027
hayii,0.009
hbu,0.087
headshoot,0.005
hebat,0.069
helloow,0.005
hidup,0.005
hii,0.041
hijau,0.005
hitman,0.005
hobi,0.014
hobie,0.005
hobifilm,0.005
howdy,0.082
hugs,0.005
hv,0.05
hyuung,0.005
ichiban,0.005
ih,0.005
ily,0.06
ilysm,0.005
imut,0.005
indonesia,0.005
inhaa,0.005
istirahat,0.11
iya,0.321
iyes,0.005
iyups,0.005
jaga,0.014
jalan,0.014
janji,0.005
je,0.027
jee,0.018
jeje,0.06
jejee,0.005
jeki,0.005
jerman,0.005
jhope,0.009
jimin,0.005
jiminie,0.009
joget,0.005
joon,0.005
jual,0.005
juang,0.005
jurus,0.005
