term,weight
aah,0.003
abrek,0.003
abu,0.003
ac,0.003
acak,0.003
acara,0.005
adat,0.005
adek,0.003
adhelnya,0.003
admin,0.003
adopsi,0.003
aduh,0.025
aduk,0.003
ager,0.003
agnez,0.003
agung,0.033
ah,0.03
air,0.008
ajaib,0.003
ajak,0.033
ajalin,0.003
ajar,0.033
aju,0.003
akademik,0.003
aktifasi,0.008
akun,0.008
akuuh,0.003
al,0.008
ala,0.005
alam,0.003
alamin,0.005
alas,0.011
alasan,0.003
alergi,0.005
alhamdulillah,0.08
alhamdulillahirabbil,0.003
alias,0.003
alih,0.005
alis,0.003
alva,0.003
aman,0.008
ambil,0.005
ambruk,0.003
amin,0.154
amisyubatahetyuhahaha,0.003
amit,0.011
ampuh,0.005
ampun,0.016
an,0.033
anak,0.222
andreeww,0.003
andrew,0.005
anet,0.003
angin,0.016
angkat,0.005
angkutan,0.005
anjing,0.003
annanovita,0.003
anonim,0.003
anting,0.005
antisosial,0.005
antivaksin,0.003
anyer,0.003
apaci,0.005
apas,0.003
apatu,0.003
apdet,0.005
apgret,0.003
apoteker,0.003
aqria,0.003
aqua,0.003
arby,0.003
arctophile,0.011
area,0.003
ari,0.003
artis,0.005
asam,0.003
asbdhdhehgwywtwrqfdvncjcicishebd,0.003
ashdjfuwjwkwkqhanq,0.003
asi,0.008
asih,0.003
asik,0.019
asing,0.003
ask,0.005
askfm,0.005
asli,0.016
asmarani,0.005
astagfirullah,0.005
atiati,0.005
auk,0.008
aul,0.003
aulia,0.003
auwgebdywbejwgwb,0.003
avatar,0.003
awas,0.003
ayah,0.036
ayaiwbauaysbajsusb,0.003
ayam,0.014
ayo,0.082
ayow,0.003
aypon,0.003
bab,0.003
babi,0.003
baca,0.03
baci,0.003
backupan,0.003
bada,0.003
badai,0.005
badan,0.022
bagikan,0.008
bagus,0.027
bahagia,0.041
bahan,0.011
bahasa,0.003
bahaya,0.016
bain,0.003
bajaj,0.005
bajak,0.003
baju,0.016
bakat,0.005
balai,0.003
balas,0.019
balikin,0.003
banding,0.008
bangan,0.003
bangga,0.003
bangkrut,0.003
bangun,0.069
bangunin,0.005
bantu,0.016
baqarah,0.003
bareng,0.011
batal,0.047
batin,0.005
bau,0.008
bawa,0.044
bawain,0.003
bawal,0.003
bawang,0.003
bayang,0.008
bayarin,0.005
bayi,0.022
bayik,0.022
bayiknya,0.003
bb,0.005
bbm,0.022
bbman,0.005
bbw,0.003
bebas,0.011
bebe,0.008
bebi,0.008
bebku,0.003
becandain,0.003
beda,0.011
bedah,0.003
bedak,0.003
begadang,0.005
bejejer,0.003
bekas,0.005
bekel,0.003
bel,0.003
bela,0.005
belaga,0.022
belasungkawa,0.003
beli,0.016
belicik,0.003
belikan,0.005
bella,0.008
benam,0.003
benang,0.003
benci,0.008
bendera,0.003
bendung,0.003
bengkak,0.008
bengkel,0.003
bengkok,0.003
bengong,0.005
bentar,0.003
beranda,0.003
berar,0.003
berat,0.011
beratz,0.003
berbales,0.003
berbuka,0.005
bercengkrama,0.003
berisik,0.003
berita,0.005
berkat,0.003
berkumpul,0.003
bersih,0.011
berteman,0.003
berterimakasih,0.003
beruang,0.003
beside,0.003
besok,0.027
betah,0.003
beterai,0.008
biarkan,0.003
bias,0.003
bibir,0.003
bicara,0.027
bieber,0.003
bijak,0.003
bikin,0.003
bilang,0.044
bimbing,0.005
bincang,0.005
bingung,0.011
bintaro,0.003
bio,0.003
bioderma,0.003
birthdays,0.003
biru,0.005
bis,0.011
bismillah,0.011
blacklist,0.003
blkg,0.003
bo,0.003
bobol,0.003
bodoh,0.016
bohong,0.008
bohongin,0.003
bok,0.003
bolong,0.005
bom,0.003
boneka,0.003
bonus,0.003
boos,0.003
born,0.003
bos,0.005
bosan,0.005
botol,0.003
brand,0.003
brecket,0.003
brem,0.003
brownfarm,0.003
bruntus,0.003
bruntusan,0.003
buah,0.005
bual,0.003
buang,0.003
buka,0.047
bukber,0.003
buku,0.005
bula,0.003
bule,0.003
bulumata,0.003
bumi,0.003
bunderan,0.003
bunga,0.003
bungkus,0.005
bunuh,0.003
buram,0.003
buru,0.014
buseh,0.003
butuh,0.016
bwakakakak,0.003
cabang,0.003
cacar,0.003
cagitu,0.003
cahaya,0.005
cahya,0.003
cailah,0.003
canda,0.011
candid,0.011
canggih,0.005
cantik,0.005
capai,0.014
cari,0.03
carousell,0.003
catokan,0.005
catokannya,0.003
cayang,0.005
cc,0.003
cekek,0.003
cemangat,0.003
cemburu,0.003
cemerlang,0.003
cemil,0.099
cengeng,0.003
centil,0.003
cepat,0.091
cepatan,0.003
ceplok,0.003
cerah,0.003
cerewet,0.003
cerita,0.027
cermin,0.003
chatnya,0.003
chwhznmqzk,0.003
ci,0.008
cian,0.003
cibubur,0.003
cie,0.011
cih,0.003
cil,0.003
cinca,0.003
cing,0.003
cingg,0.003
cingskiku,0.003
cinta,0.036
cipta,0.003
cita,0.011
citra,0.003
cium,0.003
ciumin,0.003
ckckck,0.003
cleaner,0.003
coba,0.058
cocok,0.008
cocol,0.003
cokelat,0.003
col,0.003
colinda,0.005
colok,0.005
condet,0.003
contoh,0.005
copot,0.005
corona,0.003
cowok,0.036
cq,0.003
cuci,0.019
culis,0.003
curhat,0.005
curiga,0.003
curluv,0.003
curo,0.003
cus,0.003
cuti,0.003
cuwit,0.003
cyrus,0.003
dadak,0.008
daging,0.003
dahsyat,0.005
dalamnnya,0.003
dampak,0.003
dancing,0.003
dandan,0.005
dangdut,0.003
dar,0.005
darah,0.005
darat,0.003
darurat,0.003
dasar,0.016
dasi,0.003
data,0.008
datengin,0.003
