term,weight
aax,0.005
abadi,0.005
abraham,0.005
abu,0.005
ac,0.005
acara,0.02
accoustic,0.005
adab,0.005
adams,0.005
adegan,0.005
adi,0.005
adil,0.005
admin,0.183
adrenalin,0.005
aduh,0.005
aei,0.005
agensi,0.01
agoume,0.005
aguero,0.01
ah,0.005
ahok,0.01
ajaib,0.005
ajak,0.005
ajang,0.005
ajar,0.025
ajax,0.005
akademi,0.01
akbar,0.01
akrab,0.005
aksi,0.005
akun,0.01
akur,0.005
alaba,0.005
alam,0.005
alami,0.01
alcantara,0.005
alesandro,0.005
alexis,0.01
alfatihah,0.005
alfonso,0.005
alhamdulillah,0.005
alhamdullillah,0.005
alhmdlh,0.005
alir,0.005
allah,0.035
allohhu,0.005
almeyda,0.005
alp,0.005
alumni,0.005
alur,0.005
alzi,0.005
aman,0.02
amanda,0.005
ambil,0.03
ambyar,0.005
ampas,0.005
anak,0.069
anake,0.005
analisis,0.005
andai,0.005
andal,0.005
andi,0.005
andre,0.005
android,0.005
androidku,0.005
andy,0.005
anelka,0.005
aners,0.005
anggap,0.01
anggota,0.005
anggran,0.005
angin,0.005
angkasa,0.005
angkat,0.02
angkring,0.005
angkut,0.025
angkuta,0.005
angkutan,0.015
angsur,0.005
anindita,0.005
anjing,0.005
anjir,0.005
anmovvyt,0.005
anno,0.005
anti,0.005
anu,0.025
anwar,0.005
anya,0.005
apamaning,0.005
apartemen,0.015
api,0.005
apik,0.005
apri,0.005
arab,0.005
arah,0.01
area,0.02
arema,0.005
arep,0.005
argentina,0.005
ariel,0.005
arthur,0.005
artikel,0.005
artine,0.005
ary,0.005
asean,0.005
asensiao,0.005
asgard,0.005
asia,0.005
asing,0.005
asli,0.01
asuransi,0.005
atan,0.005
atlet,0.005
atletico,0.005
atletiko,0.005
atur,0.01
audisi,0.015
auqeu,0.005
ausilio,0.005
avatarnya,0.005
awas,0.005
ayny,0.005
ayo,0.079
ayuh,0.005
ayune,0.005
baca,0.035
bada,0.005
badan,0.005
badminton,0.015
baggio,0.005
bagus,0.104
bah,0.005
bahagia,0.005
bahas,0.01
bahasa,0.02
bahaya,0.015
bajing,0.005
bajo,0.02
baju,0.005
bakar,0.005
bakule,0.005
bal,0.035
balas,0.03
baliho,0.005
balo,0.005
balotelli,0.005
bandara,0.01
banding,0.01
bandung,0.049
bangga,0.01
bangkai,0.005
bangkrut,0.01
bangku,0.005
bangun,0.02
banjir,0.02
bank,0.02
bantai,0.01
bantu,0.035
banyk,0.005
banyumas,0.01
barbosa,0.005
barca,0.02
barcelona,0.005
bareng,0.025
basi,0.005
bastoni,0.005
batal,0.089
batas,0.005
batik,0.005
batin,0.005
batu,0.015
baturraden,0.005
bawa,0.01
baya,0.005
bayang,0.005
bayangkan,0.005
bayar,0.035
bayarin,0.005
bayer,0.005
bayi,0.005
bb,0.01
bddlhlc,0.005
beasiswa,0.01
beban,0.005
bebas,0.005
becak,0.005
beckham,0.015
beda,0.039
begadang,0.005
begonoh,0.005
bek,0.025
belaga,0.03
belah,0.01
belajar,0.005
belanda,0.005
belfodil,0.005
beli,0.074
beliau,0.005
belotti,0.005
ben,0.005
benam,0.01
bendera,0.005
benerkan,0.005
bengkel,0.005
bentar,0.015
bentrok,0.005
benvenuto,0.005
benzema,0.01
berangkat,0.005
berani,0.01
berantas,0.005
berat,0.005
bergkamp,0.005
berhayal,0.005
berhenti,0.01
berita,0.02
berkah,0.005
berni,0.015
bersih,0.01
bersihin,0.005
bertnerd,0.005
besok,0.025
bi,0.005
biarkan,0.015
biasane,0.01
bicara,0.035
bidadari,0.005
bidang,0.01
bijak,0.005
biker,0.005
bikin,0.005
bikir,0.005
bilang,0.025
bina,0.005
bingung,0.005
bintang,0.01
biola,0.005
birdnya,0.005
bis,0.015
bisnis,0.005
biyunge,0.005
blagu,0.005
bms,0.005
bni,0.005
bnp,0.01
bobol,0.005
bodoh,0.01
bogor,0.01
bohong,0.005
bojo,0.005
bojone,0.005
bola,0.02
bolak,0.005
bongkar,0.005
bonuci,0.005
bonus,0.02
borja,0.015
boros,0.005
bos,0.01
bosan,0.01
boz,0.01
bp,0.02
bpjs,0.005
brand,0.005
branding,0.005
brazil,0.005
brian,0.005
brownis,0.005
brozovic,0.005
bruyne,0.005
buah,0.005
buang,0.005
bubar,0.01
buffon,0.005
buka,0.03
bukane,0.005
bukti,0.03
buktikan,0.005
buku,0.015
bule,0.005
bumbu,0.005
bumi,0.01
bunga,0.005
bungkus,0.01
buruk,0.01
burung,0.005
buterfly,0.005
butir,0.005
butuh,0.02
bws,0.005
cabai,0.02
cadang,0.025
cafjkp,0.005
cahaya,0.03
cair,0.005
calon,0.005
cambiaso,0.005
camping,0.01
canceli,0.005
candreva,0.015
cangkir,0.005
cannavaro,0.005
cantik,0.015
capai,0.005
cari,0.044
carlos,0.005
cas,0.005
catat,0.005
catwalk,0.005
cavani,0.005
cc,0.02
ccfuhrybq,0.005
cedera,0.02
celana,0.005
cemil,0.025
cemilan,0.005
cepat,0.02
cerai,0.005
cerdas,0.005
cerewet,0.01
cerita,0.049
cermin,0.005
cewenya,0.005
cf,0.005
cgharm,0.005
chaka,0.005
chala,0.005
chan,0.005
chanel,0.005
che,0.005
chelsea,0.035
chen,0.01
chiesa,0.01
chivu,0.005
cibolang,0.005
cie,0.039
ciel,0.005
cihampelas,0.005
cilik,0.005
cilongok,0.005
cina,0.01
cinta,0.044
cipendok,0.005
cipta,0.005
cium,0.015
clans,0.005
cleansheet,0.005
coba,0.039
coblos,0.005
coc,0.005
cocok,0.01
cole,0.005
colombia,0.005
comix,0.015
conceicao,0.005
conte,0.059
coret,0.005
corona,0.005
coutinho,0.015
cowok,0.296
crespo,0.005
critane,0.005
cuk,0.015
curug,0.01
cuti,0.015
dadi,0.01
dadine,0.005
dados,0.005
daerah,0.01
daftar,0.005
dagang,0.005
daging,0.005
dago,0.005
dal,0.005
dalbert,0.01
dalberto,0.005
damai,0.01
dampak,0.005
danau,0.005
dangdut,0.01
darah,0.005
dasar,0.025
data,0.015
david,0.02
davids,0.005
davis,0.005
db,0.005
dc,0.005
deadline,0.01
degradasi,0.005
deh,0.015
dendam,0.005
dengar,0.005
denpasar,0.005
depay,0.005
deras,0.015
desa,0.02
desember,0.015
dewasa,0.01
dewata,0.005
dewek,0.005
dewi,0.005
dgg,0.005
dgnmu,0.005
diam,0.01
dibenerin,0.005
dicatet,0.005
didiemin,0.005
dieng,0.02
digawe,0.005
digosipkan,0.005
dijelasin,0.005
dik,0.005
dikerjain,0.01
dikirain,0.005
dikit,0.005
dilakuin,0.005
dilingkarin,0.005
dilombokin,0.005
dimasuki,0.015
dinding,0.005
dingdong,0.005
dingin,0.005
dino,0.005
dipikirkan,0.005
diskon,0.005
disnaker,0.005
diterima,0.005
dituker,0.015
diturutin,0.005
diving,0.015
diwei,0.005
dj,0.005
djakarta,0.005
djarum,0.03
dkssulht,0.005
dmwq,0.005
doa,0.049
dokter,0.005
dokumen,0.005
dokumentasi,0.005
domestik,0.015
dona,0.01
donarumma,0.005
donnarumma,0.01
dosa,0.01
doyan,0.01
dpr,0.005
dquwmkx,0.005
drama,0.015
drinkwater,0.01
drogba,0.005
duduk,0.01
duga,0.005
dukung,0.005
dunia,0.035
